constant,signature,reference_value,low_value,high_value,reference_metric,low_metric,high_metric,reference_auxiliary_rate,low_auxiliary_rate,high_auxiliary_rate,main_fractional_change,auxiliary_fractional_change,central_fractional_change,material,resolved,paired_noncausal
context_complexity_penalty,"S3",1.2,1.14,1.26,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
context_complexity_penalty,"S4",1.2,1.14,1.26,0.36878403928687775,0.36878403928687775,0.36878403928687775,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,false,true,false
context_complexity_penalty,"S5",1.2,1.14,1.26,0.42518946131113944,0.42518946131113944,0.42518946131113944,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
context_complexity_penalty,"S6",1.2,1.14,1.26,0.9866666666666667,0.9866666666666667,0.9866666666666667,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
context_complexity_penalty,"S7",1.2,1.14,1.26,0.13888888888888887,0.13888888888888887,0.13888888888888887,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
context_complexity_penalty,"S8",1.2,1.14,1.26,0.3344035881095151,0.3344035881095151,0.3344035881095151,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
context_complexity_penalty,"S9",1.2,1.14,1.26,0.7,0.7,0.7,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
context_complexity_penalty,"S10",1.2,1.14,1.26,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
context_transition_mix,"S1",0.08,0.076,0.084,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
context_transition_mix,"S2",0.08,0.076,0.084,0.4690715143703174,0.4690715143703174,0.4690715143703174,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
context_transition_mix,"S3",0.08,0.076,0.084,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
context_transition_mix,"S4",0.08,0.076,0.084,0.36878403928687775,0.36878403928687775,0.36878403928687775,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,false,true,false
context_transition_mix,"S5",0.08,0.076,0.084,0.42518946131113944,0.42518946131113944,0.42518946131113944,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
context_transition_mix,"S6",0.08,0.076,0.084,0.9866666666666667,0.9866666666666667,0.9866666666666667,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
context_transition_mix,"S7",0.08,0.076,0.084,0.13888888888888887,0.13888888888888887,0.13888888888888887,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
context_transition_mix,"S8",0.08,0.076,0.084,0.3344035881095151,0.3344035881095151,0.3344035881095151,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
context_transition_mix,"S9",0.08,0.076,0.084,0.7,0.7,0.7,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
context_transition_mix,"S10",0.08,0.076,0.084,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_learning_rate,"S1",1.0,0.95,1.05,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_learning_rate,"S2",1.0,0.95,1.05,0.4690715143703174,0.4690715143703174,0.4690715143703174,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
dyad_learning_rate,"S3",1.0,0.95,1.05,1.0,1.0,1.0,nothing,nothing,nothing,0.0,0.0,0.0,false,true,false
