seed,arm,root_revision,root_revised,untreated_transfer,identity_cross,threat_cross,identity_before_threat
703114,matched_exposure,0.005569265468685479,false,0.004009871137453547,0,20,false
703114,reversed_graph,0.0,false,0.0,0,20,false
703115,witnessing,0.039994356168945824,false,0.028795936441640996,0,23,false
703115,matched_exposure,0.0008666554197170243,false,0.0006239919021962526,0,23,false
703115,reversed_graph,0.0,false,0.0,0,23,false
703116,witnessing,0.7140009860523826,true,0.5140807099577156,17,17,false
703116,matched_exposure,0.032440057521864844,false,0.02335684141574268,0,17,false
703116,reversed_graph,0.0,false,0.0,0,17,false
703117,witnessing,0.8913461298815852,true,0.6417692135147415,9,20,true
703117,matched_exposure,0.5722899714511441,true,0.4120487794448237,23,20,false
703117,reversed_graph,0.0,false,0.0,0,20,false
703118,witnessing,0.10317463015827137,false,0.07428573371395536,0,20,false
703118,matched_exposure,0.0015323882593149315,false,0.0011033195467067547,0,20,false
703118,reversed_graph,0.0,false,0.0,0,20,false
703119,witnessing,0.6285961765379712,true,0.4525892471073392,24,0,true
703119,matched_exposure,0.07917414865021197,false,0.05700538702815261,0,0,false
703119,reversed_graph,0.0,false,0.0,0,0,false
703120,witnessing,0.08016118820973794,false,0.05771605551101133,0,20,false
703120,matched_exposure,0.0027989932447053424,false,0.0020152751361878496,0,20,false
703120,reversed_graph,0.0,false,0.0,0,20,false
703121,witnessing,0.15105742884236356,false,0.10876134876650173,0,0,false
703121,matched_exposure,0.013019610545129281,false,0.009374119592493069,0,0,false
703121,reversed_graph,0.0,false,0.0,0,0,false
703122,witnessing,0.9057223175315056,true,0.652120068622684,11,19,true
703122,matched_exposure,0.23318263422520533,false,0.1678914966421478,0,19,false
703122,reversed_graph,0.0,false,0.0,0,19,false
703123,witnessing,0.16910225829497902,false,0.12175362597238487,0,23,false
703123,matched_exposure,0.004219899408710115,false,0.0030383275742712768,0,23,false
703123,reversed_graph,0.0,false,0.0,0,23,false
703124,witnessing,0.6658649711395609,true,0.4794227792204839,20,0,true
703124,matched_exposure,0.09305510701051795,false,0.06699967704757293,0,0,false
703124,reversed_graph,0.0,false,0.0,0,0,false
703125,witnessing,0.4064323947097354,false,0.2926313241910095,0,20,false
