seed,condition,iteration,phi_1,phi_2,phi_3,residual_1,residual_2,residual_3,local_free_energy_1,local_free_energy_2,local_free_energy_3,observation_free_energy,state_entropy,hyper_complexity,hyper_free_energy,joint_free_energy
8301,global_early_switch,1,1.307848842025833,1.0575462657740922,1.2260376774559814,0.2701141532603686,0.3030447894913094,0.29339069928933414,120.43564723398076,150.15303936837756,169.05772364583441,262.63262176646543,114.25417317424117,1.5047406389144822,93.73718507798307,459.83988745540677
8301,global_early_switch,2,1.2931400342661592,1.0467598067503314,1.2152512184322206,0.2732947412160671,0.30507015795686104,0.2951570841105984,120.7296944240095,150.18266312784476,168.83475652389805,262.1921382907944,115.3648540365455,1.498109036685781,94.43174427503264,459.67803231754743
8301,global_early_switch,3,1.2816921949189393,1.0383647245623702,1.2068561362442596,0.2757875847457466,0.30665472930298415,0.29653584990249154,120.95991692425895,150.20707495495435,168.66306981996752,261.85266590879223,116.22567615268235,1.4931472585938907,94.97104285151941,459.5585885616286
8301,global_early_switch,4,1.272812447036082,1.0318529094482747,1.200344321130164,0.2777316691766192,0.30788882485803193,0.29760771905942296,121.1393123621211,150.2268315805522,168.53102039668187,261.591366256405,116.89120581249144,1.4894188704547275,95.38859273389711,459.4698807081601
8301,global_early_switch,5,1.2659429336584793,1.0268152663046994,1.1953066779865886,0.2792418995783682,0.3088465455871823,0.2984383712167649,121.27858405751086,150.24260956726243,168.4295418841121,261.390429202187,117.40475946396418,1.4866066444989388,95.71115616353131,459.403619920006
8301,global_early_switch,6,1.2606395530530319,1.0229261205273714,1.1914175322092606,0.2804115494477912,0.30958772146201985,0.29908050526361957,121.38639470648017,150.25508601558533,168.35160456460264,261.2360227643436,117.8004489140691,1.4844785887306147,95.95990651621925,459.35387797175537
8301,global_early_switch,7,1.2565518300880958,1.0199284570197515,1.188419868701641,0.2813153012691938,0.3101600754196229,0.2995759561261838,121.46966498368836,150.26487871491537,168.29177442782296,261.1174378758662,118.10497150650916,1.4828639215385042,96.15147468574305,459.31637853992686
8301,global_early_switch,8,1.2534050298505726,1.0176208035122345,1.186112215194124,0.28201233594321634,0.3106013209278499,0.2999576643156773,121.53386988953483,150.27252194024396,168.24586013034713,261.026402843538,118.33912200624901,1.4816360951684384,96.29885068424497,459.2880095481523
8301,global_early_switch,9,1.250984898280189,1.01584604036062,1.1843374520425094,0.28254918432074305,0.3109410505351662,0.300251405608466,121.58330867563625,150.27846217091772,168.21063388233273,260.95653995351427,118.51903819867651,1.480700782757955,96.41213708553,459.26648687466616
8301,global_early_switch,10,1.2491250113695687,1.0144821232928316,1.182973534974721,0.2829622134454526,0.31120235847920924,0.30047725301855804,121.62133827630582,150.28306394670471,168.183612805298,260.90293849518025,118.65720830141117,1.4799872961678364,96.49916471093131,459.2501210706079
8301,global_early_switch,11,1.2476964931528771,1.0134345432672578,1.181925954949147,0.28327971750586634,0.311403192577197,0.30065078113704674,121.6505685401469,150.28662007626087,168.162888652352,260.86182125808415,118.76327517527454,1.4794424216550421,96.56598789040387,459.23765404036027
8301,global_early_switch,12,1.2465997776898492,1.0126302852610374,1.1811216969429266,0.28352363378103457,0.3115574567138521,0.3007840403915286,121.67302183033726,150.28936299658548,168.14699572536534,260.8302851652913,118.84467219182022,1.4790259514568196,96.61727828851978,459.2281434744958
8301,global_early_switch,13,1.2457580804371309,1.012013040609044,1.1805044522909331,0.28371092621418187,0.3116758959123998,0.3008863346001454,121.69026133765027,150.29147562306065,168.13480873138872,260.8061002737305,118.90712224254403,1.4787074361848886,96.65663529470656,459.220880149144
8301,global_early_switch,14,1.245112270970801,1.011539447000402,1.1800308586822914,0.2838546852181774,0.31176679781497696,0.3009648345846163,121.70349300169579,150.29310102844755,168.1254641470161,260.78755461791826,118.95502662371172,1.4784636631597463,96.68682867870605,459.21532831904824
8301,global_early_switch,15,1.2446168596178184,1.0111761453415482,1.1796675570234374,0.2839649976275904,0.31183654612159695,0.3010250607192944,121.71364575429695,150.29435051510796,168.11829936036892,260.7733342213567,118.99176801387162,1.478277037598676,96.70998814166376,459.211081820354
8301,global_early_switch,16,1.244236879397215,1.0108974931797723,1.1793889048616615,0.2840496262696728,0.3118900524017564,0.3010712585242909,121.72143439167243,150.2953104069553,168.11280609296944,260.76243088544015,119.01994459671928,1.4781341176142577,96.72775002912266,459.2078320565278
8301,global_early_switch,17,1.2439454690371075,1.0106837922490268,1.179175203930916,0.2841145399873498,0.3119310923769404,0.30110669063463974,121.72740844156235,150.2960474607042,168.10859450232977,260.75407119204567,119.0415511021633,1.4780246413598883,96.74137095792584,459.2053440754066
8301,global_early_switch,18,1.2437220038741543,1.0105199177961945,1.179011329478084,0.28416432503327793,0.31196256671941514,0.3011338629191696,121.73199009531814,150.29661319465882,168.10536561909927,260.74766192324694,119.0581184396815,1.4779407672631728,96.75181554626056,459.2034387162616
8301,global_early_switch,19,1.2435506644819474,1.010394268908576,1.1788856805904655,0.28420250097756,0.3119867011965863,0.30115469783249676,121.73550333769747,150.2970472860455,168.10289035190533,260.7427484472563,119.07082042011785,1.477876487347939,96.7598235180623,459.20197930639256
8301,global_early_switch,20,1.2434192801293573,1.0102979203833433,1.1787893320652327,0.28423177695678853,0.3120052088595431,0.30117067476408255,121.73819748046873,150.29738032070546,168.10099253409248,260.7389811890115,119.08055993824942,1.4778272478766112,96.76596394305264,459.20086106364835
8301,global_early_switch,21,1.2433185508148554,1.0102240522193753,1.1787154639012645,0.2842542234534317,0.31201939888746894,0.3011829241922213,121.74026312993621,150.29763576666446,168.09953768097338,260.7360931858285,119.08802669991822,1.4777894984510271,96.77067155324195,459.20000426304887
8301,global_early_switch,22,1.2432413172152221,1.0101674142463108,1.1786588259282,0.28427143500186836,0.31203027941294603,0.30119231656618056,121.74184700836538,150.29783168547695,168.09842226049096,260.7338789749963,119.0937516398314,1.4777605747753557,96.77428103607193,459.1993476045093
8301,global_early_switch,23,1.2431821079361425,1.010123994108319,1.1786154057902083,0.2842846302415914,0.31203862091452056,0.30119951709359205,121.74306129371823,150.29798192559466,168.09756720996182,260.73218159793754,119.09814041689327,1.4777383952461038,96.77704811601488,459.1988443837219
8301,global_early_switch,24,1.243136710944241,1.0100907029809247,1.178582114662814,0.2842947476160548,0.31204501666792195,0.3012050379651283,121.74399232683106,150.29809713444547,168.09691164825352,260.7308802324926,119.10150533642353,1.477721402380173,96.77916968150188,459.1984586467889
8302,global_early_switch,1,1.615881080996414,1.2198872244795833,1.6195933621676164,0.20811938723662493,0.3107317435123528,0.21030177563603758,113.829367563413,173.42307851722813,170.1201742686408,289.59692325708306,87.18578155838176,1.4825471134859196,78.15948389608273,482.30538470048464
8302,global_early_switch,2,1.5560645717575357,1.1760217843710725,1.5757279220591056,0.21929856161678488,0.3197290039157866,0.21647102335437624,115.0932149330948,172.83253427197315,169.1190901776599,286.94782365457263,92.1609369066882,1.4615317604511104,81.25374129649164,480.7616534584094
8302,global_early_switch,3,1.5048941278651744,1.138496792183341,1.538202929871374,0.2292308893519774,0.32758818357012964,0.22184538869815645,116.19634772876677,172.35599266661302,168.28218465874397,284.7423083819395,96.35080321058724,1.4473395381902092,83.87837577954924,479.5473127427216
8302,global_early_switch,4,1.4615725387196856,1.1067276268099824,1.5064337644980155,0.23790792656979626,0.3343620421647981,0.22646541532876377,117.14530623457637,171.97370829366045,167.5888060916561,282.9188307748782,99.84989680017968,1.438052774522054,86.08391040596408,478.59673766239666
8302,global_early_switch,5,1.4252348499572431,1.0800799883841914,1.4797861260722245,0.24537671594447535,0.3401307147815037,0.23039021262662127,117.95146555864004,171.66833118793772,167.01857644390262,281.42028731924063,102.75064693907152,1.4321925625162804,87.92199698207224,477.8547503568371
8302,global_early_switch,6,1.3950025795604224,1.0579096567598563,1.4576157944478891,0.25172345943323216,0.3449915891387886,0.233690029546029,118.62901222960329,171.4250721854768,166.55243159319977,280.195099420435,105.14006859515197,1.4286584555773811,89.44286948547521,477.27622395190855
8302,global_early_switch,7,1.3700264293797395,1.039593813294022,1.439299950982055,0.2570578891680955,0.34905007013147055,0.23643973608312344,119.19331694646735,171.2316183248781,166.17320678416476,279.1977294510589,107.09758973796727,1.4266578843783506,90.69352649399255,476.8250351087267
8302,global_early_switch,8,1.3495161082198261,1.0245529111100855,1.4242590487981186,0.2615001566286233,0.3524121116043275,0.23871372404310562,119.6597353165337,171.0778978054919,165.86587894519147,278.3887321885359,108.69390876066504,1.425636883758226,91.71660824142252,476.47272202405
8302,global_early_switch,9,1.3327581287899335,1.0122637261948308,1.411969863882864,0.26517096840029925,0.35517882286454555,0.24058234282092186,120.04280457247249,170.95577640829947,165.61757615903835,277.73447267265306,109.99067085657506,1.4252189619795894,92.54985742892187,476.19710294216236
8302,global_early_switch,10,1.3191237114706926,1.0022651534940543,1.4019712911820874,0.26818491775765363,0.3574430432447242,0.2421097238419757,120.355768923292,170.85874195177536,165.41744580589065,277.20663628583156,111.04073082823379,1.4251551458850198,93.22602258947963,475.9810067459306
8302,global_early_switch,11,1.3080693655096476,0.9941586331226214,1.3938647708106544,0.270646527268222,0.3592875481920349,0.2433527176911664,120.61035459971892,170.78161011586718,165.25644929329383,276.78163420045286,111.88878974393344,1.425285319343545,93.7730645214902,475.81118592644526
8302,global_early_switch,12,1.2991325878133229,0.9876049961453165,1.3873111338333495,0.2726483615501246,0.3607844741985424,0.24436063917140607,120.81671968127503,170.720267256876,165.12712905612335,276.4399791522176,112.57223411350708,1.4255096426800686,94.21454694869462,475.6774280061341
8302,global_early_switch,13,1.291924702148269,0.982319213324277,1.38202535101231,0.27427058488115985,0.36199557002301397,0.2451755449513667,120.98351606988291,170.67145460570345,165.02337610408816,276.16568077580365,113.12205176480032,1.42576813410059,94.57011976175482,475.5718516145262
8302,global_early_switch,14,1.2861223558295183,0.9780641593571932,1.3777702970452261,0.2755814397234961,0.36297294997642077,0.24583282383345315,121.1180156883322,170.63259190403005,164.94021380873681,275.94568913742876,113.56374008209087,1.4260265352184955,94.85603020148362,475.48836018069443
8302,global_early_switch,15,1.281458710217713,0.9746441525752026,1.3743502902632356,0.2766382499162371,0.3637601074969688,0.24636193974601406,121.22626711074355,170.60163565429798,164.87360526617,275.7694000379969,113.91815593170911,1.426266762252459,95.0856204755685,475.42222324212497
8302,global_early_switch,16,1.2777149987694398,0.9718987641798024,1.3716049018678353,0.27748866523809784,0.36439301831134,0.24678721700262377,121.31325978595868,170.5769664798408,164.8202867992202,275.6282267569064,114.20227908079454,1.4264805809116803,95.26978659956187,475.36975799682443
8302,global_early_switch,17,1.274712795863101,0.9696971487151539,1.3694032864031869,0.2781719707546806,0.3649012306812768,0.24712860329894606,121.3830826548681,170.5572999485293,164.77762654823866,275.5152352616593,114.4298808037594,1.4266655928395413,95.4173878359657,475.328087330535
8302,global_early_switch,18,1.2723071930688774,0.9679330399993898,1.3676391776874228,0.2787203431493582,0.3653088755990646,0.24740236906306157,121.43906915154993,170.54161650564794,164.74350663471495,275.4248388465778,114.612095361559,1.4268225062903803,95.53560137214573,475.29495649637954
8302,global_early_switch,19,1.2703808999916069,0.9665204250760581,1.366226562764091,0.2791600010339163,0.36563557102250177,0.24762172870009883,121.48392544642837,170.5291061306665,164.71622549890435,275.35254439068774,114.75790271043908,1.4269536199844204,95.63022500513483,475.2685932261872
8302,global_early_switch,20,1.268839224801813,0.9653898632702093,1.3650960009582422,0.2795122245362142,0.3658972110905523,0.24779737982149394,121.51984129635682,170.51912448833312,164.69441741194288,275.29474285760256,114.8745321961247,1.4270621767135259,95.70593229570567,475.247600308908
8302,global_early_switch,21,1.2676058911236034,0.9644854185728556,1.3641915562608886,0.27979422632884937,0.36610663410661104,0.2479379578146107,121.54858401055981,170.51115898372154,164.67698766176554,275.24853907822353,114.967793706582,1.427151302934262,95.7664829955326,475.2308742863012
8302,global_early_switch,22,1.2666195625579675,0.963762110958056,1.363468248646089,0.2800198939573004,0.3662741867813947,0.248050418628129,121.57157680541533,170.5048014172242,164.66305929231692,275.21161253345633,115.04235072067647,1.427224038819368,95.81489746446076,475.21754170930745
8302,global_early_switch,23,1.2658309825630936,0.963183818961815,1.362889956649848,0.2802004094452728,0.3664081928137225,0.24814035590011577,121.58996392954998,170.49972655241464,164.65193021241654,275.1821045816058,115.10194284608943,1.4272831487588271,95.85359929748608,475.2069100582332
8302,global_early_switch,24,1.265200641871792,0.9627215691215273,1.3624277068095603,0.28034476058847896,0.3665153379846314,0.24821226110803146,121.6046640971635,170.49567521711717,164.64303870842446,275.1585275400188,115.14956610287706,1.4273309697057197,95.88453118842256,475.1984296621264
8303,global_early_switch,1,1.3813009550929218,1.133239265803781,1.4374578000122116,0.23445357963297503,0.3282468629251205,0.24038674541056107,109.41420645899979,163.57243777551554,154.19814521940782,255.01006441510737,103.9412889682259,1.548736288016987,85.39461307674569,448.36617514764083
8303,global_early_switch,2,1.4313405144856741,1.1699349426917993,1.4741534769002298,0.22543498291574512,0.320938457947767,0.2355004892557095,108.32755616016561,163.9395758826111,154.8304468194661,256.41877992788915,99.96487358941701,1.5791295936359866,83.0369115336851,449.21586618083364
