seed,global_forecast_error,local_forecast_error,global_early_heldout_error,local_early_heldout_error,global_early_state_rmse,local_early_state_rmse,global_full_phi_error,local_full_phi_error,local_relearning_gain
8301,0.21265120474778793,0.4453410144685986,0.04040836714714572,0.5314101090359761,0.3616519088581893,0.37160140954898757,0.11536924846903204,0.16463192079424335,0.26928344799861137
8302,0.16289532389170405,0.5002647963765045,0.1648047072543335,0.5512187684277342,0.37659062429977247,0.39778828034254193,0.12317502242173203,0.13232029539556167,0.31895009423288245
8303,0.1924220126103749,0.3365426334342459,0.40528813666454344,0.07955961304975574,0.370547902940931,0.36857883052472457,0.28268588915690457,0.35412321357713833,-0.12398511108513305
8304,0.46523648284704455,0.5720875762698382,0.6616487348366489,0.6997645426936863,0.3721281039394915,0.3695710403395043,0.18431828829136224,0.23779911294079295,0.3736184576768725
8305,0.41773216174076694,0.577955488308416,0.1784784742549601,0.6971939425390657,0.36448438260974886,0.3701363552122835,0.12046151956763453,0.1158586906784376,0.4539909046335452
8306,0.1781374948951175,0.39689352043760706,0.28937697803465373,0.4744541978663137,0.3965542640061222,0.4072273998688165,0.1807747122062037,0.2167432634147498,0.21627247514750236
8307,0.48795499575489104,0.535974197620012,0.4129308730906944,0.38514562114196704,0.3820879857386799,0.3833489397722265,0.2015439800258501,0.26643866580908276,0.09396168946222516
8308,0.33803027767328037,0.3554086025542772,0.2613090057877457,0.35608543910916285,0.3658323512931093,0.37060069053964206,0.12185115686439461,0.1396810388851936,0.1523757533058759
8309,0.29906247463570446,0.6007412691066869,0.21281504979106328,0.7090569521648347,0.35178703750724155,0.36230605475813427,0.13489129284118634,0.15236427521467646,0.4291042175896955
8310,0.22873596061879778,0.3088981455489695,0.11008925391706367,0.09159996438008208,0.4104289489755187,0.41234418779351917,0.16675286826102828,0.2058365647138066,-0.044662785670056104
8311,0.10721684319778457,0.26966701130274157,0.0537472116631839,0.30149405650218747,0.36910640853757937,0.37936828756501767,0.11892003344617193,0.11445917145597724,0.1632338905336898
8312,0.17442493825686967,0.1767895211173839,0.20113720722172504,0.199092024677575,0.36838927382738546,0.37017205945910603,0.16708055795479002,0.20926760252234963,0.019219638901714187
8313,0.08276768067905264,0.27289168571183525,0.19245485029035067,0.328257490160713,0.3622529238517865,0.3704073549501319,0.16055182322820424,0.18686151624460595,0.13214543590207545
8314,0.1297183058981735,0.5990446494393872,0.17091390528468212,0.5427265507739897,0.35528043621202976,0.36353868011862783,0.3342884479721926,0.47769759696017866,0.06317319921120645
8315,0.07367272005710014,0.21974972968783357,0.0551478764251913,0.12336906021327794,0.33752279660730117,0.3403648711001517,0.0740568742360265,0.09045968656650907,0.06208306026354252
8316,0.5664304300145755,0.6100135970697367,0.16427276880106878,0.6778350262471078,0.38549481430857624,0.39328608994584774,0.16317676162551012,0.20086917330963386,0.35283351734078905
8317,0.41229162148106197,0.5513057754804428,0.17619267558209176,0.6499207075727578,0.3659266480953834,0.3683170641865701,0.09648728702893666,0.11741628451044553,0.4134198027116104
8318,0.06322174246909665,0.08790156747914495,0.11642192399336425,0.10752588016790475,0.35451487843882407,0.35529110736662894,0.10573307803893751,0.1440561813749931,-0.05557469429805657
8319,0.3786934375619448,0.42471736533808857,0.12616782580189598,0.34789055101666694,0.36428683219203734,0.36574813780903,0.07296600161838643,0.08240584186655364,0.2019196111268911
8320,0.13351471160361633,0.37138725406031325,0.09928687512447906,0.42355406220371483,0.35175608389043633,0.3593237686042193,0.17800843898267554,0.22666772006645877,0.13657692646762207
