model,heldout_nll,rmse_x,coverage_90,first_order_precision,implied_local_precision,posterior_content_precision,hyper_certainty,content_complexity,overconfidence_90,wrong_high_confidence_run_length,free_energy_initial,free_energy_final,phase,scenario,seed,alpha_local,alpha_hyper,input_scale,biased_priors
KalmanFixed,0.11060344721443663,0.29602093864527695,0.8944444444444445,10.919533091655005,10.919533091655005,10.919533091655005,NaN,13.77502339408151,0.005555555555555536,2,1.412353814339839,1.412353814339839,sweep,none,37,4.0,1.0,1.0,false
HGF2,0.10945993079052713,0.301452522219349,0.8777777777777778,1.4021301553282275,1.4021301553282275,11.58944806144682,NaN,13.796208653373522,0.022222222222222254,2,1.4683285036642328,1.4933506348889396,sweep,none,37,4.0,1.0,1.0,false
BLT-HGF,0.10465863647086406,0.30292908945251557,0.8888888888888888,0.7221544598388567,0.7221544598388567,10.911923516319263,1.5405773836215246,13.83809481932826,0.011111111111111183,2,1.552836041168914,1.5660119480913801,sweep,none,37,4.0,1.0,1.0,false
KalmanFixed,0.12846734238154375,0.3081713765123689,0.8944444444444445,10.919533091655005,10.919533091655005,10.919533091655005,NaN,29.284835742678712,0.005555555555555536,2,1.8173451126422024,1.8173451126422024,sweep,none,11,4.0,2.0,1.0,false
HGF2,0.11117019262531112,0.3115702142319176,0.9111111111111111,0.8122048470906885,0.8122048470906885,10.947747348875355,NaN,29.54272813008295,0.0,2,1.7594777766422738,1.7768382463008496,sweep,none,11,4.0,2.0,1.0,false
BLT-HGF,0.10921715922446995,0.3091070207565416,0.8888888888888888,0.43478465741531,0.43478465741531,10.509046106156264,2.133483952675703,29.57477851813755,0.011111111111111183,1,1.8300493150316233,1.8345821732221728,sweep,none,11,4.0,2.0,1.0,false
KalmanFixed,0.1089633672371908,0.31500348722966304,0.8888888888888888,10.919533091655005,10.919533091655005,10.919533091655005,NaN,13.444931165386011,0.011111111111111183,2,1.3752606346145637,1.3752606346145637,sweep,none,23,4.0,2.0,1.0,false
HGF2,0.11175303698650026,0.3246848237842878,0.8722222222222222,1.508115744119364,1.508115744119364,11.677178468593189,NaN,13.456153391805875,0.02777777777777779,2,1.448450530666014,1.4720381145047672,sweep,none,23,4.0,2.0,1.0,false
BLT-HGF,0.10533566749570179,0.3169441754377962,0.8777777777777778,0.7406106542466405,0.7406106542466405,10.860088273898791,2.1083213466862407,13.506655553334058,0.022222222222222254,2,1.522173041982856,1.5304554962721422,sweep,none,23,4.0,2.0,1.0,false
KalmanFixed,0.11080355404823886,0.29598726923474256,0.8944444444444445,10.919533091655005,10.919533091655005,10.919533091655005,NaN,13.75889269727075,0.005555555555555536,2,1.4168871404103787,1.4168871404103787,sweep,none,37,4.0,2.0,1.0,false
HGF2,0.10919599671475969,0.301440094498445,0.8777777777777778,1.4020939754631951,1.4020939754631951,11.588222258662475,NaN,13.78051427993609,0.022222222222222254,2,1.4702745362189296,1.4954608576906263,sweep,none,37,4.0,2.0,1.0,false
BLT-HGF,0.10563642642983556,0.30290446879246635,0.8888888888888888,0.6922487030327975,0.6922487030327975,10.818338420244215,2.1100912481302703,13.824362270040679,0.011111111111111183,2,1.5487672478514711,1.5588729668611523,sweep,none,37,4.0,2.0,1.0,false
KalmanFixed,0.12094273796750638,0.3063357266792206,0.9055555555555556,10.919533091655005,10.919533091655005,10.919533091655005,NaN,23.227849695250466,0.0,2,1.6469093602393854,1.6469093602393854,sweep,none,11,4.0,4.0,1.0,false
HGF2,0.1107081837865756,0.3115652653363732,0.9111111111111111,0.9409582045408922,0.9409582045408922,11.093363577014529,NaN,23.387740243144577,0.0,2,1.6672555686782191,1.6848190551653115,sweep,none,11,4.0,4.0,1.0,false
BLT-HGF,0.10880140446425603,0.30832295689570277,0.9,0.4692212266667973,0.4692212266667973,10.526678333304075,2.9151837007486767,23.426367794842548,0.0,1,1.7403831717086717,1.7427303195452766,sweep,none,11,4.0,4.0,1.0,false
KalmanFixed,0.10914030260986485,0.31510674919481874,0.8833333333333333,10.919533091655005,10.919533091655005,10.919533091655005,NaN,13.58904865017948,0.01666666666666672,2,1.3792685820077664,1.3792685820077664,sweep,none,23,4.0,4.0,1.0,false
HGF2,0.11181344982087583,0.32448598383563293,0.8777777777777778,1.4864699673962662,1.4864699673962662,11.654859979533931,NaN,13.596940170545276,0.022222222222222254,2,1.4530592664095616,1.4763902029306875,sweep,none,23,4.0,4.0,1.0,false
BLT-HGF,0.10604134080502271,0.3164903428322175,0.8833333333333333,0.7148018872804823,0.7148018872804823,10.792652140702518,2.891661799354237,13.651771319453236,0.01666666666666672,2,1.522509965787753,1.5287836733372766,sweep,none,23,4.0,4.0,1.0,false
KalmanFixed,0.11108206364214186,0.2959995755512719,0.8944444444444445,10.919533091655005,10.919533091655005,10.919533091655005,NaN,13.777327551929098,0.005555555555555536,2,1.4231964148598453,1.4231964148598453,sweep,none,37,4.0,4.0,1.0,false
HGF2,0.1091293242371196,0.3014554110766257,0.8777777777777778,1.3918297159561952,1.3918297159561952,11.576787286765825,NaN,13.798930311351153,0.022222222222222254,2,1.4747349595198456,1.5000390070663587,sweep,none,37,4.0,4.0,1.0,false
BLT-HGF,0.10634188795713835,0.3029607244525668,0.8888888888888888,0.6708069176071326,0.6708069176071326,10.755835778820954,2.8939887232894757,13.845435986397163,0.011111111111111183,2,1.5495548011747609,1.557492166051429,sweep,none,37,4.0,4.0,1.0,false
KalmanFixed,1.0905774722711175,0.6513526343254767,0.6222222222222222,10.919533091655005,10.919533091655005,10.919533091655005,NaN,911.5857620643206,0.2777777777777778,5,23.612836048794104,23.612836048794104,scenario,dream,11,0.5,0.5,2.0,false
HGF2,0.11380641956493957,0.31431261487573986,0.8888888888888888,0.0763793417042814,0.0763793417042814,10.098737864308417,NaN,924.4266231826361,0.011111111111111183,1,3.1654270307734254,3.1718756838338447,scenario,dream,11,0.5,0.5,2.0,false
BLT-HGF,0.1134886431726292,0.31392564383928845,0.8944444444444445,0.05783495355954707,0.05783495355954707,10.08437457872366,1.266053764028373,924.4594906028617,0.005555555555555536,1,3.218978853753356,3.2248493300451986,scenario,dream,11,0.5,0.5,2.0,false
KalmanFixed,0.4632804470218655,1.5346770401213836,0.044444444444444446,10.923116879019934,10.923116879019934,10.923116879019934,NaN,23.21961718223535,0.8555555555555556,171,10.321680663657444,10.321680663657444,scenario,noetic,11,2.0,8.0,0.0,true
HGF2,0.11478229456674853,1.493649508766148,0.044444444444444446,1.0138997464351416,1.0138997464351416,11.22044476950648,NaN,22.898510394580995,0.8555555555555556,171,1.8037125497603694,2.9216878727950504,scenario,noetic,11,2.0,8.0,0.0,true
BLT-HGF,0.1277432411169412,1.4855343957803473,0.03333333333333333,1.2837103951951399,1.2837103951951399,11.197327135584919,5.529754567074265,22.920135100379756,0.8666666666666667,171,1.8423534958733856,2.8056088861280224,scenario,noetic,11,2.0,8.0,0.0,true
KalmanFixed,0.1614635578949823,0.3144916258163334,0.9055555555555556,10.919533091655005,10.919533091655005,10.919533091655005,NaN,45.969224559298816,0.0,1,2.565015817477326,2.565015817477326,scenario,mpe,11,0.8,4.0,0.0,false
HGF2,0.11080680539678468,0.3092517232764347,0.9111111111111111,0.5190830131536727,0.5190830131536727,10.647121949233746,NaN,46.53188025001415,0.0,1,2.005774402648357,2.0279673697649354,scenario,mpe,11,0.8,4.0,0.0,false
BLT-HGF,0.11086500211887496,0.3068982652377389,0.9055555555555556,0.2733215349817754,0.2733215349817754,10.335052621216546,2.958005375839273,46.56491819125413,0.0,1,2.0651943692158437,2.0747598213387906,scenario,mpe,11,0.8,4.0,0.0,false
KalmanFixed,0.14882111464379097,0.3164656089096058,0.8888888888888888,10.919533091655005,10.919533091655005,10.919533091655005,NaN,44.856942513482124,0.011111111111111183,2,2.278575226324388,2.278575226324388,scenario,wake,11,2.0,2.0,1.0,false
HGF2,0.11146738330137886,0.3114304367135914,0.9,0.5402593334270754,0.5402593334270754,10.662650549976252,NaN,45.35858641528012,0.0,2,1.9504448076882366,1.9686009973144638,scenario,wake,11,2.0,2.0,1.0,false
BLT-HGF,0.11057040829910074,0.30999078032891386,0.8944444444444445,0.3015844614088877,0.3015844614088877,10.369506381066612,2.1516913913641997,45.386039634949846,0.005555555555555536,1,2.0155251811169634,2.021981511652528,scenario,wake,11,2.0,2.0,1.0,false
