scenario,t,x_true,y,x_mean,x_var,z_mean,h_mean
dream,1,2.016001277239923,2.0279684713969126,1.9867219232205713,0.09796611491953178,0.02755609153298706,-0.3424671344348998
dream,2,5.004836014590323,4.993333530003733,4.921467463914023,0.09768617913232773,-1.8522256225168512,-1.535863377495613
dream,3,6.908353068608435,6.818571631723086,6.758611190625974,0.09720226439714366,-1.7295125784569734,-1.8660897807925576
dream,4,7.014375757736096,6.556066480578852,6.547702080347346,0.0938218061463773,-1.1269898864959536,-1.3195532853957654
dream,5,9.600187725021593,9.63961628235002,9.579731203076589,0.0982486154643439,-2.046353784499434,-1.8752304536707125
dream,6,12.679056106446385,12.550824021781192,12.502436207615125,0.09859748693138538,-2.294305187043684,-2.26845043552948
dream,7,14.488870387964186,14.76022190116291,14.719980673543242,0.09860414433814382,-2.3454881178622506,-2.4784439429444474
dream,8,14.061972582848208,13.992596763268804,13.992361634453061,0.09727074349666562,-1.8684793172647354,-1.9383534790066461
dream,9,17.249826533936236,16.81119523785995,16.76397486874416,0.09865792191163626,-2.3222572390217144,-2.2973654107245385
dream,10,19.39931898108868,19.857622083129595,19.817872214264725,0.09898902781819863,-2.615834352747183,-2.6240267041605
dream,11,22.009995454461944,22.28039084426165,22.246878168951426,0.09902957790804226,-2.6974965863545046,-2.8238893433825485
dream,12,22.629830479498747,22.532920658957842,22.512109643049765,0.09851178358634784,-2.398128250601076,-2.655443506128858
dream,13,20.84142259761408,20.834113620068315,20.845723409843078,0.09789826419595417,-2.1009502187362195,-2.2634033633828
dream,14,23.562740632924204,22.970161826083864,22.92981021487195,0.0987257618998202,-2.4083667039635603,-2.501565856539026
dream,15,20.364337646583788,20.050147931996875,20.080022562676017,0.09827630295164559,-2.203853798100225,-2.4621538705138795
dream,16,17.358430427519167,17.394544251653496,17.424869891764853,0.09819648815815253,-2.1594813079760997,-2.4191947340015347
dream,17,15.456784764569948,15.297916024058367,15.32474141805438,0.09786372761026105,-2.0185332162307303,-2.2856399360518145
dream,18,12.70076898428453,12.738427568432229,12.77383977007169,0.09805435671431527,-2.0593741582539864,-2.303019098948865
dream,19,18.569436967428615,18.72625270306503,18.689442366867567,0.09944151494118379,-3.146612032907101,-2.8738292512458496
dream,20,15.173734239060341,15.351122435805522,15.377391149544962,0.09890722226255526,-2.6445094160919935,-2.8829672127370696
dream,21,11.701266293309065,11.325724481159744,11.354356191479074,0.09912782577320445,-2.8296955264803754,-3.0086866244901715
dream,22,8.760225558175199,8.715231397651099,8.737694349687542,0.0989155703245573,-2.6833733745590718,-2.9396589091657073
dream,23,9.802776591074492,9.926964711178154,9.90612840150245,0.09871867634611843,-2.5407706771468908,-2.8001260887426556
dream,24,7.427932147191472,7.374517225457785,7.400541329781965,0.09872199363833485,-2.5084557580394153,-2.762951896297588
dream,25,-2.4949503366138917,-2.7598647372901723,-2.731803295423816,0.099713377369102,-3.7975923632274786,-3.439302404992329
dream,26,-6.862550848680971,-6.452199866712587,-6.431167922967999,0.0994547053131411,-3.3151112337520767,-3.515979806557348
dream,27,-7.148598471676376,-7.932159109571229,-7.918248207179235,0.09923673393999019,-3.0766117919562586,-3.3144700198055386
dream,28,-0.7385465813657016,-0.18400898846023725,-0.20787232778807044,0.09967481225692146,-3.73656935275934,-3.6983493305971002
dream,29,1.0245552602958026,1.8286620028424967,1.815853156503033,0.09936782049492249,-3.263910455552791,-3.4992768603263547
dream,30,4.13578263494537,4.207520658585976,4.190460924019963,0.09931278919027467,-3.1516024708057047,-3.4029687056187696
dream,31,17.65145502043802,17.057608317709864,17.036933120107093,0.09984189249321679,-4.394768429561106,-4.0827687958702645
dream,32,24.505885173054462,24.58942475557106,24.573060330041166,0.09980528597300155,-4.27693659578215,-4.346006836975519
dream,33,21.05191710866894,20.95077426864163,20.958924067901172,0.09965952177686889,-3.888492887170607,-4.090639927455121
dream,34,31.40858725622285,31.352624976461644,31.336457640594578,0.09985869747852849,-4.559710983327921,-4.508191687662427
dream,35,31.561954220434256,31.293221649671914,31.288370883764472,0.09968162197143121,-3.985148987499397,-4.091014481327874
dream,36,23.259556906246925,23.479051270830908,23.494817091548427,0.0997475409050686,-4.065474097309339,-4.227066342553336
