seed,acute_slice,chronic_rate,scheduled_dose,scheduled_opportunities,low_available_final_persistent_probability,low_available_evidence_margin,low_available_formed,low_available_acute_change,low_available_acute_absolute_change,low_available_maximum_step,low_available_post_event_opportunities,low_available_realized_encounter_rate,low_available_avoided_encounter_rate,low_available_avoidance_action_rate,low_available_realized_avoidance_mediator,low_available_realized_avoidance_encounter_mediator,low_unavailable_final_persistent_probability,low_unavailable_evidence_margin,low_unavailable_formed,low_unavailable_acute_change,low_unavailable_acute_absolute_change,low_unavailable_maximum_step,low_unavailable_post_event_opportunities,low_unavailable_realized_encounter_rate,low_unavailable_avoided_encounter_rate,low_unavailable_avoidance_action_rate,low_unavailable_realized_avoidance_mediator,low_unavailable_realized_avoidance_encounter_mediator,high_available_final_persistent_probability,high_available_evidence_margin,high_available_formed,high_available_acute_change,high_available_acute_absolute_change,high_available_maximum_step,high_available_post_event_opportunities,high_available_realized_encounter_rate,high_available_avoided_encounter_rate,high_available_avoidance_action_rate,high_available_realized_avoidance_mediator,high_available_realized_avoidance_encounter_mediator,high_unavailable_final_persistent_probability,high_unavailable_evidence_margin,high_unavailable_formed,high_unavailable_acute_change,high_unavailable_acute_absolute_change,high_unavailable_maximum_step,high_unavailable_post_event_opportunities,high_unavailable_realized_encounter_rate,high_unavailable_avoided_encounter_rate,high_unavailable_avoidance_action_rate,high_unavailable_realized_avoidance_mediator,high_unavailable_realized_avoidance_encounter_mediator
807244,30,0.08046390040659161,0.05,4,1.8619049646096078e-06,-11.928242184588798,0,0.07656800818375871,0.07656800818375871,0.07656800818375871,3,0.6666666666666666,0.3333333333333333,0.10204081632653061,0.025,0.3333333333333333,0.00858417955909696,-3.4835467468134262,0,0.07656800818375871,0.07656800818375871,0.07656800818375871,3,1.0,0.0,0.0,0.0,0.0,3.6875474339043545e-06,-11.244878912063868,0,0.03149101144423892,0.03149101144423892,0.04656474986343237,3,0.6666666666666666,0.3333333333333333,0.10204081632653061,0.0,0.3333333333333333,0.006624043939332535,-3.7447367749511145,0,0.03149101144423892,0.03149101144423892,0.04656474986343237,3,1.0,0.0,0.0,0.0,0.0
807245,31,0.09297310774833017,0.1,8,0.9984291043134413,7.720203563797341,1,0.17893720765702975,0.17893720765702975,0.17893720765702975,2,0.5,0.5,0.2916666666666667,0.025,0.5,0.508861366017608,1.3011155491849864,1,0.17893720765702975,0.17893720765702975,0.17893720765702975,2,1.0,0.0,0.0,0.0,0.0,0.003099238188357619,-4.5078285192781,0,0.23897217406330057,0.23897217406330057,0.23897217406330057,2,1.0,0.0,0.10416666666666667,0.025,0.0,0.6301931363054576,1.798711831960145,1,0.23897217406330057,0.23897217406330057,0.23897217406330057,2,1.0,0.0,0.0,0.0,0.0
807246,44,0.11281181854473733,0.075,6,0.008539263031580181,-3.4888382662072033,0,0.05736996947917622,0.05736996947917622,0.18402735689212113,3,0.6666666666666666,0.3333333333333333,0.5428571428571428,0.125,0.3333333333333333,0.015230329986137017,-2.9034525694240703,0,0.05736996947917622,0.05736996947917622,0.18402735689212113,3,1.0,0.0,0.0,0.0,0.0,0.6958532330096131,2.09329476826135,1,-0.09558582678741667,0.09558582678741667,0.18463947636785916,3,1.0,0.0,0.34285714285714286,0.05,0.0,0.33300863516984214,0.5710576948662733,0,-0.09558582678741667,0.09558582678741667,0.10269494134937118,3,1.0,0.0,0.0,0.0,0.0
807247,41,0.11515057065286642,0.075,6,0.007315278172251733,-3.644781678224935,0,0.042868388947597924,0.042868388947597924,0.17412819612367014,1,1.0,0.0,0.5789473684210527,0.1,0.0,0.03873853905338083,-1.9457451246913804,0,0.042868388947597924,0.042868388947597924,0.17412819612367014,1,1.0,0.0,0.0,0.0,0.0,0.1706997102656955,-0.31501001502942105,0,-0.08953730205909605,0.08953730205909605,0.17633460058815215,1,1.0,0.0,0.23684210526315788,0.025,0.0,0.33110419180872397,0.5624711726690312,0,-0.08953730205909605,0.08953730205909605,0.11142780009940945,1,1.0,0.0,0.0,0.0,0.0
807248,45,0.0967090162324445,0.0875,7,0.9999999644211167,18.417179880646348,1,0.35982945973994784,0.35982945973994784,0.35982945973994784,2,0.5,0.5,1.0,0.275,0.5,0.20356472419974592,-0.09849548260198238,0,0.35982945973994784,0.35982945973994784,0.35982945973994784,2,1.0,0.0,0.0,0.0,0.0,0.17877441867431196,-0.25900668226763024,0,0.25081825835452687,0.25081825835452687,0.25081825835452687,2,1.0,0.0,0.23529411764705882,0.0375,0.0,0.6092111688941622,1.709663987696172,1,0.25081825835452687,0.25081825835452687,0.25081825835452687,2,1.0,0.0,0.0,0.0,0.0
807249,40,0.09654410268842697,0.075,6,0.005280264534284868,-3.9728184535978164,0,0.18239579039143028,0.18239579039143028,0.3879818695159078,1,1.0,0.0,0.5641025641025641,0.1375,0.0,0.4063800193610403,0.8867157520360935,0,0.18239579039143028,0.18239579039143028,0.18239579039143028,1,1.0,0.0,0.0,0.0,0.0,0.23464420126386165,0.08339588089805594,0,0.16925655980536214,0.16925655980536214,0.17381307100595733,1,1.0,0.0,0.2564102564102564,0.0375,0.0,0.5367798994437799,1.4130521928377675,1,0.16925655980536214,0.16925655980536214,0.16925655980536214,1,1.0,0.0,0.0,0.0,0.0
807250,45,0.15712812713672591,0.1375,11,0.01273061913348463,-3.0852665106396047,0,0.027039296279714048,0.027039296279714048,0.08087839527733959,4,0.0,1.0,0.5294117647058824,0.175,1.0,0.12306748593276659,-0.6980307941572361,0,0.027039296279714048,0.027039296279714048,0.08087839527733959,4,1.0,0.0,0.0,0.0,0.0,0.0043546371891267,-4.166483461620404,0,-0.044981396133038476,0.044981396133038476,0.05176658876436907,4,0.5,0.5,0.17647058823529413,0.0375,0.5,0.1228863712511263,-0.6997100584965008,0,-0.044981396133038476,0.044981396133038476,0.05176658876436907,4,1.0,0.0,0.0,0.0,0.0
807251,41,0.15267679812469093,0.175,14,0.07239838633812232,-1.2847519606623963,0,-0.0007641366319711962,0.0007641366319711962,0.09153287946799923,6,0.5,0.5,0.7631578947368421,0.2375,0.5,0.008075511185854468,-3.5451444390544413,0,-0.0007641366319711962,0.0007641366319711962,0.06811666234099245,6,1.0,0.0,0.0,0.0,0.0,0.04430022144958704,-1.8057877753256828,0,-0.006531578577670963,0.006531578577670963,0.07453947208162913,6,0.8333333333333334,0.16666666666666666,0.2894736842105263,0.0625,0.16666666666666666,0.016713521770839616,-2.809016058260987,0,-0.006531578577670963,0.006531578577670963,0.03927728259154198,6,1.0,0.0,0.0,0.0,0.0
807252,35,0.1059876269729226,0.1,8,0.000839172282846526,-5.816588631577916,0,0.009763673431731013,0.009763673431731013,0.13698904699507175,3,0.0,1.0,0.5909090909090909,0.125,1.0,0.025978301690195747,-2.358505568375226,0,0.009763673431731013,0.009763673431731013,0.1310302774691559,3,1.0,0.0,0.0,0.0,0.0,0.0035170018843058482,-4.380956815313629,0,-0.05339775208530559,0.05339775208530559,0.09132428947339896,3,0.6666666666666666,0.3333333333333333,0.1590909090909091,0.025,0.3333333333333333,0.17591488166852076,-0.27860719901965214,0,-0.05339775208530559,0.05339775208530559,0.078752639394016,3,1.0,0.0,0.0,0.0,0.0
807253,32,0.11067330884696348,0.2125,17,0.029834739066475352,-2.216126600701622,0,-0.018073066011394967,0.018073066011394967,0.10959412314054112,11,0.45454545454545453,0.5454545454545454,0.5106382978723404,0.15,0.5454545454545454,0.04170169863659557,-1.8689508727991941,0,-0.018073066011394967,0.018073066011394967,0.10959412314054112,11,1.0,0.0,0.0,0.0,0.0,0.003942609318972175,-4.266295735950445,0,-0.1435062851812342,0.1435062851812342,0.1435062851812342,11,0.7272727272727273,0.2727272727272727,0.2127659574468085,0.0625,0.2727272727272727,0.0593202358313611,-1.4979859011131773,0,-0.1435062851812342,0.1435062851812342,0.1435062851812342,11,1.0,0.0,0.0,0.0,0.0
