seed,selected,CS_probability
777620,change_point,0.05746563827532859
777621,change_point,0.2349339807423566
777622,change_point,0.12244765817886197
777623,change_point,0.20624737598962523
777624,change_point,0.0402983197941486
777625,change_point,0.05148392123605803
777626,change_point,0.09569953949656475
777627,change_point,0.1512338415544577
777628,change_point,0.05804893918624522
777629,change_point,0.04883139251649156
777630,change_point,0.04161730354545112
777631,change_point,0.05558744770817954
777632,change_point,0.4612177901359038
777633,change_point,0.10687009275748408
777634,change_point,0.05170420961592429
777635,change_point,0.19468107825601577
777636,change_point,0.10185166772800319
777637,context_split,0.5808098433958088
777638,change_point,0.15732826340856698
777639,change_point,0.14630849138122828
777640,change_point,0.04272941733703673
777641,change_point,0.20661253218046527
777642,change_point,0.13114514418453113
777643,change_point,0.0627292836710558
777644,change_point,0.19756253927204406
777645,change_point,0.41274565196499285
777646,change_point,0.21309689693678627
777647,change_point,0.12138618160284263
777648,change_point,0.1135530953463794
777649,change_point,0.12121188508718674
777650,change_point,0.2387855809275467
777651,change_point,0.04545344917930912
777652,context_split,0.8317203946100603
777653,change_point,0.17602770330682177
777654,change_point,0.12670571474236722
777655,change_point,0.14748443767607436
777656,change_point,0.06997610575746112
777657,change_point,0.1225461764030057
777658,change_point,0.2745953641117758
777659,change_point,0.04028944075960682
777660,change_point,0.0465716990413758
777661,change_point,0.0841845577673479
777662,change_point,0.06914314555495293
777663,change_point,0.04969396111812381
777664,change_point,0.04686679643953992
777665,change_point,0.07852577852963082
777666,change_point,0.1431369312113754
777667,change_point,0.31442799288319817
777668,change_point,0.04945711006414922
777669,change_point,0.042850911524978684
777670,change_point,0.47623903648682314
777671,context_split,0.6380210015536529
777672,change_point,0.06159670624431377
777673,change_point,0.07499383814408783
777674,change_point,0.23088924065356603
777675,change_point,0.11898263504466063
777676,change_point,0.3974653940621345
777677,change_point,0.04744117105944816
777678,change_point,0.059107381708860436
777679,change_point,0.05765354866449123
777680,change_point,0.10285420964186856
777681,change_point,0.06581513809064764
777682,change_point,0.12905279791750152
777683,change_point,0.1946831120901396
777684,change_point,0.15958051368691173
777685,change_point,0.04574955606437256
777686,change_point,0.21511018633425394
777687,change_point,0.25659973799512725
777688,change_point,0.04487268891748083
777689,change_point,0.08467756383219008
777690,change_point,0.3278495557929015
777691,change_point,0.054149435534255226
777692,change_point,0.1086118009910412
777693,change_point,0.15695439996759067
777694,change_point,0.052461279342130254
777695,change_point,0.06860948817903337
777696,change_point,0.05533333248228339
777697,change_point,0.12508992148887807
777698,change_point,0.30573081657729995
777699,change_point,0.07868359138699173
777700,change_point,0.04439724358168433
777701,change_point,0.332703908166978
777702,context_split,0.595604121731649
777703,change_point,0.08322216247899342
777704,change_point,0.11866439823665534
777705,change_point,0.15689255562691998
777706,change_point,0.05428179304775717
777707,change_point,0.11771878730423933
777708,change_point,0.04402139860191708
777709,change_point,0.3515896693283821
777710,change_point,0.21089481589969955
777711,change_point,0.048028347611021704
777712,change_point,0.22271252982443218
777713,change_point,0.11544803063783582
777714,change_point,0.4475766501596002
777715,change_point,0.11012533663977034
777716,change_point,0.12290601691887466
777717,change_point,0.37566202993640146
777718,change_point,0.0882559074898409
777719,change_point,0.39515244671235217
777720,change_point,0.07908984630132707
777721,change_point,0.04733108422735962
777722,change_point,0.049733217401071415
777723,change_point,0.04980261718741478
777724,change_point,0.07809478475270917
777725,change_point,0.3299740564555054
777726,change_point,0.0589688674791797
777727,change_point,0.10950534511957112
777728,change_point,0.09568841682412546
777729,change_point,0.11399462538508139
777730,change_point,0.07066200419963184
777731,change_point,0.14687714330059692
777732,change_point,0.11580749176001695
777733,change_point,0.0473553091963553
777734,context_split,0.7881804082678264
777735,change_point,0.22365868967211183
777736,change_point,0.06416631836000741
777737,change_point,0.10291260233899631
777738,change_point,0.11477424033393334
777739,change_point,0.09296154388380104
