seed,truth,heldout_log_per_observation,preheldout_complexity_per_observation,matched_comparators,best_matched_comparator,generating_family_margin,maximum_decomposition_error
778000,global_downweight,"[-2.124496189228476, -2.2235306501563112, -2.684281371385752, -2.1448423681211874, -2.7398462844506435]","[0.27453015883325643, 0.3430732211149646, 0.30728346728357553, 0.36308939557712616, 0.15154825571841918]","[""context_split""]",context_split,0.5597851821572757,1.4210854715202004e-14
778001,global_downweight,"[-2.104144996823643, -2.23803380995919, -2.5753491541998033, -2.115125889109742, -2.739909237031519]","[0.27471944455918174, 0.35390786410436764, 0.21632070791293947, 0.35728787157649206, 0.08685813894486309]",[],,nan,1.4210854715202004e-14
778002,global_downweight,"[-1.9967749198918048, -1.953943903178545, -2.215928030470317, -2.035004935427481, -2.210132551938827]","[0.2474500097252419, 0.33080801866969645, 0.26257176564073886, 0.34466766003555743, 0.18040622976735035]","[""context_split""]",context_split,0.21915311057851206,2.842170943040401e-14
778003,global_downweight,"[-1.9834411207326523, -1.9850825113190478, -2.199832021442658, -2.024632970546138, -2.2570319755526898]","[0.21665677660997043, 0.30130458827665796, 0.18254591090906636, 0.32355556495428756, 0.10819207494167428]","[""context_split""]",context_split,0.21639090071000577,1.4210854715202004e-14
778004,global_downweight,"[-1.817953563158163, -1.6984374258043031, -2.130786107572681, -1.7314695186883329, -2.411055285233127]","[0.2631990004275039, 0.3330573140621042, 0.1972951518786434, 0.3460009431374746, 0.16420656514285806]",[],,nan,2.1316282072803006e-14
778005,global_downweight,"[-2.2092154220106712, -2.2450901572784563, -2.134559684689978, -2.27055769876048, -2.5666220138511804]","[0.2385084224195048, 0.3146921697769452, 0.25686384955526154, 0.32607528390105334, 0.09635231462734926]","[""context_split""]",context_split,-0.0746557373206933,1.4210854715202004e-14
778006,global_downweight,"[-2.339107257465389, -2.2880988514365876, -2.4162217748994363, -2.3200893401373435, -2.6814991491813576]","[0.21584451353889003, 0.2876494101661135, 0.15062910628224402, 0.28120408121219986, 0.12620590182424204]",[],,nan,1.4210854715202004e-14
778007,global_downweight,"[-2.372408979310726, -2.4080953047839015, -2.6146340075308467, -2.420196574400978, -3.0084629634535593]","[0.29077482168026175, 0.38747478659432133, 0.25829091492301265, 0.39113037144812085, 0.2157995568831278]","[""context_split""]",context_split,0.24222502822012082,1.4210854715202004e-14
778008,global_downweight,"[-1.8621099643899832, -1.8805706697302726, -1.873413130094364, -1.9609952264887553, -1.8263283263022076]","[0.29109604512781145, 0.3645626080217282, 0.23602511630064515, 0.36363262977610394, 0.16607624217177513]",[],,nan,1.4210854715202004e-14
778009,global_downweight,"[-2.0602098729804874, -2.1168463262837323, -2.201387595963223, -2.2227337291607077, -2.4247494374162724]","[0.24458824642470808, 0.33546423389343016, 0.19371082386577113, 0.33973506171392104, 0.07542780406462608]",[],,nan,1.4210854715202004e-14
