seed,selected,heldout,transfer,zero_association_transfer,historical_retention,present_indexing,shuffled_selected,fixed_selected
778700,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-1.8501818989852525, -1.9710821969642618, -1.70888880072191, -1.8484426549364041, -2.330401406805022], ""matched_comparators"": [], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.38918452374906104, 0.4810940360243145, 0.33291954509880956, 0.5009054057051798, 0.19923680864284762]}",0.4499999999999753,0.0,0.0,0.4499999999999753,context_split,global_downweight
778701,global_downweight,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": 0.05943441546814743, ""heldout_log_per_observation"": [-2.4722617948289516, -2.4409858168691603, -2.396834614529877, -2.5212191348572723, -2.4562690299980243], ""matched_comparators"": [""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.29873872328315526, 0.39848757606727564, 0.22702709517091027, 0.39953346305856235, 0.18634748675898172]}",0.4499999999999993,0.0,0.0,0.4499999999999993,change_point,global_downweight
778702,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": -0.05900738254558213, ""heldout_log_per_observation"": [-2.8336803995052584, -2.6921999340350062, -2.583570366781065, -2.622704834915381, -2.524562984235483], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.2873177432067244, 0.3823939651918699, 0.24301158730937697, 0.3860391504669776, 0.21114113571033777]}",-0.44999999997443446,0.0,0.0,-0.44999999997443446,continuous_drift,context_split
778703,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.12561169238224323, ""heldout_log_per_observation"": [-1.907665410937077, -1.8340061839774489, -1.7820537185548337, -1.9208931883665006, -1.6581290085363865], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.32891866815444576, 0.4154183237301474, 0.28534327135711834, 0.4068909805551028, 0.15221961395182862]}",-0.44999999997443446,0.0,0.0,-0.44999999997443446,change_point,context_split
778704,change_point,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.3720471462408703, ""heldout_log_per_observation"": [-2.4760555738794974, -2.2773331067197162, -2.104008427638627, -2.0704900780679596, -2.006671143436317], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.31004198088938834, 0.3957313104406502, 0.337964063593499, 0.40659138929673805, 0.22997127174216603]}",0.4499999999999993,0.0,0.0,0.4499999999999993,context_split,context_split
778705,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.13498483447783016, ""heldout_log_per_observation"": [-2.4795652629945497, -2.521006712926849, -2.3445804285167196, -2.539967006672838, -3.488285083547721], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.2611927633656135, 0.3543956152591101, 0.23766855464944822, 0.3549146200655204, 0.06770691174999831]}",0.44999999999999996,0.0,0.0,0.44999999999999996,context_split,change_point
778706,context_split,"{""best_matched_comparator"": ""cue_local_relearning"", ""generating_family_margin"": 0.27686693901607917, ""heldout_log_per_observation"": [-2.2233116907861117, -2.196486203935293, -1.9196192649192136, -2.208405372279314, -2.042047411826754], ""matched_comparators"": [""cue_local_relearning""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.4070125344331434, 0.5130650353642693, 0.4645942899383167, 0.5243646747867771, 0.17924605033235919]}",-0.44999999999920387,0.0,0.0,-0.44999999999920387,context_split,context_split
778707,change_point,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.071397818728883, -2.1199527478593456, -1.9700847468080633, -2.028062509667034, -1.950131037046078], ""matched_comparators"": [], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.29460831602509446, 0.37612558770912563, 0.1609578745411361, 0.3717697101679474, 0.05771369531454421]}",-0.45,0.0,0.0,-0.45,change_point,continuous_drift
778708,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.27657257824409776, ""heldout_log_per_observation"": [-2.7038449502075803, -2.646645759500304, -2.4272723719634826, -2.5687471880727832, -2.8908117123539556], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.31804274071747624, 0.41981331511643805, 0.34472472221795014, 0.4317135923312077, 0.3751876676492227]}",-0.45,0.0,0.0,-0.45,cue_local_relearning,context_split
778709,context_split,"{""best_matched_comparator"": null, ""generating_family_margin"": NaN, ""heldout_log_per_observation"": [-2.6373180577786597, -2.6853241367637066, -2.74203576276133, -2.8272621218766485, -3.5409367666822593], ""matched_comparators"": [], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.26286426879918134, 0.3533745354332661, 0.21000333110649724, 0.37443474678801897, 0.07614915168004854]}",0.44999999999999996,0.0,0.0,0.44999999999999996,cue_local_relearning,context_split
778710,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.5259068436660828, ""heldout_log_per_observation"": [-2.467134143433179, -2.256915318808815, -1.941227299767096, -2.1484655654762674, -1.8542190391224027], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.36688669569730087, 0.460052290624412, 0.3961546433519576, 0.4779616605574137, 0.321103182599191]}",0.4499999999992039,0.0,0.0,0.4499999999992039,context_split,cue_local_relearning
