meta_state,gamma_min,gamma_max,gamma_l2_lr,policy_horizon,stable,dwell_times,precision_sign_changes,precision_amplitude,mean_dwell,max_dwell,refocus_count,policy_switches,gamma_l2_min,gamma_l2_max
low,0.2,14.0,1.2,8,False,3;3;3,12,13.8,3.0,3.0,9,6,0.2,14.0
high,0.2,14.0,1.2,12,False,1;1;1,12,5.76,1.0,1.0,4,7,0.2,5.96
low,0.2,14.0,1.2,12,False,3;3;3,12,13.8,3.0,3.0,15,6,0.2,14.0
high,0.2,14.0,1.8,1,False,1;1;1,40,8.64,1.0,1.0,0,0,0.2,8.84
low,0.2,14.0,1.8,1,False,3;1;1,40,13.8,1.6666666666666667,3.0,0,0,0.2,14.0
high,0.2,14.0,1.8,3,False,1;1;1,40,8.64,1.0,1.0,3,6,0.2,8.84
low,0.2,14.0,1.8,3,False,3;3;3,40,13.8,3.0,3.0,3,6,0.2,14.0
high,0.2,14.0,1.8,5,False,1;1;1,40,8.64,1.0,1.0,3,6,0.2,8.84
low,0.2,14.0,1.8,5,False,3;3;3,40,13.8,3.0,3.0,9,6,0.2,14.0
high,0.2,14.0,1.8,8,False,1;1;1,40,8.64,1.0,1.0,3,6,0.2,8.84
low,0.2,14.0,1.8,8,False,3;3;3,40,13.8,3.0,3.0,9,6,0.2,14.0
high,0.2,14.0,1.8,12,False,1;1;1,40,8.64,1.0,1.0,4,7,0.2,8.84
low,0.2,14.0,1.8,12,False,3;3;3,40,13.8,3.0,3.0,15,6,0.2,14.0
high,0.2,14.0,2.2,1,False,2;1;1,40,10.56,1.3333333333333333,2.0,0,0,0.2,10.76
low,0.2,14.0,2.2,1,False,3;1;1,40,13.8,1.6666666666666667,3.0,0,0,0.2,14.0
high,0.2,14.0,2.2,3,False,2;2;2,40,10.56,2.0,2.0,6,6,0.2,10.76
low,0.2,14.0,2.2,3,False,3;3;3,40,13.8,3.0,3.0,6,6,0.2,14.0
high,0.2,14.0,2.2,5,False,2;2;2,40,10.56,2.0,2.0,6,6,0.2,10.76
low,0.2,14.0,2.2,5,False,3;3;3,40,13.8,3.0,3.0,12,6,0.2,14.0
high,0.2,14.0,2.2,8,False,2;2;2,40,10.56,2.0,2.0,6,6,0.2,10.76
low,0.2,14.0,2.2,8,False,3;3;3,40,13.8,3.0,3.0,18,6,0.2,14.0
high,0.2,14.0,2.2,12,False,2;2;2,40,10.56,2.0,2.0,7,7,0.2,10.76
low,0.2,14.0,2.2,12,False,3;3;3,40,13.8,3.0,3.0,18,6,0.2,14.0
high,0.2,14.0,2.8,1,False,2;1;1,40,13.44,1.3333333333333333,2.0,0,0,0.2,13.639999999999999
low,0.2,14.0,2.8,1,False,3;1;1,40,13.8,1.6666666666666667,3.0,0,0,0.2,14.0
high,0.2,14.0,2.8,3,False,2;2;2,40,13.44,2.0,2.0,6,6,0.2,13.639999999999999
low,0.2,14.0,2.8,3,False,3;3;3,40,13.8,3.0,3.0,8,6,0.2,14.0
high,0.2,14.0,2.8,5,False,2;2;2,40,13.44,2.0,2.0,6,6,0.2,13.639999999999999
low,0.2,14.0,2.8,5,False,3;3;3,40,13.8,3.0,3.0,12,6,0.2,14.0
high,0.2,14.0,2.8,8,False,2;2;2,40,13.44,2.0,2.0,6,6,0.2,13.639999999999999
low,0.2,14.0,2.8,8,False,3;3;3,40,13.8,3.0,3.0,18,6,0.2,14.0
high,0.2,14.0,2.8,12,False,2;2;2,40,13.44,2.0,2.0,7,7,0.2,13.639999999999999
low,0.2,14.0,2.8,12,False,3;3;3,40,13.8,3.0,3.0,18,6,0.2,14.0
