local_deviation_sd,seed,compact_forecast_error,nested_forecast_error,independent_forecast_error,compact_accuracy,nested_accuracy,independent_accuracy,nested_effective_shrinkage
0.0,12001,0.2854560985319872,0.3015109429513084,0.5493176644477258,0.85,0.85,0.85,8.335665299576185
0.0,12002,0.463017991546512,0.48056901974455535,0.6318390969703681,0.75,0.75,0.75,8.403696980597518
0.0,12003,0.3516261924094415,0.3364197278650755,0.6878288786869047,0.6666666666666666,0.6666666666666666,0.6666666666666666,8.381962632104427
0.0,12004,0.38898183098550954,0.3841951551994581,0.6580325844040815,0.8833333333333333,0.8833333333333333,0.8833333333333333,8.174183358439665
0.0,12005,0.4141961355943326,0.4199272144708888,0.5445482258582863,0.8666666666666667,0.8666666666666667,0.8666666666666667,8.275006725865403
0.0,12006,0.47528091662013283,0.508832181145783,0.7728911558652679,0.7333333333333333,0.7333333333333333,0.7333333333333333,8.323595937478212
0.0,12007,0.13390263341111067,0.14614406680331324,0.4957775272826547,0.7666666666666667,0.7666666666666667,0.7666666666666667,8.370193233467607
0.0,12008,0.19173054847725784,0.19638447553096244,0.4983033264808417,0.7833333333333333,0.7833333333333333,0.7833333333333333,8.316752522506402
0.0,12009,0.21489901880566148,0.26674176917778225,0.6956481087165695,0.7833333333333333,0.7833333333333333,0.7833333333333333,8.320853608158767
0.0,12010,0.4897672662049868,0.497323076475892,0.7268395573130113,0.7833333333333333,0.7833333333333333,0.7833333333333333,8.337048274509051
0.0,12011,0.4700496942998612,0.4949621397676622,0.8533202647455852,0.8,0.8,0.8,8.330281573528344
0.0,12012,0.1902315192440159,0.2260098432000181,0.6281703718560533,0.7833333333333333,0.7833333333333333,0.7833333333333333,8.378930938401403
0.0,12013,0.23244364862036815,0.283967397984688,0.5472405987177309,0.8,0.8,0.8166666666666667,8.324893342454855
0.0,12014,0.40435721818169074,0.4155869432965413,0.6134130690638059,0.6833333333333333,0.7,0.7,8.36353782711999
0.0,12015,0.3025151218891615,0.2605328417069035,0.49506037907642614,0.7666666666666667,0.7666666666666667,0.7666666666666667,8.35785696319503
0.0,12016,0.20522354462174017,0.23098863269510322,0.6490431310032316,0.75,0.75,0.75,8.340556728856251
0.0,12017,0.38210763550132226,0.37803355165467867,0.5921485687949851,0.8833333333333333,0.8833333333333333,0.8833333333333333,8.31130048112953
0.0,12018,0.32239843851210753,0.4401258965571516,0.7042138279041104,0.7166666666666667,0.7166666666666667,0.7166666666666667,8.253097235684404
0.0,12019,0.21745602911819487,0.2590842521836775,0.5896648927759347,0.75,0.7333333333333333,0.7333333333333333,8.225581681372157
0.0,12020,0.655535144045892,0.6611726564710553,0.8114666779594886,0.8,0.8,0.8,8.260447668680774
2.0,12001,2.493663363880197,0.8345950569373306,1.1878704859818559,0.7666666666666667,0.7666666666666667,0.7666666666666667,1.7085374990920983
2.0,12002,4.162908290079213,1.036070995210236,1.547880236191339,0.6,0.5833333333333334,0.5833333333333334,0.671600823232168
2.0,12003,3.0933021009646544,1.3091049141778737,1.1368243147850725,0.6,0.6,0.6,1.480455763954434
2.0,12004,2.19742532171938,0.8704022065204385,0.8744202433949694,0.85,0.85,0.85,2.6393600964549653
2.0,12005,2.873903604899435,1.2447694011660384,1.1879562832132409,0.6333333333333333,0.6166666666666667,0.6,1.9746662629688594
2.0,12006,2.9395376033584295,1.1767414147890498,1.2682198836924443,0.7166666666666667,0.7166666666666667,0.7166666666666667,1.4501875555926744
2.0,12007,2.8936523138551804,0.8550004118672659,0.7889509665356019,0.8833333333333333,0.8833333333333333,0.8833333333333333,1.250386641585075
2.0,12008,2.2607261447046643,0.77342818620497,0.917314925504011,0.5666666666666667,0.5666666666666667,0.5666666666666667,1.9761524791593381
2.0,12009,2.561411179778916,1.1110876801759806,1.0608459705022286,0.5333333333333333,0.5333333333333333,0.5333333333333333,2.27230922256029
2.0,12010,2.344471896167504,1.024408807444229,1.0008415314617982,0.9666666666666667,0.9666666666666667,0.9666666666666667,2.2080596857603307
2.0,12011,2.3144075324254043,1.0209591272773826,0.7920000464870095,0.65,0.6333333333333333,0.6333333333333333,2.322168897226651
2.0,12012,2.4732312087177446,0.9872215125663474,1.0026807837173037,0.9333333333333333,0.9166666666666666,0.9166666666666666,2.1629080911014062
2.0,12013,1.4592176821696459,0.6373876146071134,0.6269633936103757,0.9333333333333333,0.9333333333333333,0.9666666666666667,4.377738954650327
2.0,12014,3.2435913074678497,1.3196615420257458,1.4135015925707466,0.6166666666666667,0.6166666666666667,0.6166666666666667,1.1800329528616231
2.0,12015,3.076718963720796,1.130833835671024,1.0941646828279044,0.6,0.5666666666666667,0.5666666666666667,1.1702680094859148
2.0,12016,2.5880943830712173,1.1906114437512236,1.2314081401806598,0.9166666666666666,0.9166666666666666,0.9166666666666666,2.0457611652709424
2.0,12017,3.1798738378839464,1.336819432866364,1.3691922420793083,0.9833333333333333,0.9833333333333333,0.9833333333333333,1.2950660170627448
2.0,12018,2.5184617850834132,1.3221725785619451,1.2914578100493366,0.55,0.55,0.55,2.263694797165393
2.0,12019,3.0602319220420573,1.0281308118223116,0.9250978667195077,0.5166666666666667,0.5166666666666667,0.5166666666666667,1.2394804056547604
2.0,12020,2.593855834736932,1.1491284096783714,1.0892807597447753,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.893143595395141
