seed,model,episode_kind,episode_index,t,p_s1,p_s2,p_s3,p_s4,p_phi1,p_phi2,p_phi3,p_phi4
11,FlatFixed,natural,1,1,0.09155653231151786,0.21442977498116952,0.5070082453162916,0.18700544739102098,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,2,0.1275526191323496,0.3513574539949294,0.44413631224605105,0.07695361462666997,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,3,0.014473093604271497,0.9424174191076715,0.037850076018410006,0.005259411269646969,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,4,0.017847914502774103,0.9502611617766085,0.029105770224850523,0.002785153495766838,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,5,0.006555774235832128,0.9312599958930746,0.059260805847062045,0.0029234240240312596,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,6,0.0028987256686056964,0.03838335957154968,0.9542267728710516,0.004491141888793018,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,7,0.0030651063301743373,0.007630178201862108,0.9790926756304402,0.010212039837523437,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,8,0.007705648149949915,0.002238950071454155,0.9857532801171266,0.004302121661469454,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,9,0.003273741240069775,0.001237808725275443,0.9883741771560627,0.007114272878592076,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,10,0.00558929905511054,0.0008963728945631382,0.9917995455435323,0.0017147825067940704,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,11,0.0003112963965716192,0.0001597022838105804,0.9993448447078288,0.00018415661178904202,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,12,0.00027804622568302267,0.00016983506489273042,0.9993973011085737,0.00015481760085068113,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,13,0.004544236565547159,0.0013251287007954445,0.9933254408946103,0.0008051938390471291,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,14,0.0014510343158562367,0.004550080318690308,0.9931824730967548,0.0008164122686985677,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,15,0.0007124752193362615,0.00036983587154982775,0.9987060350497778,0.00021165385933607836,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,16,0.01241458119464918,0.0009697958856702579,0.9857198434291119,0.0008957794905687576,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,17,0.01723119578817389,0.001393506975412092,0.980327711423491,0.0010475858129229717,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,18,0.014792699461029993,0.0033542474433750124,0.9806847814086593,0.0011682716869356434,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,19,0.0033354929766022637,0.01494698577733011,0.9805457357680147,0.0011717854780527485,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,20,0.0014059143425359031,0.01753067717553362,0.9799922416105592,0.0010711668713711514,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,21,0.0010340233606351181,0.01284104174174484,0.9851003762374554,0.0010245586601646908,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,22,0.0006917665992090402,0.0011138075165403672,0.9972447137231429,0.0009497121611077293,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,23,0.010813906146416162,0.0033425479539845163,0.9686836816774316,0.017159864222167785,NaN,NaN,NaN,NaN
11,FlatFixed,natural,1,24,0.06669651086611075,0.012114732245900811,0.9014880470830849,0.019700709804903387,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,1,0.0038628531192772975,0.0023535983461737305,0.9914299972241267,0.00235355131042217,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,2,0.005746484087205708,0.0010262127815297544,0.9922012374564476,0.0010260656748169656,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,3,0.00036626622329314577,0.00016741495260368905,0.9992996638399992,0.00016665498410394189,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,4,0.0009428507674384756,0.00023816087901915983,0.9985998238366184,0.00021916451692399793,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,5,0.024201136731090544,0.0022867387792049345,0.9718437102053429,0.001668414284361452,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,6,0.7476436728200238,0.025874757906339318,0.22099560898317355,0.005485960290463325,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,7,0.7044309264977054,0.0917256675845803,0.1955018977490953,0.008341508168618927,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,8,0.46174751199767605,0.4870420952200538,0.038622064133937165,0.01258832864833298,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,9,0.1836187661060623,0.7718020451297536,0.011471408720131087,0.033107780044052994,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,10,0.14957314222179335,0.8398351402381524,0.0036524989254601587,0.0069392186145941425,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,11,0.4207006105124021,0.5684950496446726,0.0056620367006843505,0.005142303142241021,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,12,0.6891583445284581,0.2931530614097527,0.012300538821707303,0.0053880552400817055,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,13,0.5729312878682515,0.3554537722901873,0.05596238518590842,0.015652554655652913,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,14,0.10012729981559258,0.8289732153816282,0.025683122549570288,0.045216362253209144,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,15,0.017225661478234358,0.9490320541790551,0.02528460639612949,0.008457677946581085,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,16,0.0027596477777985205,0.9914852832452525,0.004894012880827752,0.0008610560961213235,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,17,0.012512456371558303,0.9646457982663661,0.020482207460428496,0.0023595379016469985,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,18,0.004516563309019785,0.8768935340540422,0.1144872442756471,0.004102658361290728,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,19,0.004593111964619884,0.7845227608652422,0.1976233926147482,0.013260734555389802,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,20,0.010660352456209783,0.6552528321495671,0.26663828923557886,0.06744852615864431,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,21,0.01959710923008704,0.17608260329551825,0.7523875287287737,0.05193275874562106,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,22,0.06738567762387489,0.15772205517764498,0.6458714101152959,0.1290208570831841,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,23,0.031012446787978043,0.26264525536388683,0.18619076632880832,0.5201515315193269,NaN,NaN,NaN,NaN
11,FlatFixed,probe,1,24,0.02514586378568638,0.7185490134759798,0.07476242272533196,0.18154270001300182,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,1,0.02032974568344919,0.07738826173922073,0.869617239027782,0.03266475354954793,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,2,0.021744051856207904,0.12334368764145878,0.8391633276058532,0.01574893289648005,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,3,0.005542966876663127,0.9551511204989072,0.03542792360647884,0.0038779890179507976,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,4,0.004189425489847682,0.9727268125440368,0.02118854278351161,0.0018952191826041873,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,5,0.0028513150751667358,0.9541139826109243,0.04094830949709472,0.0020863928168144167,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,6,0.0014391379683624645,0.019688671615973163,0.9774358724931463,0.001436317922517906,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,7,0.0003875792617888061,0.0013384132967229484,0.9975832577665203,0.0006907496749678248,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,8,0.0004072007036522695,0.00030594452140265315,0.9990364174046886,0.00025043737025642817,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,9,0.00019392033130401708,0.00018266357782675377,0.9992800775016746,0.0003433385891941967,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,10,0.00031578441485963373,0.00015226354219524725,0.9993714744534994,0.0001604775894452133,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,11,7.635293890412325e-5,7.219745463306294e-5,0.999778850512683,7.259909377962e-5,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,12,7.460844904505929e-5,7.128772971343056e-5,0.9997830327439547,7.107107728674765e-5,NaN,NaN,NaN,NaN
11,LocalPrecision,natural,1,13,0.0003020250687001692,0.0001497644303041159,0.9994049622136922,0.00014324828730348966,NaN,NaN,NaN,NaN
