seed,regime,dominance,depth,correct_2d,loss_2d,loss_1d,scalar_truth
702427,quiet_narrowing,0.0,0.0,true,3.198830717378221e-5,3.015365012175231e-5,0.0
702427,blended_capture,1.0,0.0,true,0.00013060668367282242,0.5001052148369075,0.5
702427,self_led_witnessing,0.0,1.0,true,4.4467303859905566e-5,0.5000007373144919,0.5
702427,known_urgent_threat,1.0,1.0,true,0.0005495904029316511,0.0005431767571189764,1.0
702428,quiet_narrowing,0.0,0.0,true,0.0006562122772761754,3.5089642191769416e-5,0.0
702428,blended_capture,1.0,0.0,true,0.0003149347169354972,0.5000266970669827,0.5
702428,self_led_witnessing,0.0,1.0,true,0.0007226176118549947,0.5007216050819214,0.5
702428,known_urgent_threat,1.0,1.0,true,0.0006325014544262176,0.00033483696542638974,1.0
702429,quiet_narrowing,0.0,0.0,true,0.0001330253526395189,0.0001179767283056809,0.0
702429,blended_capture,1.0,0.0,true,0.0004981202832980748,0.5003061789367956,0.5
702429,self_led_witnessing,0.0,1.0,true,9.876609490232382e-5,0.5000055574489597,0.5
702429,known_urgent_threat,1.0,1.0,true,0.00047538136392560735,0.00018440131391603216,1.0
702430,quiet_narrowing,0.0,0.0,true,0.002608905414500334,0.0005840625069864854,0.0
702430,blended_capture,1.0,0.0,true,0.0012648498895451062,0.5010167522547612,0.5
702430,self_led_witnessing,0.0,1.0,true,9.412892547007887e-5,0.500001273469634,0.5
702430,known_urgent_threat,1.0,1.0,true,9.724322807754696e-6,7.235614776580248e-6,1.0
702431,quiet_narrowing,0.0,0.0,true,0.0005182785228296544,1.6405334819202297e-6,0.0
702431,blended_capture,1.0,0.0,true,0.00016184089715629967,0.500108466930325,0.5
702431,self_led_witnessing,0.0,1.0,true,0.0006379102383413673,0.5000164421403466,0.5
702431,known_urgent_threat,1.0,1.0,true,3.017196102563074e-5,2.7997347464787306e-5,1.0
702432,quiet_narrowing,0.0,0.0,true,0.0011551309813037157,0.0011511547205807638,0.0
702432,blended_capture,1.0,0.0,true,0.0003689373085181938,0.500006634469294,0.5
702432,self_led_witnessing,0.0,1.0,true,0.0016179538569120416,0.5015491858580526,0.5
702432,known_urgent_threat,1.0,1.0,true,5.0649857746433744e-5,2.4190480137099838e-5,1.0
702433,quiet_narrowing,0.0,0.0,true,0.0006702100148235305,0.0006606227168659419,0.0
702433,blended_capture,1.0,0.0,true,6.67008653501194e-5,0.5000425794631915,0.5
702433,self_led_witnessing,0.0,1.0,true,0.0003543180121469065,0.5001487020070124,0.5
702433,known_urgent_threat,1.0,1.0,true,0.0002724455948127631,1.6820185200017992e-5,1.0
702434,quiet_narrowing,0.0,0.0,true,0.0004315285816019275,2.6003695815288817e-6,0.0
702434,blended_capture,1.0,0.0,true,0.0004191319910370309,0.5001750367671788,0.5
702434,self_led_witnessing,0.0,1.0,true,0.0007301746142665149,0.5006063893493186,0.5
702434,known_urgent_threat,1.0,1.0,true,0.0005286436230731027,6.558049072183382e-5,1.0
702435,quiet_narrowing,0.0,0.0,true,0.0007253145246632612,6.940913002950137e-5,0.0
702435,blended_capture,1.0,0.0,true,0.00030957608965483205,0.5002787991271946,0.5
702435,self_led_witnessing,0.0,1.0,true,0.0012644078144682202,0.5005173419601185,0.5
702435,known_urgent_threat,1.0,1.0,true,0.0005202190516588747,2.105117707072372e-5,1.0
702436,quiet_narrowing,0.0,0.0,true,0.0004689875309328128,7.955558615053553e-5,0.0
702436,blended_capture,1.0,0.0,true,0.00061045349802258,0.5006104503079574,0.5
702436,self_led_witnessing,0.0,1.0,true,8.550393273408911e-5,0.5000117734473966,0.5
702436,known_urgent_threat,1.0,1.0,true,0.00029917425107236443,2.6626065721316453e-7,1.0
702437,quiet_narrowing,0.0,0.0,true,0.00019910672559042352,0.00016933785955862074,0.0
702437,blended_capture,1.0,0.0,true,0.0009921739213077179,0.5001028567528337,0.5
702437,self_led_witnessing,0.0,1.0,true,0.0008506059038765615,0.5000385208819764,0.5
702437,known_urgent_threat,1.0,1.0,true,0.00016305732320857994,0.0001512811531933594,1.0
702438,quiet_narrowing,0.0,0.0,true,0.0008442102612974806,2.309599443074024e-5,0.0
702438,blended_capture,1.0,0.0,true,0.0004851320066853015,0.5000261242276902,0.5
702438,self_led_witnessing,0.0,1.0,true,3.7402002978418634e-6,0.5000036616976808,0.5
702438,known_urgent_threat,1.0,1.0,true,0.0002626491684541894,0.00024313571283367914,1.0
702439,quiet_narrowing,0.0,0.0,true,5.6538926252667346e-5,3.906881025116556e-5,0.0
702439,blended_capture,1.0,0.0,true,0.00048786642387819025,0.500006528379681,0.5
702439,self_led_witnessing,0.0,1.0,true,0.000391359503109547,0.5001107472177654,0.5
702439,known_urgent_threat,1.0,1.0,true,0.00010767318221070583,0.00010767051579620591,1.0
702440,quiet_narrowing,0.0,0.0,true,0.00032111472477834314,2.71941624376806e-5,0.0
