arm,omega,kappa,n_seeds,mean_potential_aversive_count,mean_delivered_aversive_count,mean_suppressed_aversive_count,mean_exposure_rate,mean_successful_relief_action_count,mean_policy_approach_count,mean_policy_flee_count,mean_policy_appease_count,mean_policy_attenuate_count,potential_after_approach_count,exposed_after_approach_count,exposure_rate_after_approach,potential_after_flee_count,exposed_after_flee_count,exposure_rate_after_flee,potential_after_appease_count,exposed_after_appease_count,exposure_rate_after_appease,potential_after_attenuate_count,exposed_after_attenuate_count,exposure_rate_after_attenuate,exposure_accounting_error
closed_loop,0.4,0.8,10,41.8,26.4,15.4,0.6410484241234745,26.0,0.0,200.0,0.0,0.0,0,0,0.0,415,261,0.6289156626506024,0,0,0.0,0,0,0.0,-1.7763568394002505e-15
closed_loop,0.4,0.9,10,41.8,26.4,15.4,0.6410484241234745,26.0,0.0,200.0,0.0,0.0,0,0,0.0,415,261,0.6289156626506024,0,0,0.0,0,0,0.0,-1.7763568394002505e-15
closed_loop,0.4,1.0,10,41.8,26.4,15.4,0.6410484241234745,26.0,0.0,200.0,0.0,0.0,0,0,0.0,415,261,0.6289156626506024,0,0,0.0,0,0,0.0,-1.7763568394002505e-15
closed_loop,0.4,1.1,10,41.8,26.4,15.4,0.6410484241234745,26.0,0.0,200.0,0.0,0.0,0,0,0.0,415,261,0.6289156626506024,0,0,0.0,0,0,0.0,-1.7763568394002505e-15
closed_loop,0.4,1.2,10,41.8,26.4,15.4,0.6410484241234745,26.0,0.0,200.0,0.0,0.0,0,0,0.0,415,261,0.6289156626506024,0,0,0.0,0,0,0.0,-1.7763568394002505e-15
closed_loop,0.4,1.3,10,41.8,26.4,15.4,0.6410484241234745,26.0,0.0,200.0,0.0,0.0,0,0,0.0,415,261,0.6289156626506024,0,0,0.0,0,0,0.0,-1.7763568394002505e-15
closed_loop,0.4,1.4,10,41.8,26.4,15.4,0.6410484241234745,26.0,0.0,200.0,0.0,0.0,0,0,0.0,415,261,0.6289156626506024,0,0,0.0,0,0,0.0,-1.7763568394002505e-15
closed_loop,0.6,0.0,10,54.4,50.2,4.2,0.9249451108498743,5.3,5.8,75.5,96.3,22.4,22,21,0.9545454545454546,176,159,0.9034090909090909,281,257,0.9145907473309609,61,61,1.0,-4.440892098500626e-15
closed_loop,0.6,0.1,10,54.4,43.7,10.7,0.8068828591632803,13.6,0.0,140.4,40.8,18.8,0,0,0.0,383,295,0.7702349869451697,108,89,0.8240740740740741,49,49,1.0,-3.552713678800501e-15
closed_loop,0.6,0.2,10,54.4,39.9,14.5,0.7397547336339381,18.3,0.0,161.2,20.0,18.8,0,0,0.0,438,308,0.7031963470319634,53,38,0.7169811320754716,49,49,1.0,0.0
closed_loop,0.6,0.3,10,54.4,37.6,16.8,0.6964719379987016,21.4,0.0,161.2,20.0,18.8,0,0,0.0,438,285,0.6506849315068494,53,38,0.7169811320754716,49,49,1.0,-3.552713678800501e-15
closed_loop,0.6,0.4,10,54.4,36.2,18.2,0.6698058034874574,23.1,0.0,161.2,20.0,18.8,0,0,0.0,438,272,0.6210045662100456,53,37,0.6981132075471698,49,49,1.0,-3.552713678800501e-15
closed_loop,0.6,0.5,10,54.4,33.6,20.8,0.620263059428997,26.4,0.0,180.1,19.9,0.0,0,0,0.0,487,295,0.6057494866529775,53,37,0.6981132075471698,0,0,0.0,-3.552713678800501e-15
closed_loop,0.6,0.6,10,54.4,32.1,22.3,0.5936717915912675,28.7,0.0,200.0,0.0,0.0,0,0,0.0,540,317,0.587037037037037,0,0,0.0,0,0,0.0,-3.552713678800501e-15
closed_loop,0.6,0.7,10,54.4,31.1,23.3,0.5753936664525048,29.9,0.0,200.0,0.0,0.0,0,0,0.0,540,307,0.5685185185185185,0,0,0.0,0,0,0.0,-3.552713678800501e-15
closed_loop,0.6,0.8,10,54.4,30.8,23.6,0.5699548242489568,30.0,0.0,200.0,0.0,0.0,0,0,0.0,540,304,0.562962962962963,0,0,0.0,0,0,0.0,-3.552713678800501e-15
closed_loop,0.6,0.9,10,54.4,30.8,23.6,0.5699548242489568,30.0,0.0,200.0,0.0,0.0,0,0,0.0,540,304,0.562962962962963,0,0,0.0,0,0,0.0,-3.552713678800501e-15
