experiment,seed,iteration,phi_1,phi_2,phi_3,residual_1,residual_2,residual_3,global_state,free_energy_proxy
coordinated_global,8201,1,0.5963008285862176,0.5882573395870099,0.4967501995565148,0.5293417210279096,0.5353362656534298,0.42179003219780814,0.4967501995565148,6.957692218619428
coordinated_global,8201,2,0.680207598743716,0.6646569477063413,0.5639754549629273,0.48350169604011256,0.49414338799912105,0.3943847439996781,0.5639754549629273,7.003616049505761
coordinated_global,8201,3,0.7203262657019096,0.6993540344293502,0.5953498032808509,0.46286638554965354,0.47665814275481055,0.38646391491609366,0.5953498032808509,7.031956451038963
coordinated_global,8201,4,0.7400449978088243,0.7155951948161796,0.6104297581975823,0.4529873432869553,0.46876140587340426,0.38273525047889223,0.6104297581975823,7.046968267945626
coordinated_global,8201,5,0.7498448014225431,0.7233260170876469,0.6177813109881442,0.44813076742018076,0.46508090488577364,0.3809339003602614,0.6177813109881442,7.054624028392698
coordinated_global,8201,6,0.7547341299539619,0.7270450042312158,0.6213912498195907,0.4457168999370638,0.46333427646302805,0.38005272072151763,0.6213912498195907,7.058468661031337
coordinated_global,8201,7,0.7571754134497221,0.7288471603265305,0.6231707567448801,0.4445124230136004,0.4624958376438208,0.379618974969388,0.6231707567448801,7.060386145104012
coordinated_global,8201,8,0.758393757203737,0.7297251263022255,0.6240498543734683,0.4439109417399677,0.4620901694040423,0.3794047861188689,0.6240498543734683,7.061339418851416
coordinated_global,8201,9,0.7590012162345313,0.7301545774715097,0.6244846876831786,0.4436107334092897,0.4618927612332423,0.3792988371445408,0.6244846876831786,7.061812625713671
coordinated_global,8201,10,0.759303792475184,0.7303652918965285,0.6246999386074924,0.44346103722533964,0.4617962819937119,0.37924638019725937,0.6246999386074924,7.062047363718827
coordinated_global,8201,11,0.7594543712161393,0.7304689288163233,0.6248065451749037,0.44338646771268003,0.461748973821745,0.3792203940089859,0.6248065451749037,7.062163771786022
coordinated_global,8201,12,0.7595292509293071,0.7305199958845748,0.6248593615671119,0.4433493555832345,0.46172571734048895,0.3792075167759253,0.6248593615671119,7.062221492250689
coordinated_global,8201,13,0.7595664641920417,0.7305451954272073,0.62488553467904,0.44333089963384087,0.4617142620144874,0.37920113426966917,0.62488553467904,7.062250111641489
coordinated_global,8201,14,0.75958494916897,0.7305576442726261,0.624898506927121,0.4433217271820634,0.4617086109045849,0.3791979703994926,0.624898506927121,7.062264301915375
coordinated_global,8201,15,0.7595941277003975,0.7305637994533415,0.6249049371935035,0.44331717081683025,0.46170581981685177,0.3791964018923072,0.6249049371935035,7.062271337937032
coordinated_global,8201,16,0.7595986838440093,0.73056684484307,0.6249081249332914,0.44331490835114296,0.4617044400342925,0.3791956242441242,0.6249081249332914,7.062274826698128
coordinated_global,8201,17,0.7596009449488551,0.7305683523847825,0.6249097053334609,0.4433137852644656,0.4617037574517242,0.37919523867627725,0.6249097053334609,7.062276556605029
coordinated_global,8201,18,0.7596020668793476,0.7305690989522816,0.6249104888971349,0.44331322789649247,0.4617034195913374,0.37919504749997895,0.6249104888971349,7.062277414394508
coordinated_global,8201,19,0.7596026234892823,0.7305694687826336,0.6249108774043519,0.44331295133516857,0.46170325228869846,0.3791949527063823,0.6249108774043519,7.062277839742188
coordinated_global,8201,20,0.759602899603963,0.7305696520306041,0.6249110700403023,0.4433128141270949,0.46170316941630635,0.3791949057025966,0.6249110700403023,7.06227805065925
coordinated_global,8201,21,0.7596030365634877,0.7305697428451301,0.6249111655584527,0.4433127460625909,0.461703128355625,0.37919488239521826,0.6249111655584527,7.062278155247469
