seed,disposition,scaffold,positive_without_scaffold,permission_episode,root_episode,permission_before_root,descent,root_change
709453,neutral,coupled,false,17,22,true,true,0.22934594171289557
709453,neutral,decoupled,false,0,0,false,false,0.0
709453,adverse,coupled,false,0,0,false,false,0.0
709453,adverse,decoupled,false,0,0,false,false,0.0
709453,trustworthy,none,true,0,0,false,false,0.0
709454,trustworthy,coupled,false,8,10,true,true,0.4578699967595573
709454,trustworthy,decoupled,false,0,0,false,false,0.0
709454,neutral,coupled,false,13,15,true,true,0.3078490730314908
709454,neutral,decoupled,false,0,0,false,false,0.0
709454,adverse,coupled,false,0,0,false,false,0.0
709454,adverse,decoupled,false,0,0,false,false,0.0
709454,trustworthy,none,true,0,0,false,false,0.0
709455,trustworthy,coupled,false,4,8,true,true,0.45988306129836787
709455,trustworthy,decoupled,false,0,0,false,false,0.0
709455,neutral,coupled,false,5,0,true,false,-0.063454873807535
709455,neutral,decoupled,false,0,0,false,false,0.0
709455,adverse,coupled,false,18,0,true,false,-0.019298255923653806
709455,adverse,decoupled,false,0,0,false,false,0.0
709455,trustworthy,none,true,0,0,false,false,0.0
709456,trustworthy,coupled,false,4,12,true,true,0.4554838466337032
709456,trustworthy,decoupled,false,0,0,false,false,0.0
709456,neutral,coupled,false,5,7,true,true,0.37988953945954174
709456,neutral,decoupled,false,0,0,false,false,0.0
709456,adverse,coupled,false,0,0,false,false,0.0
709456,adverse,decoupled,false,0,0,false,false,0.0
709456,trustworthy,none,true,0,0,false,false,0.0
709457,trustworthy,coupled,false,4,8,true,true,0.4718013865820675
709457,trustworthy,decoupled,false,0,0,false,false,0.0
709457,neutral,coupled,false,5,9,true,true,0.3181668461047963
709457,neutral,decoupled,false,0,0,false,false,0.0
709457,adverse,coupled,false,0,0,false,false,0.0
709457,adverse,decoupled,false,0,0,false,false,0.0
709457,trustworthy,none,true,0,0,false,false,0.0
709458,trustworthy,coupled,false,4,6,true,true,0.46219143421019704
709458,trustworthy,decoupled,false,0,0,false,false,0.0
709458,neutral,coupled,false,4,0,true,false,-0.0005122695347984929
709458,neutral,decoupled,false,0,0,false,false,0.0
709458,adverse,coupled,false,0,0,false,false,0.0
709458,adverse,decoupled,false,0,0,false,false,0.0
709458,trustworthy,none,true,0,0,false,false,0.0
709459,trustworthy,coupled,false,4,6,true,true,0.48860852912334507
709459,trustworthy,decoupled,false,0,0,false,false,0.0
709459,neutral,coupled,false,12,15,true,true,0.3639413951398708
709459,neutral,decoupled,false,0,0,false,false,0.0
709459,adverse,coupled,false,0,0,false,false,0.0
709459,adverse,decoupled,false,0,0,false,false,0.0
709459,trustworthy,none,true,0,0,false,false,0.0
709460,trustworthy,coupled,false,4,8,true,true,0.33865125229230564
709460,trustworthy,decoupled,false,0,0,false,false,0.0
709460,neutral,coupled,false,18,20,true,true,0.32030018432877916
709460,neutral,decoupled,false,0,0,false,false,0.0
709460,adverse,coupled,false,0,0,false,false,0.0
709460,adverse,decoupled,false,0,0,false,false,0.0
709460,trustworthy,none,true,0,0,false,false,0.0
709461,trustworthy,coupled,false,5,7,true,true,0.49071777732976807
709461,trustworthy,decoupled,false,0,0,false,false,0.0
