seed,step,regime,context,true_phi_1,true_phi_2,true_phi_3,evidence_1,evidence_2,evidence_3,global_weight,adaptive_rmse,forced_global_rmse,local_rmse,global_log_evidence,local_log_evidence
8401,1,coordinated_1,0.6829446026943252,0.6917201139399142,0.44172011393991417,0.5917201139399142,0.3525841865111325,0.2511377284918461,0.44045918022175923,0.6521197431148262,0.5841592443644124,0.5841592443644124,0.5841592443644124,-4.676909245413032,-4.8193999163157635
8401,2,coordinated_1,0.7451015390089464,0.7364731080864413,0.48647310808644134,0.6364731080864413,0.6247947168399567,0.028916426336799677,0.3334118759651751,0.6511064767170496,0.27944115032295386,0.274790230153223,0.2881887963469348,-1.2762350956113926,-1.2937680232284432
8401,3,coordinated_1,0.6773697703322074,0.6877062346391893,0.4377062346391893,0.5877062346391893,0.4177698585461506,0.5474816361420132,0.3000394659373435,0.6473176692105881,0.2508048029427926,0.2514910999430059,0.24952749512833325,-1.0018785477547507,-0.9958170435858554
8401,4,coordinated_1,0.6196771389195681,0.646167540022089,0.39616754002208904,0.546167540022089,0.6756557418185591,0.1287841585849416,0.024167725849479564,0.6493367113076011,0.18756665639682682,0.18950283286064729,0.18420487191328497,-0.8709194543573968,-0.9057630894905366
8401,5,coordinated_1,0.5852403313560851,0.6213730385763813,0.37137303857638126,0.5213730385763813,0.5546153047627278,0.14096319141938324,0.6171133848016676,0.6501034373504792,0.20214005971590387,0.20491941988966675,0.19719749572812767,-0.7879989042774745,-0.8157652127200476
8401,6,coordinated_1,0.45753709493811434,0.5294267083554423,0.2794267083554423,0.4294267083554423,0.32605708737200123,0.16289049143412027,0.794938241860418,0.6491414628593681,0.08904342469300187,0.09452998239988561,0.07887150204312633,-1.162524852985403,-1.1775840236414905
8401,7,coordinated_1,0.11068433571244254,0.27969272171295867,0.029692721712958628,0.17969272171295864,0.282915375921378,0.29105260454230014,0.2349961205211804,0.74648682959531,0.2230012305304535,0.2069758653299429,0.2869478705322783,-1.03923728220021,-1.9054969323218633
8401,8,coordinated_1,-0.4449012275902382,-0.12032888386497148,-0.3703288838649715,-0.2203288838649715,0.20761037591242387,0.13291551457685138,0.003313159999092414,0.8335233839542505,0.4543114066829463,0.4461797410838823,0.5018549307442698,-1.049018471627258,-2.187632833764918
8401,9,coordinated_1,-1.0128985695701247,-0.5292869700904896,-0.7792869700904898,-0.6292869700904897,-0.18353915963789727,-0.8970945981279406,-0.5744401544377966,0.8780504100652647,0.6576357459948574,0.6544774593077051,0.6894546578739721,-2.044890919083919,-3.052590165059398
8401,10,coordinated_1,-1.3080479778639007,-0.7417945440620084,-0.9917945440620085,-0.8417945440620085,-0.6148729979169935,-1.0408614356927541,-0.831541533606743,0.8832505574168128,0.34944319847661276,0.3474572813769093,0.374966529410703,-0.9931496358920963,-1.5491857717357174
8401,11,coordinated_1,-1.138322969659504,-0.6195925381548428,-0.8695925381548429,-0.7195925381548429,-0.5637586412186024,-0.899166975955484,-0.9463586874972227,0.8659747005215359,0.16198800821047396,0.16024845256889814,0.1835617457040473,-0.7432659620299229,-0.9387068668420837
8401,12,coordinated_1,-0.5426054989284785,-0.1906759592285045,-0.4406759592285045,-0.29067595922850453,-0.18388150466723227,-0.43435298923832333,0.012094402319120267,0.8407306336599686,0.04001764113787521,0.03763984745038953,0.05646682001116177,-0.46536041045982945,-0.5284443905174634
8401,13,coordinated_1,0.21822143065055774,0.3571194300684016,0.10711943006840156,0.25711943006840154,0.5493213784612102,0.10470802145282342,0.3305579531010819,0.8169291931596961,0.054359271209287824,0.05484988318726067,0.05504951249433725,-0.38236651975267866,-0.4413963379215634
8401,14,coordinated_1,0.814723172043768,0.7866006838715129,0.5366006838715128,0.6866006838715129,0.651454364021615,0.6068990247293813,0.8433894880425366,0.797236563239543,0.0962320857534032,0.09659839639280483,0.10156438220892594,-0.5327430974037718,-0.6121146631506947
8401,15,coordinated_1,1.0412052965442131,0.9496678135118335,0.6996678135118334,0.8496678135118334,0.7666734184982688,1.0048387229738944,0.8467175185150486,0.7753434611314288,0.08348954232633946,0.08218541435924144,0.1054073403691099,-0.7555453412080453,-0.7865670580239735
8401,16,coordinated_1,0.914826547213344,0.8586751139936077,0.6086751139936076,0.7586751139936077,0.8213428233557739,0.7652008444043398,0.6865396150919354,0.7617940406805236,0.048034640610320624,0.041719244470980105,0.08692029252614553,-0.3145525963242967,-0.4014238643835386
8401,17,coordinated_1,0.619677138919568,0.646167540022089,0.3961675400220889,0.5461675400220889,0.7338516657442932,0.6254159403650238,0.6455521798578548,0.7439330562905538,0.027607487238226765,0.020572798961924064,0.05289775190681443,-0.3793728419982949,-0.40524354584865596
