seed,initial_global_weight,broken_global_weight,recovered_global_weight,shared_adaptive_rmse,shared_local_rmse,broken_adaptive_rmse,broken_forced_global_rmse,recovery_adaptive_rmse,recovery_local_rmse
8401,0.7097680396046834,0.08145128927820974,0.7455181151821868,0.06559603032167904,0.07596287911210849,0.31595939566551867,0.5741477502722915,0.16327337255664243,0.19682570153017898
8402,0.6883265125296546,0.11673597088410981,0.7079348633310871,0.10450744730347228,0.12183531886155156,0.33633435777219944,0.566020995126847,0.15878716282903332,0.17306801776737504
8403,0.7162209314042925,0.08708012538572099,0.757307303067639,0.06625384988377395,0.0735124422597359,0.33024636855408657,0.5698816016437089,0.16841584298274365,0.18747901666016328
8404,0.711140061069986,0.07098267318268983,0.6800946185864257,0.09012875218483699,0.09613839585250507,0.34476657862804094,0.5892697831672813,0.11050173666851204,0.17773696451049828
8405,0.6663928351052816,0.09211921930895918,0.7260089013793867,0.11409551793368533,0.13689716738074117,0.3448282341351823,0.5773613247514113,0.1511886079291095,0.1947073058101733
8406,0.7005943125645089,0.06759503504852088,0.7492139683910003,0.09096836608847733,0.08381602081133425,0.3022813865189129,0.5659335741245355,0.13796974405173854,0.17123582272390564
8407,0.677327116849737,0.044927883357606745,0.7710407472447953,0.08394292552907302,0.11646405002712754,0.25622273827717706,0.5617971364725098,0.18035083841102356,0.20258421032817703
8408,0.7093652283789146,0.04644120568382773,0.7803683163189487,0.0970923004854323,0.11397156878691628,0.28326659147608807,0.570749139627855,0.12610872735187462,0.1564855076409197
8409,0.6902260501799955,0.08758940770314842,0.7609424807630123,0.09168716275532483,0.1036278711688329,0.3327394320763756,0.5822171201313131,0.1672441017345314,0.18892688173363595
8410,0.7220602174593497,0.0937486857652874,0.7385417008110919,0.09233163422134863,0.09938475428458868,0.3247956920882377,0.5656647169170338,0.1665243152936465,0.21392081762874873
8411,0.7150247557986553,0.04548587837701309,0.7090916642272227,0.06664496101627071,0.07920841459520356,0.2984910864921861,0.5852102540172592,0.15409772847104025,0.1830871565131295
8412,0.7121266550251298,0.054172158994242256,0.7774551504497584,0.07125629514970992,0.07421853108745637,0.3112760427508494,0.584188629333123,0.130089775366749,0.16837761894990447
8413,0.7003215001500254,0.09492384868991727,0.7235645005078981,0.05491529111410105,0.06386186618241836,0.33264966124176565,0.5708896723194273,0.13412580187417456,0.16448802955241817
8414,0.7122392675390619,0.08606315346494267,0.7347977790327924,0.11898803932024671,0.11323230414462024,0.34013434425440475,0.5855235267630294,0.13881736841156372,0.17781835730667428
8415,0.6935538716894756,0.0585726695507194,0.7224190483736119,0.10222285934770436,0.11799550044131939,0.29314779803491287,0.5743400193501098,0.19563674310683263,0.21486303565731935
8416,0.7196294610190366,0.0912582095861322,0.7189604467438786,0.10528387001061712,0.11185919248960483,0.34663039337579765,0.5780133021391848,0.17120463450955883,0.19628649829192227
8417,0.708346742086413,0.09888079770722843,0.7652121821641935,0.08823096218215493,0.08978075332041772,0.32401559881468955,0.5712566638853191,0.16986474580205704,0.21422189520907975
8418,0.7071657997498567,0.09796597844200347,0.7110760628987804,0.05812970173622005,0.07198430077840398,0.3113630034824916,0.5571885132372115,0.20882605523873138,0.2338377943311481
8419,0.7138101062983699,0.07133334419504826,0.7697027257720748,0.07815012350132104,0.09228196470194452,0.28983936190202353,0.5653386543805523,0.18576369928533815,0.20478381010237623
8420,0.6970606253141018,0.10623166575080142,0.7524301148092343,0.09418877349617318,0.11727700967589061,0.3546598723194674,0.5868695410888568,0.15737343154595718,0.18558448909284134
