seed,selected,heldout,transfer,raw_transfer,zero_association_transfer,historical_retention,present_indexing,shuffled_selected,fixed_selected
783711,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": -0.04786447430682195, ""heldout_log_per_observation"": [-2.452823236325755, -2.2530212057157684, -1.9884056167770732, -2.229562876188999, -1.9405411424702512], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.29109604051526544, 0.3861528137878349, 0.23253253535743343, 0.39817505697652433, 0.18682417403032126]}",0.39999999997450697,0.39999999997450697,0.0,0.0,0.39999999997450697,context_split,cue_local_relearning
783712,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.026620063405093042, ""heldout_log_per_observation"": [-1.8192322912053296, -1.8599841493793274, -1.7926122278002365, -1.9080803357628904, -2.074451389808382], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3731212933503038, 0.4737018779473283, 0.35376718228985754, 0.4949755039382427, 0.3284320515609919]}",0.39999999793506014,0.39999999793506014,0.0,0.0,0.39999999793506014,cue_local_relearning,global_downweight
783713,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.46990881663445805, ""heldout_log_per_observation"": [-2.3165475944187994, -2.339930627196402, -1.8466387777843414, -2.391492943776048, -3.0864823992300314], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.4098531985374847, 0.5049413880701555, 0.4473598534027264, 0.5306253134085759, 0.1605924146591087]}",0.4,0.4,0.0,0.0,0.4,cue_local_relearning,cue_local_relearning
783714,context_split,"{""best_matched_comparator"": ""cue_local_relearning"", ""generating_family_margin"": 0.026156121910293706, ""heldout_log_per_observation"": [-1.5579648705896183, -1.5385370321101925, -1.5123809101998988, -1.5769968519308524, -1.5186482693507015], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3628763497917797, 0.4539397277698313, 0.3418953362428195, 0.47618324404573603, 0.17181559954035674]}",0.39999998141554194,0.39999998141554194,0.0,0.0,0.39999998141554194,context_split,global_downweight
783715,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.5275837789191575, ""heldout_log_per_observation"": [-2.4640230761396262, -2.213968493890322, -1.9364392972204687, -2.0316018421775235, -1.8673760627317852], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.348791507817846, 0.4495878605369071, 0.24835944606001628, 0.42909939602078473, 0.09741939956517613]}",0.4,0.4,0.0,0.0,0.4,context_split,context_split
783716,context_split,"{""best_matched_comparator"": ""continuous_drift"", ""generating_family_margin"": -0.005829022988624644, ""heldout_log_per_observation"": [-1.3696546820651339, -1.5101424559341075, -1.33596138224609, -1.3301323592574654, -3.807433880002952], ""matched_comparators"": [""global_downweight"", ""continuous_drift""], ""maximum_decomposition_error"": 2.842170943040401e-14, ""preheldout_complexity_per_observation"": [0.34138651298178857, 0.44796222284193526, 0.29960150367512034, 0.4243841598173101, 0.07360870407199563]}",0.4,0.4,0.0,0.0,0.4,context_split,context_split
783717,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.08928233965881383, ""heldout_log_per_observation"": [-1.7462786258235017, -1.7554717729571685, -1.6569962861646879, -1.8249674496714858, -3.4163259175436025], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.2834220114342852, 0.37698685687057537, 0.27501339515568274, 0.39809671934591334, 0.11131110285234781]}",0.3999999999996853,0.3999999999996853,0.0,0.0,0.3999999999996853,context_split,context_split
783718,change_point,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.052327142883815014, ""heldout_log_per_observation"": [-2.204349489883845, -2.0804568999259034, -2.15202234700003, -2.204514151749157, -2.0441842174926093], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.38193468427391825, 0.4768732098799291, 0.3207293478682706, 0.47231547519931166, 0.07593621335498138]}",0.4,0.4,0.0,0.0,0.4,context_split,context_split
783719,context_split,"{""best_matched_comparator"": ""cue_local_relearning"", ""generating_family_margin"": 0.09598676821518914, ""heldout_log_per_observation"": [-2.2707237780185254, -2.263818514540201, -2.167831746325012, -2.3412032290944937, -2.3740663840716163], ""matched_comparators"": [""global_downweight"", ""cue_local_relearning"", ""continuous_drift""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.3793297579383936, 0.48640038620064824, 0.38401359847171657, 0.48200351134948355, 0.16664041340968322]}",0.4,0.4,0.0,0.0,0.4,context_split,context_split
783720,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": 0.4507850366462316, ""heldout_log_per_observation"": [-2.1983754148818244, -2.170628462746384, -2.137074356766102, -2.297975478273779, -2.5878593934123337], ""matched_comparators"": [""change_point""], ""maximum_decomposition_error"": 2.842170943040401e-14, ""preheldout_complexity_per_observation"": [0.2772726097459541, 0.3764549495131977, 0.12455578510507294, 0.3516900303763714, 0.06832619870471844]}",0.4,0.4,0.0,0.0,0.4,context_split,context_split
783721,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": 0.45751501791069993, ""heldout_log_per_observation"": [-2.3016919836029555, -2.204697100534501, -2.113349468081668, -2.3974746860644425, -2.570864485992368], ""matched_comparators"": [""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.2449638784017126, 0.3345893654760133, 0.112607041464647, 0.33598453734724926, 0.04417709389974436]}",0.3989041095890411,0.3989041095890411,0.0,0.0,0.3989041095890411,change_point,global_downweight
783722,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": 0.05015134413651534, ""heldout_log_per_observation"": [-2.4025930160951754, -2.2579155704611207, -1.857044265713104, -2.2354215375629796, -1.9071956098496194], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.4021188809306262, 0.498766125817594, 0.33928189190974556, 0.49636593285235775, 0.2732928331990305]}",0.39999999999999614,0.39999999999999614,0.0,0.0,0.39999999999999614,global_downweight,cue_local_relearning
783723,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": -0.062035045794076815, ""heldout_log_per_observation"": [-2.3058141788264495, -2.0720694340557175, -1.823498875977462, -1.8816212460128146, -1.7614638301833851], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.28376284767521914, 0.38274453356997956, 0.17407616818958768, 0.3515259392586924, 0.09723204582094051]}",0.4,0.4,0.0,0.0,0.4,context_split,context_split
783724,context_split,"{""best_matched_comparator"": ""change_point"", ""generating_family_margin"": -0.07176624929534015, ""heldout_log_per_observation"": [-1.7110608461483814, -1.7335282480485645, -1.7710282594376574, -1.830893087547718, -1.6992620101423173], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.40720216784363444, 0.494037469144263, 0.34506476685907517, 0.4962004425159742, 0.312881567168675]}",0.39998645215918716,0.39998645215918716,0.0,0.0,0.39998645215918716,context_split,global_downweight
783725,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.5176236787829227, ""heldout_log_per_observation"": [-1.9788012604357643, -1.9973653611773594, -1.4611775816528416, -2.057140745292159, -2.7936953903526405], ""matched_comparators"": [""global_downweight"", ""change_point""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.29560165319695003, 0.3950949305381288, 0.26484438631575363, 0.4035521288292059, 0.26289257880858136]}",0.3999999999999997,0.3999999999999997,0.0,0.0,0.3999999999999997,global_downweight,global_downweight
783726,context_split,"{""best_matched_comparator"": ""global_downweight"", ""generating_family_margin"": 0.12158993263810292, ""heldout_log_per_observation"": [-2.08653503335685, -2.1013648994782015, -1.9649451007187473, -2.1533795154444464, -3.1371587151140314], ""matched_comparators"": [""global_downweight""], ""maximum_decomposition_error"": 1.4210854715202004e-14, ""preheldout_complexity_per_observation"": [0.2661654602435755, 0.37102016941540933, 0.22366410089883834, 0.373248108485477, 0.04079487905383501]}",0.4,0.4,0.0,0.0,0.4,context_split,context_split
