seed,selected,CS_probability
782500,continuous_drift,1.2936856458221533e-08
782501,continuous_drift,1.0046787968950328e-07
782502,global_downweight,8.540575293732181e-05
782503,context_split,0.9809835159171104
782504,continuous_drift,0.18572922234912037
782505,continuous_drift,0.015812551554265437
782506,cue_local_relearning,0.06812639080537426
782507,continuous_drift,1.8670198357016155e-05
782508,continuous_drift,0.0015445412474224863
782509,continuous_drift,1.647784720500795e-05
782510,continuous_drift,0.15140250207024689
782511,context_split,0.6445083197948096
782512,cue_local_relearning,0.0020110033015660494
782513,continuous_drift,0.0056395819374545925
782514,cue_local_relearning,1.4430568285101964e-06
782515,global_downweight,0.08394181990789777
782516,continuous_drift,3.29209943506882e-07
782517,cue_local_relearning,0.0011975475442601413
782518,continuous_drift,0.006405960460291011
782519,continuous_drift,0.0034025728958923356
782520,cue_local_relearning,0.0866459445893059
782521,continuous_drift,0.0006651038879446818
782522,continuous_drift,0.12005040252699031
782523,continuous_drift,0.0003972030453959827
782524,continuous_drift,5.716683605127944e-06
782525,global_downweight,9.89196671556355e-07
782526,context_split,0.9676358102247592
782527,global_downweight,0.00015470020658536046
782528,cue_local_relearning,0.021793357019462573
782529,continuous_drift,3.119424088841116e-11
782530,continuous_drift,5.238128966922112e-07
782531,continuous_drift,0.047991496262812045
782532,continuous_drift,0.07748176797066639
782533,continuous_drift,9.675304285806096e-06
782534,continuous_drift,0.01680376508580295
782535,continuous_drift,3.335011788562112e-08
782536,continuous_drift,9.23639691900306e-09
782537,continuous_drift,0.0041069287707514775
782538,global_downweight,0.0008300518194954858
782539,continuous_drift,0.0031350554807367424
782540,continuous_drift,0.03479970926543715
782541,change_point,0.4208937944748911
782542,global_downweight,0.0016904372915493265
782543,cue_local_relearning,0.04772616019257292
782544,continuous_drift,0.0009850098047424686
782545,continuous_drift,1.5119660354463765e-10
782546,cue_local_relearning,0.09815540501991943
782547,continuous_drift,2.5679058215430118e-08
782548,context_split,0.7534724380358855
782549,global_downweight,0.016923597993338927
782550,continuous_drift,2.4892687763104637e-07
782551,continuous_drift,3.1625684349994164e-06
782552,continuous_drift,0.09200185881614258
782553,continuous_drift,0.0036879784389087095
782554,global_downweight,0.002014963994507077
782555,continuous_drift,0.00035161645384316874
782556,global_downweight,0.020410972272110875
782557,continuous_drift,0.002170608429585939
782558,global_downweight,1.0536012493340621e-06
782559,continuous_drift,0.00028134314426142044
782560,continuous_drift,2.054005716843014e-05
782561,cue_local_relearning,7.1668559280674584e-09
782562,continuous_drift,3.898090386420183e-06
782563,global_downweight,0.001690412638619793
782564,global_downweight,0.05683008401576129
782565,continuous_drift,0.00017384827356739177
782566,continuous_drift,2.7801025283433608e-05
782567,continuous_drift,0.0005291010237933215
782568,continuous_drift,0.00017170676967770082
782569,continuous_drift,3.533338815666099e-08
782570,cue_local_relearning,0.0007897356521712108
782571,continuous_drift,7.102821093108516e-07
782572,continuous_drift,4.184315763600688e-06
782573,continuous_drift,5.97254897896422e-07
782574,continuous_drift,1.917049797711857e-08
782575,continuous_drift,0.3596492280746999
782576,continuous_drift,0.00027594317199078545
782577,context_split,0.8849328399602763
782578,global_downweight,0.0006436877189603615
782579,cue_local_relearning,1.4582390835987386e-05
782580,continuous_drift,0.07669789134594732
782581,continuous_drift,0.016390766928996842
782582,change_point,0.0363174124728668
782583,continuous_drift,5.096650888852014e-06
782584,change_point,0.3157905600627369
782585,continuous_drift,7.02383299474116e-06
782586,continuous_drift,3.0751351074834594e-07
782587,continuous_drift,0.0006693224186827781
782588,continuous_drift,1.5041431249141209e-05
782589,cue_local_relearning,0.0006705695020168271
782590,cue_local_relearning,0.13676895154782806
782591,continuous_drift,0.0001447030322704193
782592,continuous_drift,0.0002852240036915109
782593,continuous_drift,0.00043538444212475367
782594,continuous_drift,0.07662012438577671
782595,global_downweight,1.9037506244762655e-07
782596,continuous_drift,0.00011197612557553444
782597,continuous_drift,1.3442156217940386e-05
782598,continuous_drift,0.0003637042954878362
782599,global_downweight,1.0979996266614126e-05
782600,continuous_drift,0.09086720278815683
782601,cue_local_relearning,0.0075341116019013625
782602,continuous_drift,2.527438065528076e-09
782603,continuous_drift,1.1111024604751964e-05
782604,continuous_drift,1.1816665497225567e-07
782605,continuous_drift,4.287760127562969e-06
782606,continuous_drift,0.32903641350991325
782607,global_downweight,0.004810931353168512
782608,cue_local_relearning,1.7965390221345793e-06
782609,continuous_drift,0.01062607718287801
782610,continuous_drift,0.23907242869484877
782611,cue_local_relearning,0.05670395708327348
782612,continuous_drift,0.00471223424095554
782613,cue_local_relearning,0.07262967121839092
782614,cue_local_relearning,0.009777564672980806
782615,continuous_drift,1.258561146863904e-07
782616,cue_local_relearning,0.003599690195558542
782617,change_point,0.08631128651962654
782618,global_downweight,1.2892767289238114e-08
782619,continuous_drift,0.02605927675326067
