seed,truth,selected,truth_probability,posterior,maximum_update_identity_error,maximum_decomposition_error
782000,global_downweight,global_downweight,0.8356390868570677,"[0.8356390868570677, 0.13747339828144906, 1.2003904189282333e-09, 0.02688751366109279, 2.186551055464519e-18]",9.325873406851315e-15,1.1368683772161603e-13
782001,global_downweight,global_downweight,0.9242661108790599,"[0.9242661108790599, 0.044593963948738324, 1.5730927833178706e-05, 0.031124194244368856, 2.5834730618948758e-23]",1.509903313490213e-14,8.526512829121202e-14
782002,global_downweight,global_downweight,0.5519686698133383,"[0.5519686698133383, 0.41968812544169415, 0.0008255792221115428, 0.027517625522855957, 9.052108265741936e-18]",7.327471962526033e-15,8.526512829121202e-14
782003,global_downweight,global_downweight,0.9298333937491793,"[0.9298333937491793, 0.0671812152145064, 7.43419542343868e-12, 0.0029853910288801396, 1.360450587687154e-21]",1.2878587085651816e-14,1.1368683772161603e-13
782004,global_downweight,global_downweight,0.9662953875618748,"[0.9662953875618748, 0.0036279211705662513, 2.5519875448800853e-12, 0.030076691265006932, 2.0432310717419568e-24]",1.021405182655144e-14,5.684341886080802e-14
782005,global_downweight,cue_local_relearning,0.22420266652417717,"[0.22420266652417717, 0.7716452119946491, 2.699679068074699e-07, 0.0041518515132669895, 9.69069568961959e-18]",1.3322676295501878e-14,1.4210854715202004e-13
782006,global_downweight,global_downweight,0.9862982791149175,"[0.9862982791149175, 0.010315450879212455, 1.0798505341258953e-12, 0.003386270004790014, 1.4589268373614502e-27]",1.1435297153639112e-14,8.526512829121202e-14
782007,global_downweight,global_downweight,0.9081460679251582,"[0.9081460679251582, 0.0461923410081004, 9.902457719309034e-07, 0.0456606008209696, 2.235549831323708e-25]",1.199040866595169e-14,1.4210854715202004e-13
782008,global_downweight,global_downweight,0.9056631408002923,"[0.9056631408002923, 0.05140320931824184, 4.0167005796121355e-09, 0.04293364586476528, 6.218551107387781e-28]",1.1546319456101628e-14,5.684341886080802e-14
782009,global_downweight,global_downweight,0.9293458090698349,"[0.9293458090698349, 0.007607012321478622, 1.625540624418518e-11, 0.06304717859243104, 2.6711867496505224e-32]",1.4210854715202004e-14,5.684341886080802e-14
782010,global_downweight,global_downweight,0.797955090124512,"[0.797955090124512, 0.19327368063595696, 6.300881535249643e-11, 0.008771229176521726, 2.9754169028844037e-16]",6.661338147750939e-15,8.526512829121202e-14
782011,global_downweight,global_downweight,0.7384537719975202,"[0.7384537719975202, 0.0013594774175155607, 6.027529500753568e-16, 0.26018675058496366, 9.581216392332767e-26]",1.7763568394002505e-14,1.9895196601282805e-13
782012,global_downweight,global_downweight,0.8792977996564901,"[0.8792977996564901, 0.08789978083674038, 1.541770941700646e-05, 0.03278700179735219, 1.7682652646894493e-16]",1.1102230246251565e-14,8.526512829121202e-14
782013,global_downweight,global_downweight,0.9294471873992332,"[0.9294471873992332, 0.009578857109318072, 3.1469061574775877e-09, 0.060973952344542524, 3.545684699302537e-20]",8.43769498715119e-15,5.684341886080802e-14
