seed,truth,heldout_log_per_observation,preheldout_complexity_per_observation,matched_comparators,best_matched_comparator,generating_family_margin,maximum_decomposition_error
783212,context_split,"[-2.0924972979156795, -2.12914900877467, -1.9729860662217673, -2.174152816939502, -2.0241690546972926]","[0.29492703727297515, 0.37169426237642883, 0.17800476603188467, 0.38221210572150993, 0.1631793494321689]","[""global_downweight"", ""change_point""]",change_point,0.05118298847552527,1.4210854715202004e-14
783213,context_split,"[-1.8801886731009727, -1.985631931964078, -2.052812013523278, -1.825586088766883, -2.1023712584238456]","[0.25633065500859215, 0.3277529602814916, 0.17812195735484018, 0.32215925165880993, 0.13986188909988087]","[""global_downweight"", ""change_point""]",global_downweight,-0.1726233404223052,1.4210854715202004e-14
783214,context_split,"[-2.036868722802337, -2.0274641913228564, -1.9543852261183599, -2.1460771317283873, -2.5661614592952393]","[0.42457588043206657, 0.5136282768440154, 0.3709478998241753, 0.48862086497450424, 0.2524799792456625]","[""global_downweight"", ""continuous_drift"", ""change_point""]",global_downweight,0.08248349668397736,1.4210854715202004e-14
783215,context_split,"[-2.4288531051055022, -2.2464194426293362, -2.0865850894330995, -2.1644753946995925, -2.1150190000606077]","[0.40281353252052304, 0.4974609943810186, 0.4579766360946154, 0.5102020843722866, 0.49791310074439776]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""]",change_point,0.02843391062750822,1.4210854715202004e-14
783216,context_split,"[-1.8181540200166992, -1.9034764644431572, -1.8440117939380265, -1.8262793432703894, -1.8523249297873372]","[0.2885577063971648, 0.3725288717563913, 0.1992718900701781, 0.3881605559646646, 0.12477072971808367]","[""global_downweight"", ""change_point""]",global_downweight,-0.025857773921327265,2.1316282072803006e-14
783217,context_split,"[-2.112527479662405, -2.000564646565726, -2.0780823998376423, -1.9860846274592392, -2.2267564857207383]","[0.2815373694115937, 0.3783290892963547, 0.27152336410941996, 0.38192942776127553, 0.21377293462479563]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""]",continuous_drift,-0.09199777237840312,1.4210854715202004e-14
783218,context_split,"[-2.300872922300207, -2.2886113635879193, -2.2681201743417265, -2.309090104823036, -3.544458123101726]","[0.3613837993410039, 0.43740158644822924, 0.40486038194168655, 0.4465558069025292, 0.03925090764169919]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift""]",cue_local_relearning,0.020491189246192754,1.4210854715202004e-14
783219,context_split,"[-1.8910936773607157, -1.9988958707283144, -1.8730360881079111, -1.9883684524220824, -4.20408620043931]","[0.2588609897104778, 0.34197412993464377, 0.2938326895306892, 0.35427461086940654, 0.026082636478893306]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift""]",global_downweight,0.01805758925280454,2.842170943040401e-14
783220,context_split,"[-1.6461762113743497, -1.804189159850762, -1.8475725765868898, -1.5136528143810422, -1.7755873207218285]","[0.32710854425073027, 0.41851959368036873, 0.29595795119326274, 0.431601303910956, 0.19959577713961316]","[""global_downweight"", ""cue_local_relearning"", ""change_point""]",global_downweight,-0.20139636521254012,2.842170943040401e-14
783221,context_split,"[-2.398453891460373, -2.4430729379890996, -2.2499229847215654, -2.448287586579421, -3.287105344493459]","[0.2875331700540751, 0.3822849351479642, 0.2982986504551602, 0.36407522204187864, 0.1025031430041032]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift""]",global_downweight,0.14853090673880764,0.0
783222,context_split,"[-2.0574224562631604, -2.029736096011704, -1.9194210048111868, -2.1239363165805685, -2.197575328212684]","[0.3270500719380174, 0.4204553811706562, 0.30084153211666537, 0.42434791907424846, 0.21669400837903674]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""]",cue_local_relearning,0.1103150912005173,1.4210854715202004e-14
783223,context_split,"[-2.4570995335611823, -2.4004513678044397, -2.5780602003333177, -2.5039807690953086, -2.505546280894774]","[0.32084971746473806, 0.40290626246803535, 0.21067373333587838, 0.3844401907997659, 0.08494627153417587]","[""global_downweight"", ""change_point""]",global_downweight,-0.12096066677213546,1.4210854715202004e-14
783224,context_split,"[-2.402621150708355, -2.21950022605278, -2.0561850099359162, -2.2783785188253756, -2.1070223040934133]","[0.2973967023113125, 0.39002139599615177, 0.35433001362663097, 0.3915967295373952, 0.38003580583148566]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""]",change_point,0.05083729415749705,1.4210854715202004e-14
783225,context_split,"[-1.9696566536803282, -2.0774455777444505, -1.7342096304949663, -2.198267115612466, -3.0864823992328674]","[0.26110335510561644, 0.32800905061877134, 0.2544913322243405, 0.33194087177748743, 0.10092642763005417]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift""]",global_downweight,0.23544702318536181,1.4210854715202004e-14
783226,context_split,"[-2.07543117645863, -2.1035658532124755, -2.3787720561595016, -2.1567160574735045, -3.586517154219247]","[0.30901413820995066, 0.3911942992923554, 0.24276548680624124, 0.3903943373831422, 0.04602699821372727]","[""global_downweight""]",global_downweight,-0.30334087970087165,1.4210854715202004e-14
783227,context_split,"[-1.8234908211322267, -1.6669438924634852, -1.5743577065893, -1.7433924262316722, -1.4624912462085762]","[0.30159245046248145, 0.37670292057620663, 0.28303507910535364, 0.38763409122710507, 0.14040598123266362]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift""]",cue_local_relearning,0.09258618587418521,1.4210854715202004e-14
783228,context_split,"[-1.9464455453711578, -1.6740310897900992, -1.3865769286508662, -1.3497887469741459, -1.2668014114210173]","[0.34297546548930774, 0.4229600951984008, 0.29393836521691535, 0.42093199366018746, 0.06857705446077406]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift""]",continuous_drift,-0.03678818167672038,2.1316282072803006e-14
783229,context_split,"[-1.815595094024311, -1.7978946414511672, -1.8264850864470938, -1.8560072477887388, -2.9501518843270356]","[0.23962209362374234, 0.31354797953600194, 0.244218682756832, 0.33746311038211596, 0.06244116608849287]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift""]",cue_local_relearning,-0.028590444995926667,1.4210854715202004e-14
783230,context_split,"[-2.156312593930629, -2.1853843806426365, -1.8544645944490972, -2.1401444240225205, -1.9470634810807272]","[0.32121547214984736, 0.3975378144716469, 0.32459137850688463, 0.3977352181729956, 0.26929150054252976]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""]",change_point,0.09259888663163007,1.4210854715202004e-14
783231,context_split,"[-2.4760167736829377, -2.3298526830908948, -2.493234943052369, -2.505867352431035, -2.587979669132567]","[0.2909894029387178, 0.36639577711928967, 0.2110213297362811, 0.3840234173977502, 0.16029723768754697]","[""global_downweight"", ""change_point""]",global_downweight,-0.017218169369431102,1.4210854715202004e-14
783232,context_split,"[-1.9873971293556352, -1.859058754517159, -1.5950920791426224, -1.8558838475739057, -2.0223900443227008]","[0.32026011934426346, 0.4006144969461685, 0.27271043537342626, 0.4113433441358641, 0.12707421859581103]","[""global_downweight"", ""cue_local_relearning""]",cue_local_relearning,0.26396667537453666,1.4210854715202004e-14
783233,context_split,"[-2.2411254051865006, -2.114539177126182, -2.0373945908470317, -2.045224188088981, -2.5274537476100276]","[0.32234482433703954, 0.3999174583656904, 0.29980419301768074, 0.41806826649446965, 0.1904427104227255]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""]",continuous_drift,0.007829597241949315,1.4210854715202004e-14
783234,context_split,"[-1.84777802062293, -1.8652365891263019, -1.7653241207659018, -1.9263377826054446, -2.8866670728705746]","[0.3277020627845973, 0.41627651243262137, 0.3855488662062971, 0.436074859122179, 0.08026460025288558]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift""]",global_downweight,0.08245389985702811,1.4210854715202004e-14
783235,context_split,"[-1.779417174071133, -1.732875275618384, -1.5311577186586733, -1.805124194981107, -1.3485116985188572]","[0.3017026275853161, 0.3816024086448224, 0.19551500151086285, 0.40805144443156166, 0.03624925911820464]","[""global_downweight""]",global_downweight,0.24825945541245975,1.4210854715202004e-14
783236,context_split,"[-1.9823511517725034, -2.145057579431854, -2.0590248387447136, -1.8125194704919823, -2.0136584138564357]","[0.2105492325442431, 0.3152103577712475, 0.23531719564816198, 0.31963011671270897, 0.18685637259399243]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""]",continuous_drift,-0.2465053682527314,2.1316282072803006e-14
783237,context_split,"[-1.5104745887318707, -1.5894634511125743, -1.4741249818814728, -1.7181126533407358, -3.9061477296101055]","[0.28347641440197774, 0.3486814349686351, 0.2931218370025328, 0.35811463902011725, 0.13261869440586183]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift""]",global_downweight,0.0363496068503979,7.105427357601002e-15
783238,context_split,"[-2.247188071371208, -2.229141839966596, -2.290240901816669, -2.3476590823945473, -2.375514682736439]","[0.2504784186145865, 0.3416271859461156, 0.258393753173831, 0.3432049543560487, 0.19483195714450133]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift"", ""change_point""]",cue_local_relearning,-0.06109906185007308,2.842170943040401e-14
783239,context_split,"[-2.3092231842630033, -2.2018296923598877, -2.0411052026607797, -2.3427326542717353, -2.1449937413919233]","[0.42528398733945677, 0.5057444477508569, 0.3851944623592752, 0.51413702131805, 0.08300912036639947]","[""global_downweight"", ""cue_local_relearning"", ""continuous_drift""]",cue_local_relearning,0.16072448969910802,2.842170943040401e-14
783240,continuous_drift,"[-2.406640944587947, -2.2445335031127476, -2.1261438956520387, -2.2083600516011312, -1.8747455948333478]","[0.2246874794178034, 0.28017540809878655, 0.13450237848286267, 0.2999285368213276, 0.09720919918120562]","[""global_downweight"", ""cue_local_relearning""]",cue_local_relearning,0.03617345151161633,1.4210854715202004e-14
783241,continuous_drift,"[-2.29849584410084, -2.410652949759938, -2.435338825938138, -2.2028774285827657, -2.3579290202722074]","[0.3135069729239754, 0.40220797619857507, 0.27773853163394635, 0.3929185703657357, 0.2732844554740197]","[""global_downweight"", ""cue_local_relearning"", ""context_split"", ""change_point""]",global_downweight,0.09561841551807415,1.4210854715202004e-14
783242,continuous_drift,"[-1.6701848402754376, -1.6982416728077379, -2.0084053639178174, -1.7423163932207277, -1.951009054340643]","[0.24054759673226256, 0.3066344480160109, 0.1353898787250005, 0.3000737418151396, 0.0594592189086452]","[""global_downweight"", ""cue_local_relearning""]",global_downweight,-0.07213155294529017,1.4210854715202004e-14
783243,continuous_drift,"[-1.3974633610029983, -1.5308456249357878, -1.3011217050224992, -1.435173803624667, -1.3448137929863417]","[0.32989657964955216, 0.4195271569726616, 0.301261469219364, 0.40661451640475427, 0.32113396292195795]","[""global_downweight"", ""cue_local_relearning"", ""context_split"", ""change_point""]",context_split,-0.13405209860216782,4.263256414560601e-14
783244,continuous_drift,"[-2.0234693102977914, -2.029548427738214, -2.4263754295538, -2.1232914321797978, -2.4145726481766374]","[0.20166373074457622, 0.27364233148963074, 0.1889121101774388, 0.26934021387875157, 0.13900266430908823]","[""global_downweight"", ""cue_local_relearning"", ""context_split""]",global_downweight,-0.09982212188200634,1.4210854715202004e-14
783245,continuous_drift,"[-1.9672797559060555, -1.8736014312330127, -2.11217792224687, -1.983721897521277, -2.207153646749701]","[0.2855680630062884, 0.36956348554898716, 0.28190486399064385, 0.38200621418623637, 0.19957459560454097]","[""global_downweight"", ""cue_local_relearning"", ""context_split""]",cue_local_relearning,-0.11012046628826422,2.842170943040401e-14
783246,continuous_drift,"[-1.830001686877381, -1.9395241915044066, -1.844354414348933, -1.8590887321191794, -3.7138192817648497]","[0.2656430089951342, 0.34724553403408787, 0.23455526689719694, 0.33431666994401527, 0.03857375674876353]","[""global_downweight"", ""cue_local_relearning"", ""context_split""]",global_downweight,-0.029087045241798393,1.4210854715202004e-14
783247,continuous_drift,"[-1.9953061595401556, -2.0906871680477392, -2.5861694315906423, -1.9252899821565324, -2.802935261152399]","[0.24350942053388905, 0.3224948351185711, 0.15110302392630193, 0.2845319326073031, 0.08382492626121436]","[""global_downweight"", ""cue_local_relearning""]",global_downweight,0.0700161773836232,1.4210854715202004e-14
783248,continuous_drift,"[-1.8967558563889755, -1.969071850808513, -2.4246626474074935, -1.9214369874253974, -2.669397915258658]","[0.23293153479488152, 0.32286986326276196, 0.182316940013311, 0.3307673847994898, 0.034556606287349696]","[""global_downweight"", ""cue_local_relearning""]",global_downweight,-0.02468113103642189,1.4210854715202004e-14
783249,continuous_drift,"[-2.300650437560452, -2.333731790255177, -2.26659169459539, -2.361938947483851, -2.6771567736631523]","[0.3053816765265416, 0.38623637173595876, 0.2791030620009203, 0.4037230812432709, 0.21109779899329137]","[""global_downweight"", ""cue_local_relearning"", ""context_split""]",context_split,-0.09534725288846069,1.4210854715202004e-14
783250,continuous_drift,"[-1.8550794743825643, -1.7357050695430916, -2.4803074909570384, -1.7731479040446878, -2.282180079849647]","[0.29991367543081066, 0.380423386280138, 0.23209880283169618, 0.39171962888086925, 0.050004818782057654]","[""global_downweight"", ""cue_local_relearning""]",cue_local_relearning,-0.037442834501596245,4.263256414560601e-14
783251,continuous_drift,"[-2.234475929873411, -2.280505576465279, -2.394647920192181, -2.4645293208965917, -2.3340279712235343]","[0.25332006912809696, 0.33085870592235084, 0.1601426641764442, 0.3042263315127062, 0.05463708532952957]","[""global_downweight"", ""cue_local_relearning""]",global_downweight,-0.2300533910231808,1.4210854715202004e-14
783252,continuous_drift,"[-2.2146719335204335, -2.1071651246892085, -2.1184349526848116, -2.070373498451425, -2.3035576430697198]","[0.32249842409795676, 0.4110976035156256, 0.24832900637607602, 0.38475144654667476, 0.08357175863554817]","[""global_downweight"", ""cue_local_relearning""]",cue_local_relearning,0.036791626237783426,1.4210854715202004e-14
783253,continuous_drift,"[-1.7845145456931482, -1.9332489611391868, -2.0231009746901876, -1.6255713219831662, -1.9488109617339981]","[0.2844871330682794, 0.38086767600151955, 0.250995391406841, 0.38949481700371136, 0.2105579822950121]","[""global_downweight"", ""cue_local_relearning""]",global_downweight,0.15894322370998193,2.1316282072803006e-14
783254,continuous_drift,"[-2.355924291060526, -2.243252802926013, -2.1294478909872634, -2.2544626219430564, -2.2448077524017647]","[0.3217870565807566, 0.3894867071736354, 0.2541477201969794, 0.38794952202707167, 0.1106327426746575]","[""global_downweight"", ""cue_local_relearning""]",cue_local_relearning,-0.011209819017043543,1.4210854715202004e-14
783255,continuous_drift,"[-2.2874795094073885, -2.072807755803744, -2.2622695923615534, -1.897997480933343, -2.38411443036928]","[0.22993421490630275, 0.3015296968809224, 0.1886565319889255, 0.28197193414828225, 0.14067349330416698]","[""global_downweight"", ""cue_local_relearning"", ""context_split""]",cue_local_relearning,0.17481027487040102,1.4210854715202004e-14
783256,continuous_drift,"[-2.0449501619783392, -2.010845427662198, -2.610875208741146, -2.093203098440938, -2.662765013234198]","[0.28513168878386136, 0.3709542309551071, 0.21330482322120503, 0.34955823264074004, 0.1187475627629107]","[""global_downweight"", ""cue_local_relearning""]",cue_local_relearning,-0.08235767077874012,1.4210854715202004e-14
