seed,truth,nearest_family,nearest_complexity_gap,complexity_per_observation
781000,global_downweight,context_split,0.014562363494153907,"[0.28433626112041066, 0.37434812329618006, 0.29889862461456457, 0.3770016513208945, 0.1632569563682055]"
781001,global_downweight,context_split,0.02733233536322857,"[0.2588494705197542, 0.33195486793111095, 0.23151713515652564, 0.34131644618047435, 0.0791082154845966]"
781002,global_downweight,context_split,0.0619214892717736,"[0.32115596889826575, 0.4069704699334036, 0.25923447962649215, 0.39894705181337903, 0.15674973077839136]"
781003,global_downweight,change_point,0.009250560159983046,"[0.34070287240242464, 0.42995399757760283, 0.36577965185594774, 0.44956227809266197, 0.3314523122424416]"
781004,global_downweight,context_split,0.03762877611713766,"[0.25792443718614055, 0.33514602448572556, 0.2202956610690029, 0.35795638623972637, 0.16925415840154248]"
781005,global_downweight,context_split,0.0540105792634738,"[0.2053260144540239, 0.2881143073803362, 0.1513154351905501, 0.3189100948362453, 0.05267181789716338]"
781006,global_downweight,context_split,0.06673214851016424,"[0.25130666040445754, 0.3209406862975548, 0.1845745118942933, 0.3277620309347705, 0.0844763001069957]"
781007,global_downweight,context_split,0.025638131678259735,"[0.2874910795623102, 0.36504781021649646, 0.26185294788405045, 0.3909362454647181, 0.17760659198423356]"
781008,global_downweight,context_split,0.029508226699335144,"[0.2711534527339906, 0.3528376572171592, 0.24164522603465546, 0.36810644014460275, 0.11817028087820704]"
781009,global_downweight,cue_local_relearning,0.06171416756603473,"[0.23684843470891495, 0.2985626022749497, 0.16839266543746853, 0.31416316526354326, 0.12482720278896588]"
781010,global_downweight,context_split,0.08159557840983322,"[0.23166006196150765, 0.32364525171601627, 0.15006448355167443, 0.33701901108038035, 0.08606473469927661]"
781011,global_downweight,change_point,0.012612588057305862,"[0.29113397566448757, 0.3707495807444292, 0.30725145063063947, 0.3789636712098637, 0.2785213876071817]"
781012,global_downweight,context_split,0.012234639662523777,"[0.2400481360365727, 0.3176211306206746, 0.22781349637404893, 0.34121651879705467, 0.18367355083650885]"
781013,global_downweight,continuous_drift,0.06931670116556315,"[0.25093621103045244, 0.3273595570239592, 0.16751047397825466, 0.3202529121960156, 0.1004447891031694]"
781014,global_downweight,context_split,0.028969660373759143,"[0.380519817936445, 0.4590899447494221, 0.35155015756268587, 0.47414977639462347, 0.3480708251652957]"
781015,global_downweight,context_split,0.013742344757500358,"[0.30462676066750494, 0.38003460141012285, 0.3183691054250053, 0.4031772273311613, 0.26934708474394164]"
781016,global_downweight,continuous_drift,0.06295219910871969,"[0.278018176061523, 0.35315797908003027, 0.17991876791781256, 0.3409703751702427, 0.065214946621326]"
781017,global_downweight,cue_local_relearning,0.06762931876129236,"[0.249738993085855, 0.31736831184714737, 0.146925893749462, 0.32959462837804787, 0.040909628482295124]"
781018,global_downweight,context_split,0.07510801778160187,"[0.2399004572138205, 0.3207824532893009, 0.16479243943221863, 0.3179493829256317, 0.12941601707670689]"
781019,global_downweight,context_split,0.03548383381964104,"[0.3741654960008493, 0.4535044893258704, 0.33868166218120827, 0.4708739420688303, 0.2932415626334725]"
781020,global_downweight,context_split,0.029778046323494012,"[0.25468348869738744, 0.34425391341904893, 0.22490544237389343, 0.3618896374478937, 0.19732183434590225]"
781021,global_downweight,change_point,0.012670858409512487,"[0.2750970949743667, 0.34354239550654314, 0.24056070303630864, 0.32992114785208765, 0.28776795338387917]"
781022,global_downweight,cue_local_relearning,0.07909193552188998,"[0.28028001176961376, 0.35937194729150373, 0.1964433964813429, 0.388234906085098, 0.14268894394472367]"
781023,global_downweight,continuous_drift,0.06043523889775598,"[0.32247943089008213, 0.39732343495093875, 0.22903228700256265, 0.3829146697878381, 0.22486898545667092]"
781024,global_downweight,context_split,0.0017482574559144481,"[0.33092294053873855, 0.4168886205983313, 0.3291746830828241, 0.43809133080927015, 0.0969090803633656]"
781025,global_downweight,cue_local_relearning,0.08382388112412162,"[0.23829099985253357, 0.3221148809766552, 0.1504309746190856, 0.3300792758463099, 0.11085021802833789]"
781026,global_downweight,context_split,0.01664177078513268,"[0.3082107844413815, 0.3751675002576698, 0.3248525552265142, 0.37586621946966564, 0.14862516978670223]"
781027,global_downweight,context_split,0.05971073639707297,"[0.2675719337220046, 0.3549852459695005, 0.3272826701190776, 0.34752929059144094, 0.19972302552529597]"
781028,global_downweight,context_split,0.040376582903243224,"[0.2815572566222692, 0.34994982907690897, 0.241180673719026, 0.36589449309348465, 0.23932960370351417]"
781029,global_downweight,continuous_drift,0.05382919627468785,"[0.2579398100629194, 0.3274044162960575, 0.1426389665358708, 0.31176900633760724, 0.04149915498139437]"
781030,global_downweight,continuous_drift,0.052799380531891094,"[0.2979698642571505, 0.3794838259056233, 0.1299925112489665, 0.3507692447890416, 0.05361519322428287]"
