battery,arm,seed,stream_sha256,bank_seed,bank_stratum,bank_state_sha256,bank_q_P,alternative,selected,is_best_alternative,initial_prior_log_odds_CS_vs_alt,expected_log_likelihood_difference_CS_minus_alt,complexity_CS,complexity_alt,complexity_difference_CS_minus_alt,complexity_contribution_to_log_odds,sum_slice_log_BF,final_log_odds_CS_vs_alt,recombination_error,per_slice_log_BF_JSON
assay7_neutral,shuffled,783700,f4e55513b4fdbdde974de6f0c7902d6374195d472c5e9fff25b7dd2812287f4c,,,,,global_downweight,context_split,False,0.0,4.21056979384997,9.937755718209178,12.899992943582253,-2.962237225373075,2.962237225373075,7.172807019223049,7.1728070192230575,1.2434497875801753e-14,"[0.17458837715878328, -0.11523907142624967, 0.9873469935301551, -0.7961139760444373, 0.5925142808760255, 0.8631760927690226, 0.18765597392952493, -0.4390929586211465, 1.5754413733314643, -0.19803133697931807, -0.3263385444489848, 0.4039876656633479, -0.5639890389572946, 0.28742720869305494, 1.0383227613260297, -0.2810681570837108, 0.1657157439211696, 0.9519868518763872, -0.8021067944627378, 0.5554236295612556, -1.073977542005934, 0.7065996731265275, -0.854158177451998, -0.8466011334687171, 0.7820631697235811, 0.06275880611495488, -0.19332963572007023, 1.4863953927326612, 0.8308754920356609, -0.008866997788362418, 1.2989643576856134, 0.7204765396267909]"
assay7_neutral,shuffled,783700,f4e55513b4fdbdde974de6f0c7902d6374195d472c5e9fff25b7dd2812287f4c,,,,,cue_local_relearning,context_split,False,0.0,-1.2549348834741494,9.937755718209178,16.124029896854818,-6.18627417864564,6.18627417864564,4.9313392951714885,4.931339295171497,7.105427357601002e-15,"[0.6299253153071209, -0.18420083016578737, 0.9962384750609963, -0.7208982321374457, 0.5314993482365082, 0.5727564837872687, 0.06573538760998998, -0.6470141409872867, 1.2295548032776467, 0.021754087106780506, -0.07465489918573365, 0.756039080778228, -0.7933086328306298, 0.41090687038369067, 0.7312278712767064, -0.5902212745421149, 0.23639283370430597, 0.5635172127854593, -0.5107522458706164, 0.45458544983698856, -0.7354113531897353, 0.4728778133240702, -0.6419640336609782, -0.6356377219297027, 0.42256773071997755, -0.08229030415762661, -0.41616953872550955, 1.1609451629416394, 0.5976382795533857, -0.33625619618228253, 0.9834055192186373, 0.46255097382753707]"
assay7_neutral,shuffled,783700,f4e55513b4fdbdde974de6f0c7902d6374195d472c5e9fff25b7dd2812287f4c,,,,,continuous_drift,context_split,False,0.0,-2.4174251441597363,9.937755718209178,16.160201054346736,-6.222445336137557,6.222445336137557,3.805020191977825,3.8050201919778317,1.0658141036401503e-14,"[0.007395701961129042, 0.14078825821044338, 0.7588998400568885, -0.4961226450917411, 0.5137502379185301, 0.4358401599579109, -0.29205386219804375, -0.9457873694113195, 0.9103972975164456, 0.6947083336245088, 0.1292965808308737, 0.6637994889606258, -0.6476395079570993, 0.5204352725553782, 0.8513001437708612, -0.6154120551660469, 0.6207398251657117, 0.6223551922451553, -0.3872374880008027, 0.3913754057076615, -0.6558616550965555, 0.49664288993789885, -0.5326314810311783, -0.6711270142373804, 0.7750295871412527, -0.14507780362037614, -0.6843981479068133, 0.9662120212958516, 0.2984299521290241, -0.6870653395856587, 0.6573427888996415, 0.11069558339504826]"
assay7_neutral,shuffled,783700,f4e55513b4fdbdde974de6f0c7902d6374195d472c5e9fff25b7dd2812287f4c,,,,,change_point,context_split,True,0.0,11.486949519663952,9.937755718209178,1.022384691027184,8.915371027181994,-8.915371027181994,2.5715784924819394,2.5715784924819474,1.0658141036401503e-14,"[-0.5212969236332863, 0.541916210836022, 0.28076836304715336, -0.1483315694475671, -0.19812996456947407, -0.16591864087409136, -0.09999206797653715, -0.09872077287567205, -0.18811746823624897, 1.8997430129506436, -0.8486844846538069, 2.9639106287776444, -0.6740486169054636, 2.8933811688256172, -1.3709818069471669, 0.6757876333559767, -0.5597421343222622, -0.3044069779778402, -0.16867591084837663, -0.21391266036480516, -0.13768507273846975, -0.1994339019088155, 0.18757234367583075, -0.26061319933264127, -0.2203902209925137, -0.08617936673433402, 0.41499152062907685, -0.46874345330106015, -0.15282152601810317, 0.33841094299877605, -0.39396928211655347, -0.14410730983971254]"
assay7_neutral,single_regime,783700,28c857bda8735ba667e43b7b2bb6c7f7c5347e1810a823928956a1e12b45c38b,,,,,global_downweight,context_split,False,0.0,6.489526957084699,3.113645740767173,5.685279941813193,-2.5716342010460203,2.5716342010460203,9.06116115813072,9.061161158130723,3.552713678800501e-15,"[1.1219696961029695, -0.4728479578782814, 0.9039499852870259, 0.7262926778931704, 0.5887706020122885, 0.836552161252887, -0.7777726966826215, 0.6046353327340939, 0.8682826752784933, 0.7366627150901108, -0.5384722529253896, 0.8838255001983069, 0.7570510412413274, -0.5258471943202685, 0.9017898962164714, -0.7364209547766025, -0.5453011704347648, -1.0254726170521715, 0.8312950483467223, 0.6915754146318778, -0.9942637752919778, 0.824651593722069, -0.5192909479100005, 0.962868625240398, 0.8111103770634309, 0.6793339276934615, 0.9171763881880407, -0.7033905367591733, 0.6889233148923486, -0.9717785908280994, 0.8348246543103642, 0.700478225594213]"
assay7_neutral,single_regime,783700,28c857bda8735ba667e43b7b2bb6c7f7c5347e1810a823928956a1e12b45c38b,,,,,cue_local_relearning,context_split,False,0.0,1.1547279919339744,3.113645740767173,8.958610574798922,-5.844964834031749,5.844964834031749,6.999692825965727,6.999692825965731,7.993605777301127e-15,"[1.5773066342513071, -0.5418097166178191, 0.912841466817867, 0.6141455624978778, 0.5577564614999841, 0.5810591878074864, -0.5668449127754545, 0.3782944207939394, 0.501467801634826, 0.577321406258059, -0.301833656621199, 0.4807594727207445, 0.46996987682296343, -0.4243718548733919, 0.488627707435197, -0.4497198982382087, -0.46234380549864307, -0.655033527737622, 0.577619444296412, 0.5879967620381537, -0.7947689506985016, 0.48076865718856865, -0.30643834578161355, 0.7089656284130048, 0.4706860972726621, 0.5590093966077504, 0.5810780173887623, -0.4133375109509947, 0.4361412925477568, -0.6449581260275319, 0.6050207271012157, 0.41431711039216834]"
assay7_neutral,single_regime,783700,28c857bda8735ba667e43b7b2bb6c7f7c5347e1810a823928956a1e12b45c38b,,,,,continuous_drift,context_split,False,0.0,0.7513974726918491,3.113645740767173,9.11445526727691,-6.0008095265097365,6.0008095265097365,6.752206999201588,6.75220699920159,4.440892098500626e-15,"[0.9547770209053152, -0.21682062824158832, 0.6755028318137588, 0.37246776424329875, 0.16243580758361698, 0.21188559876102553, 0.021498264117833177, 0.2281538734180899, 0.2735634919859211, 0.14997386958751746, 0.2830781447795734, 0.3645720159988337, 0.21752257401064057, 0.21206124586092745, 0.42168111987415346, -0.15315011622567454, -0.3076432228192285, -0.9031364163410536, 0.8893171101681452, 0.5149440183013894, -0.5627899169012509, 0.6108913808064796, -0.19151565396266834, 0.7041726141515223, 0.43584360798034805, 0.23915918744760278, 0.29252050532496354, 0.11424366487486548, 0.30189386453710565, -0.3198321002959956, 0.4801108773126347, 0.27482460014348575]"
assay7_neutral,single_regime,783700,28c857bda8735ba667e43b7b2bb6c7f7c5347e1810a823928956a1e12b45c38b,,,,,change_point,context_split,True,0.0,4.413789449526483,3.113645740767173,1.0263265872665444,2.0873191535006286,-2.0873191535006286,2.3264702960258483,2.326470296025853,1.3322676295501878e-15,"[3.198673117550681, 1.2642274800399473, 0.4832877183655613, -0.16754993468933388, -0.1661022946359254, -0.15624820308699405, -0.11700939447941971, -0.15211236816620843, -0.12773676727378702, -0.11791814584727378, -0.09679419795895816, -0.11784579727330402, -0.10043485584719858, -0.08311240479918425, -0.10174294635813541, -0.07194434033106889, -0.08292205041219525, -0.06868356781171858, -0.09465169240485727, -0.0748225598051746, -0.05516149230435774, -0.08309306961643503, -0.05886454207247738, -0.07254280976051808, -0.06313807248148673, -0.06098185577782611, -0.060159091330886316, -0.047530344072045594, -0.06346943225811597, -0.04196962741130861, -0.06337379170197643, -0.051802369962170136]"
assay7_neutral,shuffled,783701,93b2f4044b35aacac2e95e605e0cac0cc922d2c8024e1108d7b5b5d20b6dbf21,,,,,global_downweight,context_split,False,0.0,-0.7187125697528103,11.350617852084662,13.560445708429338,-2.209827856344676,2.209827856344676,1.491115286591854,1.4911152865918638,1.7763568394002505e-15,"[0.5027652473382782, -0.085441561779108, -0.4762977269721662, 1.3276824192787258, -0.16222646707468602, 1.1651599212842432, 0.9962442141931604, 0.08260573746339928, -0.7390318860090037, -0.5452388978093097, -0.7407337730409767, -0.9079878954803773, 0.6262861178042822, -0.48418271786190603, 0.5850354621135017, -0.2959905074883096, -0.09480108350497485, 0.5955341476976561, -1.1129108862186847, -0.932042359550806, 0.5303400679829005, -1.1224179259583065, 0.332338501976877, 0.03243544277629806, 0.1245579875258811, -0.40590735909317077, -0.35171241072296233, 0.14449134362368676, 1.0098645156445163, -0.26513685181247393, 1.3428304659906112, 0.815004004275059]"
assay7_neutral,shuffled,783701,93b2f4044b35aacac2e95e605e0cac0cc922d2c8024e1108d7b5b5d20b6dbf21,,,,,cue_local_relearning,context_split,False,0.0,-4.642720367368668,11.350617852084662,16.756730359863997,-5.406112507779335,5.406112507779335,0.7633921404106561,0.7633921404106588,8.770761894538737e-15,"[0.3089319002838258, 0.0650624928550867, -0.4713787519830075, 1.2630918270203795, -0.3356539959554121, 0.9786843746049185, 0.7182716843372021, -0.18954723087454717, -0.5137887386041697, -0.23527430928761284, -0.4282459768200684, -0.7730922745849509, 0.8487955810251595, -0.28926320602517874, 0.6979630790027858, -0.6075498830807793, 0.03846917693078922, 0.47211056573408783, -0.809935099634536, -0.8002774552569241, 0.247575794464443, -0.922450061330506, 0.14036465055081582, 0.30065245306964594, 0.2982695271840894, -0.7548828995137877, -0.5163123459594257, 0.28934989648630105, 0.6391360645087683, -0.5279446131346139, 1.145384723696996, 0.4868751907008819]"
assay7_neutral,shuffled,783701,93b2f4044b35aacac2e95e605e0cac0cc922d2c8024e1108d7b5b5d20b6dbf21,,,,,continuous_drift,context_split,True,0.0,-5.224432910789481,11.350617852084662,16.840435208370078,-5.489817356285416,5.489817356285416,0.26538444549592244,0.26538444549592555,8.881784197001252e-15,"[0.6502350641747043, -0.0520925992955763, -0.6566739615686936, 0.8303116425769139, -0.6854006822003007, 0.6317185771336677, 0.312743714151148, -0.5598523459226792, 0.19948884133034595, 0.04643896385796564, -0.4747050292012931, -0.8714417590123316, 0.6274250672807251, -0.59134806008459, 0.3934869423183385, 0.025844721919986213, -0.1055532064860567, 0.8376405122815751, -0.9588061538188035, -0.9487420574572232, 0.7902347145072395, -0.973369401549508, 0.36818940494437635, 0.18683929720971704, 0.18887193896442822, -0.27306053834804933, -0.48062866877235955, 0.541217697117913, 0.8320511946782112, -0.5887229598398509, 0.7772967848784691, 0.2457467897275134]"
assay7_neutral,shuffled,783701,93b2f4044b35aacac2e95e605e0cac0cc922d2c8024e1108d7b5b5d20b6dbf21,,,,,change_point,context_split,False,0.0,22.699452838170387,11.350617852084662,5.127648572096946,6.2229692799877165,-6.2229692799877165,16.476483558182665,16.476483558182665,7.105427357601002e-15,"[-0.6776429940239801, -0.10158834973640296, 0.11182922744229451, 0.3437651031287303, 0.48267889882437665, -0.5227795890415619, -0.212753495216988, 0.5499272171370384, 0.47433043515516893, -0.5356591450561163, -0.3011552244779532, 0.25651865982294897, 3.22174722808294, -0.8789623241586784, 2.7244505421693144, 1.0729928082059863, -0.7830326015759135, -0.5020576949618788, -0.20544060087801208, -0.2351495333559699, -0.265711928250723, -0.16479258949672504, 0.6624076520563391, 2.9335901254358916, 3.8130373338233294, 1.4229372748842875, 1.6077756730123443, 2.466697551366142, -0.11677385662014128, 0.6656698036918973, -0.5571541948968524, -0.27321785430846757]"
assay7_neutral,single_regime,783701,c6831d49b7196b32e857ee1df87a4162e3690328c2f6de6d0a242686ae1614f8,,,,,global_downweight,change_point,False,0.0,-1.5799223559175388,2.749722566929273,5.6321922153454995,-2.8824696484162264,2.8824696484162264,1.302547292498712,1.3025472924987085,2.0872192862952943e-14,"[-0.675889749003368, 0.8235939992138752, 0.6359802900367878, -1.088942365924806, 0.7282376351313875, 0.6124916232276498, 0.8625415566361738, -0.7760253770560605, -0.5879248370023366, 0.9057484614326047, 0.764514234896529, -0.5420197807768123, 0.9032674461719039, -0.7476257459130986, -0.5556610331627965, -1.0341616354487115, 0.8254002231000035, 0.686443482510166, -0.9996219708805952, 0.8189834912749654, 0.6850283832802557, -0.9867425143362323, 0.8210643726429301, -0.5155535396138555, -1.0060805826712846, -0.7654269057693845, 0.7253722633988557, -1.002717026266307, -0.7626520301160631, 0.734059022257942, 0.9900533753976715, 0.8268125258307224]"
assay7_neutral,single_regime,783701,c6831d49b7196b32e857ee1df87a4162e3690328c2f6de6d0a242686ae1614f8,,,,,cue_local_relearning,change_point,False,0.0,-5.787195150426456,2.749722566929273,8.812571613171114,-6.0628490462418405,6.0628490462418405,0.27565389581538446,0.2756538958153813,3.3861802251067274e-15,"[-0.8697230960578204, 0.9740980538480699, 0.6408992650259467, -1.0522333319973933, 0.5047106859250521, 0.4006816066033836, 0.6966566636227345, -0.5324594079157221, -0.3381202451841041, 0.5247197544373033, 0.5741499265412955, -0.43610559846973773, 0.4943794632512408, -0.49451930264098776, -0.47098101426745975, -0.6667402987036661, 0.5812829821051533, 0.5817951515095119, -0.8008811307527768, 0.47763678604657844, 0.4396428313155798, -0.8369235410411173, 0.4541128216150616, -0.2562345149652927, -0.8480793002780951, -0.42765890939025963, 0.5346481844671747, -0.842536784254567, -0.5729101731160475, 0.43120684032874834, 0.746019125887613, 0.6651204023199848]"
assay7_neutral,single_regime,783701,c6831d49b7196b32e857ee1df87a4162e3690328c2f6de6d0a242686ae1614f8,,,,,continuous_drift,change_point,False,0.0,-4.123920844730101,2.749722566929273,9.470942894689529,-6.721220327760255,6.721220327760255,2.5972994830301577,2.597299483030156,1.7763568394002505e-15,"[-0.5284199321669418, 0.8569429616974069, 0.4556040554402606, -0.6610760041405983, 0.5142457784982666, 0.2742713345693273, 0.2855138716726642, -0.07066025839640888, -0.27586733064078217, 0.6551921801581883, 0.3909277712200683, -0.0445253645167889, 0.5468329651270838, -0.3079679765355281, -0.4093753551151622, -0.9660124010985003, 0.9469178609965949, 0.5573729037576265, -0.6134032362851833, 0.634987600036041, 0.36734309241322705, -0.4209716865182507, 0.5177858045874553, -0.11140988403099517, -0.7786956469699939, -0.7278435195645496, 0.9068400135004375, -0.8211453971359033, -0.7548088824646553, 0.954871765411101, 0.7515312582783371, 0.4723011412463136]"
assay7_neutral,single_regime,783701,c6831d49b7196b32e857ee1df87a4162e3690328c2f6de6d0a242686ae1614f8,,,,,change_point,change_point,True,0.0,1.0898587558295247,2.749722566929273,1.6563060120621367,1.0934165548671364,-1.0934165548671364,-0.0035577990375834645,-0.0035577990375869396,2.4724580022228437e-14,"[0.9162907318741551, 1.7548285302007665, -0.05275612232518179, -0.13469255171784633, -0.2006054353431328, -0.15540482709081826, -0.14611587242107382, -0.11000192172743817, -0.12458075272170244, -0.13492959922040743, -0.11241348589932287, -0.09238745294071293, -0.1125930958067527, -0.07919407371276477, -0.09088633335522367, -0.07497756472833794, -0.10305582482995757, -0.08124373643035587, -0.059662422652064784, -0.08963996846583289, -0.07250706325877299, -0.053550820507703545, -0.08063835149757148, -0.05724578635756572, -0.05330110415354161, -0.061549622962175476, -0.06977078078491994, -0.04473967668737888, -0.05558086118534655, -0.06398292616565637, -0.054533715115110404, -0.05213531104783531]"
assay7_neutral,shuffled,783702,04e54638d40cb7c4989415d50497be1973620690309ae3266b2a293f53963dab,,,,,global_downweight,context_split,False,0.0,1.4828043643082793,13.967942917732953,13.794676302192189,0.17326661554076495,-0.17326661554076495,1.3095377487675237,1.309537748767525,1.0658141036401503e-14,"[0.5027652473382784, -0.7201849783515435, 0.5520520183839996, -0.2017113734861602, 0.05268496739958528, -0.9176966568042326, 0.8642517309728979, -0.09452014754764315, -0.5144555213681028, -0.2719365881910636, 0.23138199050251906, -0.22967175042567867, 0.2550651233991753, 0.676803715064227, 0.7210494580406305, -1.0930652135859094, -0.9279917650099041, 0.5593717048465383, -0.1858716748060698, -0.2397831065387268, -0.2953009307217189, 0.477068451097431, 0.40713895747601136, -0.19334266767349884, -0.3550866350862414, 0.6213970309264258, 0.4908283252956349, 0.4063873540266154, 0.6619592409662114, 0.46649244969308734, -0.5539326221288667, 0.15739161506361565]"
assay7_neutral,shuffled,783702,04e54638d40cb7c4989415d50497be1973620690309ae3266b2a293f53963dab,,,,,cue_local_relearning,context_split,True,0.0,-1.682518829599907,13.967942917732953,16.900124942761032,-2.9321820250280783,2.9321820250280783,1.2496631954281914,1.249663195428198,2.6645352591003757e-14,"[0.308931900283826, -0.7923348772202305, 0.5260810811984287, -0.3042625180889802, 0.1018794333191817, -0.7335906487454569, 1.1250686275753858, -0.2784452759378553, -0.6545542194055964, -0.5168006623953376, 0.4617305570024891, -0.48953585232188557, 0.5472073037801163, 0.46261787939771626, 0.43218025026113194, -0.9174763675101969, -0.6537116538761509, 0.8535144162474129, -0.4675195572691182, -0.08648356785996425, -0.47411832903206497, 0.7740976867860445, 0.5434675410162466, -0.4914839608358037, -0.15722271169876478, 0.7545591567333001, 0.1584794700953598, 0.5775464870711673, 0.46888978767918177, 0.7507776081988209, -0.3878282153318211, -0.19199757368839077]"
