seed,truth,material_redescription,raw_cs_argmax,pi0,pi1,q0,q1,bf,log_bf,recombination_error,T0,p_CRT,Q95,E_null,selective_material_redescription
790500,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.822214396860363e-16,0.9999999999999997,30149244347704.344,31.037180975693275,0.0,-13.870662626802687,0.903,-4.2314816158782325,-9.639181010924455,False
790501,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.145453173379954e-11,0.9999999999785454,537121374.7640994,20.101734650702888,0.0,-15.34962272059372,0.968,-3.5498598260516294,-11.799762894542091,False
790502,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.2196779014741388e-08,0.9999999878032211,944813.9894595016,13.758743350550231,0.0,-19.16065044530494,0.998,-5.1284404372174865,-14.032210008087455,False
790503,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.7772004763374014e-12,0.9999999999982229,6484179884.845665,22.592631183316826,0.0,-12.503958505921299,0.935,-1.5049847692173233,-10.998973736703975,False
790504,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.6764845087162365e-22,1.0,2.464177430406815e+19,44.650974819059286,0.0,-12.667800551327275,0.931,-1.7201249459760473,-10.947675605351227,False
790505,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.1528484324121222e-17,1.0,999583922399446.2,34.53836023072583,0.0,-5.985142132147253,0.953,5.861976147857212,-11.847118280004466,False
790506,global_downweight,False,False,0.011392405063291136,0.9886075949367089,7.172774774885595e-12,0.9999999999928272,1606587121.666141,21.197377965778756,0.0,-24.47272850833252,0.999,-9.803785377411815,-14.668943130920704,False
790507,global_downweight,False,False,0.011392405063291136,0.9886075949367089,5.958007441808891e-11,0.99999999994042,193415125.64207733,19.080349347036346,0.0,-20.26799653206501,0.993,-8.201163113901401,-12.066833418163608,False
790508,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.9534580729437866e-18,1.0,2326392473768784.5,35.38309516812186,0.0,-13.635350441104784,0.957,-2.488142958726984,-11.1472074823778,False
790509,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.173992096762532e-15,0.9999999999999989,9815813591764.354,29.915015832912786,0.0,-12.82450162372925,0.575,-7.009967272106871,-5.814534351622378,False
790510,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.3343650619159678e-06,0.9999986656349381,8636.071590988056,9.06370308143221,0.0,-21.22744902708031,0.827,-14.728400445011557,-6.499048582068754,False
790511,global_downweight,False,False,0.011392405063291136,0.9886075949367089,5.0155408036266886e-18,1.0,2297596217678654.5,35.37063984857578,0.0,-3.072438338632802,0.913,7.319671658744018,-10.39210999737682,False
790512,global_downweight,False,False,0.011392405063291136,0.9886075949367089,8.732079128328612e-17,0.9999999999999999,131969573462069.34,32.51359250786954,0.0,-17.863406799691674,0.973,-6.333782504044932,-11.529624295646741,False
790513,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.2973147935032795e-17,1.0,888272271135286.1,34.42029942356381,0.0,-22.97112618363228,0.892,-14.541397112448912,-8.429729071183367,False
790514,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.0647931410509993e-10,0.9999999996935207,37600213.28076335,17.442520280704763,0.0,-17.946836139369964,0.987,-5.096885548790503,-12.84995059057946,False
790515,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.433617371279113e-07,0.9999995566382629,25991.60348277605,10.165528821876157,0.0,-21.02718771204062,0.999,-6.682360323629394,-14.344827388411229,False
790516,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.6753308889573694e-16,0.9999999999999998,43073877805510.086,31.393937845896623,0.0,-26.936985983359122,0.719,-21.058528178293418,-5.878457805065704,False
790517,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.8771109596634524e-15,0.9999999999999971,4005298280666.1,29.01863917074578,0.0,-1.0694373195046876,0.596,5.378697795111642,-6.4481351146163295,False
790518,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.260413143866659e-19,1.0,5.098044846931472e+16,38.47021859078573,0.0,-3.7346516845020776,0.517,2.1620149256882644,-5.896666610190342,False
790519,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.204798173644192e-08,0.9999999679520183,359576.06645822106,12.792681023353031,0.0,-11.262332162297808,0.996,2.965514311939918,-14.227846474237726,False
790520,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.002814741819074e-11,0.9999999999899719,1149134241.7849202,20.862274662569824,0.0,-15.54473774386136,0.904,-7.308413988548408,-8.236323755312952,False
790521,global_downweight,False,False,0.011392405063291136,0.9886075949367089,7.852475829797491e-18,1.0,1467522833537055.2,34.92235222698986,0.0,-10.728477975028436,0.96,1.1823990207813542,-11.91087699580979,False
790522,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.3055348254342985e-09,0.9999999966944652,3486179.438578325,15.06431697779884,0.0,-28.63917798550991,1.0,-9.358191235707956,-19.280986749801954,False
790523,global_downweight,False,False,0.011392405063291136,0.9886075949367089,8.620731121554237e-12,0.9999999999913792,1336741329.4115846,21.013500645451963,0.0,-22.913759157015715,1.0,-6.391969401244785,-16.52178975577093,False
790524,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.4003612774996144e-15,0.9999999999999987,8229081855649.055,29.738695563719695,0.0,-28.132856115904875,0.994,-16.41480821147625,-11.718047904428627,False
790525,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.556057354932805e-14,0.9999999999999843,740569590413.5261,27.330685443839627,0.0,-15.933931516032507,0.999,2.9026088607505227,-18.83654037678303,False
790526,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.7032323109247328e-20,1.0,6.765775582174725e+17,41.055823482243525,0.0,-7.188879578401925,0.834,2.187334520361929,-9.376214098763853,False
790527,global_downweight,False,False,0.011392405063291136,0.9886075949367089,5.0542352048500264e-15,0.9999999999999949,2280006195391.8257,28.455199276168322,0.0,-17.856662266351435,1.0,0.12323277227681739,-17.979895038628253,False
790528,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.237126054178952e-10,0.9999999998762874,93148855.28175156,18.349709365958923,0.0,-26.517074062093528,0.869,-18.966407754350932,-7.5506663077425955,False
790529,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.248297903791422e-12,0.9999999999977517,5125516311.947225,22.35749710069115,0.0,-13.121236728566826,1.0,5.35457878194795,-18.475815510514778,False
790530,global_downweight,False,False,0.011392405063291136,0.9886075949367089,9.205781452905354e-19,1.0,1.251788089797499e+16,37.065934488906755,0.0,-21.324647486182503,0.984,-8.2314274395431,-13.093220046639402,False
790531,global_downweight,False,False,0.011392405063291136,0.9886075949367089,5.441737776703978e-20,1.0,2.1176484521834992e+17,39.894252833273995,0.0,-14.444624110213962,0.906,-4.758189337432325,-9.686434772781636,False
790532,global_downweight,False,False,0.011392405063291136,0.9886075949367089,6.323908811649312e-17,1.0,182224126299825.16,32.83625850856234,0.0,-12.356890568637345,0.943,-1.1253087326291527,-11.231581836008193,False
790533,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.753430513448517e-18,1.0,3070174747803733.0,35.660510875998554,0.0,-19.433119808621832,0.986,-6.655559438732328,-12.777560369889503,False
790534,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.357326193609682e-13,0.9999999999995642,26446694757.25926,23.998397025523964,0.0,-24.167854516693172,0.997,-10.510153967343372,-13.6577005493498,False
790535,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.399780799796725e-14,0.9999999999999559,261915038598.23013,26.2912860079579,0.0,-19.718722541887423,0.998,-4.8431850545332225,-14.875537487354201,False
790536,global_downweight,False,False,0.011392405063291136,0.9886075949367089,6.404760280181024e-09,0.9999999935952398,1799237.9108829754,14.40287375037178,0.0,-13.635536630834089,0.931,-3.987553579714117,-9.647983051119972,False
790537,global_downweight,False,False,0.011392405063291136,0.9886075949367089,7.794028035309987e-12,0.999999999992206,1478527858.4743304,21.114312739469774,0.0,-27.36400194616283,0.992,-14.52201109222132,-12.84199085394151,False
790538,global_downweight,False,False,0.011392405063291136,0.9886075949367089,8.949834317088855e-15,0.999999999999991,1287586693981.82,27.883790802348905,0.0,-24.7652835989327,0.989,-11.729443125110212,-13.03584047382249,False
790539,global_downweight,False,False,0.011392405063291136,0.9886075949367089,9.315357785526665e-13,0.9999999999990684,12370633361.95131,23.238591223491255,0.0,-24.30622591021675,0.968,-13.382225731944407,-10.924000178272342,False
790540,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.0016584644797804e-17,1.0,383910685255884.5,33.58143105098345,0.0,-14.743706851175277,0.871,-5.81860130765018,-8.925105543525097,False
790541,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.712810217867098e-17,1.0,244518388123019.62,33.13031162906268,0.0,-21.002477571766693,0.996,-6.874625459114525,-14.127852112652167,False
790542,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.6618396512398787e-14,0.9999999999999835,693429571946.2313,27.264915517032726,0.0,-21.660790325116984,0.822,-14.27539984516278,-7.385390479954204,False
790543,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.7870582634158206e-17,1.0,413471355489432.3,33.65560935469033,0.0,-10.542961113957036,0.937,0.2635017111845963,-10.806462825141633,False
790544,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.0221457289567885e-11,0.9999999999597785,286505968.60773027,19.473269926738823,0.0,-16.47436079013384,0.921,-6.771836074404345,-9.702524715729496,False
790545,global_downweight,False,False,0.011392405063291136,0.9886075949367089,6.908804775385561e-20,1.0,1.667971227249294e+17,39.65555463483601,0.0,-7.304647555950997,0.995,9.016059919526485,-16.320707475477484,False
790546,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.9674413685469713e-07,0.9999998032558632,58571.937629421285,10.97801098082143,0.0,-12.153182472291688,0.982,-1.7509002260001922,-10.402282246291495,False
790547,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.9491015113758606e-13,0.999999999999605,29180530170.788612,24.09676754885436,0.0,-17.076586734062612,0.954,-6.469715159701595,-10.606871574361017,False
790548,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.260039257865407e-18,1.0,5098888233875061.0,36.16779891751913,0.0,-10.197285244426523,0.982,3.6223958592939223,-13.819681103720445,False
790549,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.0930753508296595e-08,0.9999999690692464,372564.06380459655,12.828164285382352,0.0,-11.89186690084075,0.651,-6.019444681964797,-5.872422218875953,False
790550,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.032023795199896e-11,0.9999999999796798,567103968.3203048,20.156053210526878,0.0,-13.049529289202535,0.669,-5.58062198921794,-7.468907299984595,False
790551,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.5314073110661577e-14,0.9999999999999847,752490046035.0234,27.34665360562152,0.0,-19.7102984110511,0.904,-10.032449133511129,-9.67784927753997,False
790552,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.5178687295898617e-15,0.9999999999999966,3275758268947.4355,28.817570490719284,0.0,-19.546850829269804,1.0,-0.29604277537824064,-19.250808053891564,False
790553,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.4076523425555826e-16,0.9999999999999998,47862755665936.12,31.499358774393038,0.0,-20.185304194652073,1.0,-0.0065841406421851545,-20.178720054009887,False
