seed,total_length,pre_length,material_redescription,raw_cs_argmax,pi0,pi1,q0,q1,bf,log_bf,recombination_error,T0,null_mean,null_sd,Q50,Q90,Q95,Q99,p_CRT,E_null,selective_material_redescription,p00,p01,p10,p11,switch_count,switch_rate,mean_dwell,max_dwell,occupancy_min_fraction,cue_context_mix_balance,realized_cue_outcome_contrast,marker_accuracy,marker_informative_count
790700,96,72,True,True,0.011392405063291136,0.9886075949367089,7.26956616600635e-22,1.0,1.5851960511635788e+19,44.20982485815279,0.0,13.531624305669132,6.926373800283959,4.257943482923186,6.958189294828265,12.303089647879402,13.869205441879297,17.251720913877616,0.06,-0.33758113621016506,False,0.5081845160459453,0.49181548395405467,0.45904762507620855,0.5409523749237914,35,0.49295774647887325,2.0,5,0.4722222222222222,0.47222222222222227,0.5523569023569024,0.9122807017543859,57
790701,96,72,True,True,0.011392405063291136,0.9886075949367089,8.548475106138746e-25,1.0,1.3480401401356734e+22,50.9555238354645,0.0,16.306752750662845,5.360019280216445,3.878421924993132,5.447762676997429,10.236594601636499,11.45101335102602,14.268296437109141,0.003,4.855739399636825,True,0.8145263040205515,0.18547369597944852,0.15910879264421052,0.8408912073557894,17,0.23943661971830985,4.0,8,0.3888888888888889,0.3888888888888889,0.5740740740740741,0.9814814814814815,54
790702,96,72,True,True,0.011392405063291136,0.9886075949367089,9.488792327060614e-24,1.0,1.2144525017332056e+21,48.54858031225219,0.0,15.766327261795615,6.243270366656811,4.154152378214542,6.157373376570048,11.501369908047954,12.937775147587915,15.780636027053129,0.011,2.8285521142076995,True,0.5453526903523033,0.4546473096476966,0.19919819650887896,0.800801803491121,20,0.28169014084507044,3.4285714285714284,9,0.4166666666666667,0.4166666666666667,0.651010101010101,0.9444444444444444,54
790703,96,72,True,True,0.011392405063291136,0.9886075949367089,2.0558434978373316e-05,0.9999794415650216,560.5217850077602,6.328868108853715,0.0,8.508763081730542,2.1847452784873163,1.7891061933890813,1.9933147663894037,4.6641270831694195,5.501047733164285,7.606271041122122,0.001,3.0077153485662578,True,0.9321806818766238,0.06781931812337619,0.35968007590136253,0.6403199240986375,7,0.09859154929577464,9.0,20,0.125,0.125,0.48611111111111116,0.9629629629629629,54
790704,96,72,True,True,0.011392405063291136,0.9886075949367089,5.1365246045456455e-21,1.0,2.243479486076544e+18,42.25455967657043,0.0,11.467265465574865,5.017906304620062,3.2461125362482313,4.939504116441792,9.18213059430735,10.34495840895681,12.836543879631197,0.031,1.1223070566180553,True,0.9497102666766684,0.05028973332333164,0.02234934913485764,0.9776506508651424,1,0.014084507042253521,36.0,49,0.3194444444444444,0.3194444444444444,0.5311507936507937,0.9615384615384616,52
790705,96,72,False,True,0.011392405063291136,0.9886075949367089,0.008694944281686455,0.9913050557183134,1.3138082762253234,0.27293000091241737,0.0,3.822493745195188,-0.264802002217586,1.1539086836582235,-0.2037592708993181,1.1987560515129392,1.5729425097742222,2.4191679404296282,0.001,2.2495512354209657,False,0.8378099930538172,0.1621900069461829,0.07577417274335305,0.924225827256647,2,0.028169014084507043,24.0,48,0.041666666666666664,0.041666666666666664,0.30952380952380953,1.0,42
790706,96,72,True,True,0.011392405063291136,0.9886075949367089,2.2710798603387005e-06,0.9999977289201396,5074.08903141443,8.531902286598593,0.0,5.8590303523850045,3.1138412423404724,2.448925079199461,3.093594327851884,6.166289195942959,7.008855870457614,9.067340231504136,0.129,-1.1498255180726096,False,0.9233863357121803,0.07661366428781961,0.22170783849474698,0.7782921615052529,10,0.14084507042253522,6.545454545454546,27,0.20833333333333334,0.20833333333333334,0.2338779956427015,0.9019607843137255,51
790707,96,72,True,True,0.011392405063291136,0.9886075949367089,7.876401811245627e-23,1.0,1.4630649700441281e+20,46.43223538971217,0.0,11.369925924827461,6.055334218376486,3.9795755255499015,6.098104229359642,11.24583300989294,12.736049521925658,15.464710593007485,0.096,-1.3661235970981966,False,0.6110884710603232,0.38891152893967684,0.33792128048549497,0.6620787195145049,22,0.30985915492957744,3.130434782608696,10,0.4305555555555556,0.4305555555555556,0.37441077441077436,0.9622641509433962,53
790708,96,72,True,True,0.011392405063291136,0.9886075949367089,1.006295076231935e-26,1.0,1.1451598892022763e+24,55.39758650033907,0.0,12.461501984195143,6.232029672138903,4.331927532904492,6.2179105860473385,11.720425470942535,13.304643012524402,16.06280403159934,0.074,-0.8431410283292582,False,0.8607400221089504,0.13925997789104966,0.19925128908641798,0.8007487109135821,12,0.16901408450704225,5.538461538461538,15,0.3333333333333333,0.3333333333333333,0.5856227106227105,0.9310344827586207,58
790709,96,72,False,True,0.011392405063291136,0.9886075949367089,0.03865788160363849,0.9613421183963615,0.28657044230993167,-1.2497709011119595,0.0,2.703317024601027,1.5530731772435347,1.9946073298692835,1.5342030907156543,4.11158377394707,5.083757976745359,6.573516696856932,0.272,-2.3804409521443315,False,0.6355670367575253,0.3644329632424747,0.02598338630278828,0.9740166136972117,2,0.028169014084507043,24.0,44,0.041666666666666664,0.041666666666666664,0.46515151515151515,0.9,50
