seed,self_local_calibration,full_local_calibration,local_calibration_ratio,self_local_confidence,full_local_confidence,self_dominance,full_dominance,self_depth,full_depth,self_regime,full_regime,self_not_context_held,global_separated,self_policy_change,full_policy_change,policy_change_advantage,self_root_revision,full_root_revision,root_revision_advantage,self_root_lower
712457,0.8060165136697004,0.8060165136697004,1.0,0.49852256258756955,0.49852256258756955,0.2861902777509509,0.46220106476226247,0.0,1.0,quiet_narrowing,self_led_witnessing,true,true,0.0,0.02047343220338973,0.02047343220338973,0.0,0.008293403811175416,0.008293403811175416,true
712458,0.8310080453164416,0.8310080453164416,1.0,0.5302105647132065,0.5302105647132065,0.32227630050321726,0.5029711755987828,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.2599701370369501,0.2599701370369501,3.469446951953614e-18,0.1284083503398042,0.1284083503398042,true
712459,0.8038913544745747,0.8038913544745747,1.0,0.5269505477837169,0.5269505477837169,0.3596498379140233,0.5318727875776994,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.01071105682345852,0.01071105682345852,0.0,0.000500930345968447,0.000500930345968447,true
712460,0.8284467473469542,0.8284467473469542,1.0,0.7019400958187759,0.7019400958187759,0.38694148787287086,0.5772785373657207,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.016451962311539045,0.016451962311539045,-4.0657581468206416e-20,0.006522858106711714,0.006522858106711714,true
712461,0.8660365224530484,0.8660365224530484,1.0,0.6231015328458575,0.6231015328458575,0.24879473736702754,0.414489613044107,0.0,1.0,quiet_narrowing,self_led_witnessing,true,true,0.0,0.0029391753750476132,0.0029391753750476132,-4.336808689942018e-19,0.031556320571385396,0.031556320571385396,true
712462,0.8430667458790343,0.8430667458790343,1.0,0.5632371863016277,0.5632371863016277,0.22791637861239492,0.4343292905174242,0.0,1.0,quiet_narrowing,self_led_witnessing,true,true,0.0,0.010497428099063517,0.010497428099063517,-3.2526065174565133e-19,0.0031003295984790005,0.003100329598479001,true
712463,0.8397960072893489,0.8397960072893489,1.0,0.6720269945810079,0.6720269945810079,0.34683654923264107,0.5207629785301655,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.00021633043353044834,0.00021633043353044834,0.0,0.41027750062522916,0.41027750062522916,true
712464,0.7971143333700027,0.7971143333700027,1.0,0.6348530197469123,0.6348530197469123,0.34759831899411814,0.5408339096014084,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.03574913269322351,0.03574913269322351,-2.168404344971009e-19,0.03230580155675112,0.03230580155675112,true
712465,0.7834610557148473,0.7834610557148473,1.0,0.5382183382061305,0.5382183382061305,0.34837392999476735,0.551078677646214,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.05499829389132854,0.05499829389132854,1.734723475976807e-18,0.1260423999930704,0.1260423999930704,true
712466,0.8128229745221555,0.8128229745221555,1.0,0.6473881199442568,0.6473881199442568,0.38903540268745557,0.5822428786844255,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.004389866415869026,0.004389866415869026,0.0,0.4656725068614433,0.4656725068614433,true
712467,0.7849835336789447,0.7849835336789447,1.0,0.5844201076977565,0.5844201076977565,0.3504997055222007,0.5057807151851191,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.01818245671459292,0.01818245671459292,1.734723475976807e-18,0.2702081608232456,0.2702081608232456,true
712468,0.815779960957908,0.815779960957908,1.0,0.6638648193308176,0.6638648193308176,0.388093148857747,0.5633127479802607,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.262021001450063,0.262021001450063,-6.776263578034403e-21,0.0014603128486077397,0.0014603128486077397,true
712469,0.7745396019136341,0.7745396019136341,1.0,0.5774621848429039,0.5774621848429039,0.30339318751024,0.4769579953905573,0.0,1.0,quiet_narrowing,self_led_witnessing,true,true,0.0,0.025790978918085197,0.025790978918085197,1.5881867761018131e-22,4.825553524284689e-6,4.825553524284689e-6,true
712470,0.774146791644865,0.774146791644865,1.0,0.5709823998181818,0.5709823998181818,0.38676530812939386,0.563139906677601,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.10134761223351871,0.10134761223351871,-1.734723475976807e-18,0.1525745026057992,0.1525745026057992,true
712471,0.7774769638643892,0.7774769638643892,1.0,0.4714204340891812,0.4714204340891812,0.32046538793571827,0.49770297006965475,0.0,1.0,quiet_narrowing,self_led_witnessing,true,true,0.0,0.22787891081577627,0.22787891081577627,0.0,0.46993173658123183,0.46993173658123183,true
712472,0.8076974873695443,0.8076974873695443,1.0,0.5098014339271874,0.5098014339271874,0.2839592940737429,0.43553804702649396,0.0,1.0,quiet_narrowing,self_led_witnessing,true,true,0.0,0.0070406521133959885,0.0070406521133959885,-2.7755575615628914e-17,0.64771792421345,0.64771792421345,true
712473,0.8060504398009483,0.8060504398009483,1.0,0.5394714842735754,0.5394714842735754,0.374113863645664,0.5218033895087123,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.008479221098517412,0.008479221098517412,1.734723475976807e-18,0.09310930624584335,0.09310930624584335,true
712474,0.8006247852187285,0.8006247852187285,1.0,0.5912664235063426,0.5912664235063426,0.37703400924629915,0.5344084860150733,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.07576936873029151,0.07576936873029151,-4.336808689942018e-19,0.11808936020909129,0.11808936020909129,true
712475,0.8306303340573267,0.8306303340573267,1.0,0.5564896258972183,0.5564896258972183,0.3364004754630257,0.5219416157241431,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.19460967136828172,0.19460967136828172,2.168404344971009e-19,0.01910511908591583,0.01910511908591583,true
712476,0.7551513833993924,0.7551513833993924,1.0,0.5263838631517243,0.5263838631517243,0.3889406521610088,0.5424845661168459,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.16098039216652965,0.16098039216652965,0.0,0.5709783018293191,0.5709783018293191,true
712477,0.796496746852647,0.796496746852647,1.0,0.6042998423474738,0.6042998423474738,0.31159784663692286,0.49651670094888045,0.0,1.0,quiet_narrowing,self_led_witnessing,true,true,0.0,0.15443642648840616,0.15443642648840616,0.0,0.00016555245863292443,0.00016555245863292443,true
712478,0.8239650457645408,0.8239650457645408,1.0,0.6290322972632664,0.6290322972632664,0.3608444859262548,0.4947165114937948,0.0,1.0,quiet_narrowing,self_led_witnessing,true,true,0.0,0.02763005737083849,0.02763005737083849,1.3877787807814457e-17,0.8230998781458544,0.8230998781458544,true
712479,0.8225712881667385,0.8225712881667385,1.0,0.6403080195069111,0.6403080195069111,0.3803230246899515,0.5560285624599385,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.013153644736653092,0.013153644736653092,-2.710505431213761e-20,0.0021384590159977887,0.0021384590159977887,true
712480,0.8092036699632263,0.8092036699632263,1.0,0.6006113061657329,0.6006113061657329,0.34970069134991394,0.5062604839046492,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.0031532002458807343,0.0031532002458807343,-2.710505431213761e-19,0.00892514810641815,0.00892514810641815,true
712481,0.8177680839826631,0.8177680839826631,1.0,0.48885687238725883,0.48885687238725883,0.3032869680233997,0.5234907851801983,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.011385654637083804,0.011385654637083804,-1.3877787807814457e-17,0.33203215325937807,0.33203215325937807,true
712482,0.7759251130844793,0.7759251130844793,1.0,0.6670091018771087,0.6670091018771087,0.34402505024643226,0.5090187263046247,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.010329943081979355,0.010329943081979355,-8.673617379884035e-19,0.14029772327395293,0.14029772327395293,true
712483,0.8120466460401358,0.8120466460401358,1.0,0.6106755457513101,0.6106755457513101,0.34423234257643587,0.5118111034993497,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.0014862787878994477,0.0014862787878994477,-1.0842021724855044e-19,0.0167655130280861,0.0167655130280861,true
712484,0.8026195702780416,0.8026195702780416,1.0,0.5972046395720265,0.5972046395720265,0.3669319435232699,0.578422565239044,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.3507386846963085,0.3507386846963085,3.469446951953614e-18,0.5577106545482631,0.5577106545482631,true
712485,0.8107378989894709,0.8107378989894709,1.0,0.518343453368913,0.518343453368913,0.26103114052067833,0.4400774642213933,0.0,1.0,quiet_narrowing,self_led_witnessing,true,true,0.0,0.22042223252848625,0.22042223252848625,4.336808689942018e-19,0.08418021093397804,0.08418021093397804,true
712486,0.7823938547440159,0.7823938547440159,1.0,0.585711900534508,0.585711900534508,0.2643347004849408,0.4503941590560619,0.0,1.0,quiet_narrowing,self_led_witnessing,true,true,0.0,0.052325529093665384,0.052325529093665384,6.938893903907228e-18,0.4335750380875733,0.4335750380875733,true
712487,0.823738111245591,0.823738111245591,1.0,0.5222069934139038,0.5222069934139038,0.3700129285855489,0.5680432410447926,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.030622679378681072,0.030622679378681072,-1.0164395367051604e-20,0.0003069735937811811,0.0003069735937811811,true
712488,0.7663202688091808,0.7663202688091808,1.0,0.6185608527423374,0.6185608527423374,0.3417455982178477,0.5268899120504666,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.05779708269995959,0.05779708269995959,-1.0842021724855044e-19,0.002137250517465303,0.002137250517465303,true
712489,0.7931495955984573,0.7931495955984573,1.0,0.5641538301967958,0.5641538301967958,0.3161182699481377,0.519260671856072,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.13818868718999988,0.13818868718999988,-6.776263578034403e-21,0.0005289106616765062,0.0005289106616765062,true
712490,0.7983687420838896,0.7983687420838896,1.0,0.565993026429872,0.565993026429872,0.336442435521611,0.4796171327529876,0.0,1.0,quiet_narrowing,self_led_witnessing,true,true,0.0,0.04399552021085424,0.04399552021085424,-1.0164395367051604e-20,0.00029095483728634926,0.00029095483728634926,true
712491,0.8335983163160897,0.8335983163160897,1.0,0.6445252417993576,0.6445252417993576,0.3984170403793186,0.5470010810194188,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.08220336953250737,0.08220336953250737,0.0,0.4210948085676464,0.4210948085676464,true
712492,0.7722942416082191,0.7722942416082191,1.0,0.5808517730236837,0.5808517730236837,0.33967011755515225,0.4901908991953889,0.0,1.0,quiet_narrowing,self_led_witnessing,true,true,0.0,0.07386814694096047,0.07386814694096047,-2.7755575615628914e-17,0.3825841638252001,0.3825841638252001,true
712493,0.8066416365851692,0.8066416365851692,1.0,0.6232118922504698,0.6232118922504698,0.3590110023178458,0.5352296793267762,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.0013307913938761518,0.0013307913938761518,0.0,0.6357905811133574,0.6357905811133574,true
712494,0.8180497939239767,0.8180497939239767,1.0,0.7076328389769572,0.7076328389769572,0.3626372666514694,0.561336039095126,0.0,1.0,quiet_narrowing,known_urgent_threat,true,true,0.0,0.0017968853018266312,0.0017968853018266312,-5.421010862427522e-20,0.004730034094606699,0.004730034094606699,true
