_observation.scope_ids	action.delivered_exposure	action.selected	action.success	learning.edge.access-bundle.strength	learning.edge.bundle-context.strength	learning.edge.cue-root.strength	learning.edge.episode-bundle.strength	learning.edge.global-protector-one.strength	learning.edge.joint-one.strength	learning.edge.joint-three.strength	learning.edge.joint-two.strength	learning.edge.local-broadcast.strength	learning.edge.local-monitor.strength	learning.edge.partner-regulation.strength	learning.edge.partner-trust-one.strength	learning.edge.protector-one-two.strength	learning.edge.protector-three-one.strength	learning.edge.protector-two-three.strength	learning.edge.structure-episode.strength	learning.parameter.episode-state.value	learning.parameter.exposure-state.value	learning.parameter.partner-state.value	observation.delivered_log_likelihood	observation.is_imaginal	observation.log_likelihood.full-coupling	observation.log_likelihood.reduced-coupling	observation.marginal_equivalence_error	observation.scope_size	observation.source	policy.access_probability	policy.joint.expected_free_energy.protector-one=approach;protector-three=approach;protector-two=approach	policy.joint.posterior.protector-one=approach;protector-three=approach;protector-two=approach	policy.protector.protector-one.permission_probability	policy.protector.protector-three.permission_probability	policy.protector.protector-two.permission_probability	provenance.edge_id	provenance.model_candidate	provenance.observation_event_id	provenance.rng_namespace	provenance.update_function	run.arm	run.episode	run.event_executed	run.event_id	run.event_index	run.event_kind	run.genome_id	run.row_index	run.row_kind	run.seed	run.stop_reason	run.stopped	run.time	state.access.access-main.probability	state.bundle.bundle-main.activation_probability	state.bundle.bundle-main.expected_outcome	state.bundle.bundle-main.mandate_probability	state.bundle.bundle-main.root_probability	state.context.context-main.posterior.episode-state.mixed	state.context.context-main.posterior.episode-state.repair	state.context.context-main.posterior.episode-state.safe	state.context.context-main.posterior.episode-state.threat	state.context.context-main.posterior.exposure-state.high	state.context.context-main.posterior.exposure-state.low	state.context.context-main.posterior.partner-state.adverse	state.context.context-main.posterior.partner-state.ambiguous	state.context.context-main.posterior.partner-state.helpful	state.context.context-main.transition_entropy	state.cue.cue-main.meaning_probability	state.cue.cue-main.root_association	state.episode.episode-main.joint_probability	state.global_precision.global-main.context	state.global_precision.global-main.depth	state.global_precision.global-main.interoception	state.global_precision.global-main.part	state.global_precision.global-main.policy	state.global_precision.global-main.relationship	state.local_precision.local-one.calibration_error	state.local_precision.local-one.mean	state.partner.partner-main.regulation_probability	state.partner.partner-main.trust_probability	state.protector.protector-one.forecast_coprotection	state.protector.protector-one.forecast_outcome	state.protector.protector-one.forecast_partner_type	state.protector.protector-one.permission_probability	state.protector.protector-one.suppression_probability	state.protector.protector-three.forecast_coprotection	state.protector.protector-three.forecast_outcome	state.protector.protector-three.forecast_partner_type	state.protector.protector-three.permission_probability	state.protector.protector-three.suppression_probability	state.protector.protector-two.forecast_coprotection	state.protector.protector-two.forecast_outcome	state.protector.protector-two.forecast_partner_type	state.protector.protector-two.permission_probability	state.protector.protector-two.suppression_probability	state.structure.structure-main.complexity.full-coupling	state.structure.structure-main.complexity.reduced-coupling	state.structure.structure-main.first_stable_reduced_win	state.structure.structure-main.log_evidence.full-coupling	state.structure.structure-main.log_evidence.reduced-coupling	state.structure.structure-main.reversals_to_full	state.structure.structure-main.selected.full-coupling	state.structure.structure-main.selected.reduced-coupling	world.potential_hazard	world.realized_hazard	world.truth.episode-state	world.truth.exposure-state	world.truth.partner-state
																																								typed-intervention-enable	closed-loop	1	true	enable-contingency#0	0	intervene	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	0	event	71007			0																																																								
																																								typed-intervention-disable	closed-loop	1	true	closed-disable-withdraw#0	1	intervene	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	1	event	71007			0																																																								
																																								typed-intervention-disable	closed-loop	1	true	closed-disable-permit#0	2	intervene	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	2	event	71007			0																																																								
																																								typed-intervention-disable	closed-loop	1	true	closed-disable-suppress#0	3	intervene	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	3	event	71007			0																																																								
																																								typed-intervention-disable	closed-loop	1	true	closed-disable-wait#0	4	intervene	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	4	event	71007			0																																																								
																																								typed-intervention-disable	closed-loop	1	true	closed-disable-observe#0	5	intervene	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	5	event	71007			0																																																								
	0.0	approach	false	1.0	1.0	0.4996276527687905	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.41262315395799315	0.5	0.37735471393879233								0.5	0.21290428352365243	1.0	0.0	0.0	0.0						closed-loop	1					c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	6	tick	71007		false	0	0.5	0.4699005310526435	0.4587155963302753	0.5	0.5885327578880432	0.25177175546348946	0.24838664926290602	0.25254581502105417	0.2472957802525503	0.5	0.5	0.32255832773175996	0.34330743765197685	0.33413423461626324	0.8545607278688779	0.5490611969882677	0.4996276527687905	0.5356866928595125	0.14543927213112207	0.6067618860962305	0.5	0.7598280294930396	1.0	0.6285421288569912	0.1416970914059399	0.7731728676468097	0.6790191652611743	0.5446049978815657	0.5	0.5223024989407828	0.5446049978815657	0.0	1.0	0.5111512494703914	0.5	0.5446049978815657	0.0	1.0	0.5111512494703914	0.5	0.5446049978815657	0.0	1.0	0.3	0.28	-1.0	-15.451609761309902	-15.448247813771745	1.0	false	true	false	false	mixed	low	helpful
["episode-state", "episode-main", "bundle-main", "context-main"]																							-1.321418797497829	false	-1.065894593936365	-1.1313315709781817	0.0	4	world								full-coupling	closed-episode-stream#0	emission:episode-emission;distribution:closed-loop/reliable-signal;scalar_ordinal=0	common-observation-update-v1	closed-loop	1	true	closed-episode-stream#0	6	observe	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	7	event	71007			1																																																								
	0.0	approach	false	1.0	1.0	0.4996276527687905	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4141666564669859	0.5	0.37735471393879233								0.4587155963302753	0.4475925217513955	1.0	0.0	0.0	0.0						closed-loop	1					c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	8	tick	71007		false	1	0.4587155963302753	0.593603745138083	0.42372881355932207	0.5	0.5908406920911153	0.17023813136839105	0.13117176449380055	0.6000724289034041	0.09851767523440433	0.5	0.5	0.3225171223905044	0.34746488112270785	0.33001799648678787	0.8429129551249702	0.5490611969882677	0.4996276527687905	0.6000724289034041	0.15708704487502978	0.6116443156273303	0.5	0.7624969971237937	1.0	0.6386375361378279	0.0037054185865497136	0.7722465130001723	0.6790191652611743	0.5446049978815657	0.45871559633027537	0.5016602971059205	0.5446049978815657	0.0	1.0	0.48018794671809795	0.45871559633027537	0.5446049978815657	0.0	1.0	0.48018794671809795	0.45871559633027537	0.5446049978815657	0.0	1.0	0.3	0.28	-1.0	-16.517504355246267	-16.579579384749927	2.0	true	false	false	false	safe	low	helpful
["episode-state", "episode-main", "bundle-main", "context-main"]																							-1.3277898785684332	false	-0.5227952415684965	-0.5258847226969255	0.0	4	world								full-coupling	closed-episode-stream#1	emission:episode-emission;distribution:closed-loop/reliable-signal;scalar_ordinal=0	common-observation-update-v1	closed-loop	1	true	closed-episode-stream#1	7	observe	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	9	event	71007			2																																																								
