_observation.scope_ids	action.delivered_exposure	action.selected	action.success	learning.edge.access-bundle.strength	learning.edge.bundle-context.strength	learning.edge.cue-root.strength	learning.edge.episode-bundle.strength	learning.edge.global-protector-one.strength	learning.edge.joint-one.strength	learning.edge.joint-three.strength	learning.edge.joint-two.strength	learning.edge.local-broadcast.strength	learning.edge.local-monitor.strength	learning.edge.partner-regulation.strength	learning.edge.partner-trust-one.strength	learning.edge.protector-one-two.strength	learning.edge.protector-three-one.strength	learning.edge.protector-two-three.strength	learning.edge.structure-episode.strength	learning.parameter.episode-state.value	learning.parameter.exposure-state.value	learning.parameter.partner-state.value	observation.delivered_log_likelihood	observation.is_imaginal	observation.log_likelihood.full-coupling	observation.log_likelihood.reduced-coupling	observation.marginal_equivalence_error	observation.scope_size	observation.source	policy.access_probability	policy.joint.expected_free_energy.protector-one=approach;protector-three=approach;protector-two=approach	policy.joint.posterior.protector-one=approach;protector-three=approach;protector-two=approach	policy.protector.protector-one.permission_probability	policy.protector.protector-three.permission_probability	policy.protector.protector-two.permission_probability	provenance.edge_id	provenance.model_candidate	provenance.observation_event_id	provenance.rng_namespace	provenance.update_function	run.arm	run.episode	run.event_executed	run.event_id	run.event_index	run.event_kind	run.genome_id	run.row_index	run.row_kind	run.seed	run.stop_reason	run.stopped	run.time	state.access.access-main.probability	state.bundle.bundle-main.activation_probability	state.bundle.bundle-main.expected_outcome	state.bundle.bundle-main.mandate_probability	state.bundle.bundle-main.root_probability	state.context.context-main.posterior.episode-state.mixed	state.context.context-main.posterior.episode-state.repair	state.context.context-main.posterior.episode-state.safe	state.context.context-main.posterior.episode-state.threat	state.context.context-main.posterior.exposure-state.high	state.context.context-main.posterior.exposure-state.low	state.context.context-main.posterior.partner-state.adverse	state.context.context-main.posterior.partner-state.ambiguous	state.context.context-main.posterior.partner-state.helpful	state.context.context-main.transition_entropy	state.cue.cue-main.meaning_probability	state.cue.cue-main.root_association	state.episode.episode-main.joint_probability	state.global_precision.global-main.context	state.global_precision.global-main.depth	state.global_precision.global-main.interoception	state.global_precision.global-main.part	state.global_precision.global-main.policy	state.global_precision.global-main.relationship	state.local_precision.local-one.calibration_error	state.local_precision.local-one.mean	state.partner.partner-main.regulation_probability	state.partner.partner-main.trust_probability	state.protector.protector-one.forecast_coprotection	state.protector.protector-one.forecast_outcome	state.protector.protector-one.forecast_partner_type	state.protector.protector-one.permission_probability	state.protector.protector-one.suppression_probability	state.protector.protector-three.forecast_coprotection	state.protector.protector-three.forecast_outcome	state.protector.protector-three.forecast_partner_type	state.protector.protector-three.permission_probability	state.protector.protector-three.suppression_probability	state.protector.protector-two.forecast_coprotection	state.protector.protector-two.forecast_outcome	state.protector.protector-two.forecast_partner_type	state.protector.protector-two.permission_probability	state.protector.protector-two.suppression_probability	state.structure.structure-main.complexity.full-coupling	state.structure.structure-main.complexity.reduced-coupling	state.structure.structure-main.first_stable_reduced_win	state.structure.structure-main.log_evidence.full-coupling	state.structure.structure-main.log_evidence.reduced-coupling	state.structure.structure-main.reversals_to_full	state.structure.structure-main.selected.full-coupling	state.structure.structure-main.selected.reduced-coupling	world.potential_hazard	world.realized_hazard	world.truth.episode-state	world.truth.exposure-state	world.truth.partner-state
	0.0	approach	false	1.0	1.0	0.49796862902949535	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4058687580678618	0.5	0.3782244695801748								0.5	0.40432030240884553	1.0	0.0	0.0	0.0						closed-loop	1					c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	10	tick	71002		false	2	0.5	0.6050934444535377	0.4645669291338582	0.5	0.5909672909066651	0.16243728840200616	0.1213010810495876	0.6306010523996072	0.08566057814879897	0.5	0.5	0.32956690089618695	0.3520950545757939	0.3183380445280193	0.8123633964674268	0.5440573368942679	0.49796862902949535	0.6306010523996073	0.18763660353257317	0.6205556618450638	0.5	0.8003439908118841	1.0	0.6147977148808622	0.017224647707144713	0.83089652456223	0.6036142128629494	0.5555466602928059	0.5	0.5277733301464029	0.5555466602928059	0.0	1.0	0.5138866650732015	0.5	0.5555466602928059	0.0	1.0	0.5138866650732015	0.5	0.5555466602928059	0.0	1.0	0.3	0.28	1.0	-14.620581995592799	-14.513439782217182	0.0	false	true	true	true	threat	high	helpful
["episode-state", "episode-main", "bundle-main", "context-main"]																							-1.3129311516951871	false	-2.209119802787345	-2.2084045044276386	0.0	4	world								reduced-coupling	closed-episode-stream#2	emission:episode-emission;distribution:closed-loop/reliable-signal;scalar_ordinal=0	common-observation-update-v1	closed-loop	1	true	closed-episode-stream#2	8	observe	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	11	event	71002			3																																																								
	0.0	approach	false	1.0	1.0	0.49796862902949535	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4075515451265163	0.5	0.3782244695801748								0.4645669291338582	0.5037667703624459	1.0	0.0	0.0	0.0						closed-loop	1					c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	12	tick	71002		false	3	0.4645669291338582	0.6111520856414507	0.4338235294117647	0.5	0.593582910159541	0.16496099831796696	0.1267739717926981	0.10421964271829084	0.6040453871710443	0.5	0.5	0.3295668447583617	0.35209503214008486	0.3183381231015535	0.636697648683973	0.5440573368942679	0.49796862902949535	0.6040453871710442	0.36330235131602695	0.656463572671052	0.5	0.8064544975619534	1.0	0.6125610144772797	0.022076885533213075	0.8253773031789268	0.6036142128629494	0.5555466602928059	0.4645669291338583	0.5100567947133321	0.5555466602928059	0.0	1.0	0.4873118619235952	0.4645669291338583	0.5555466602928059	0.0	1.0	0.4873118619235952	0.4645669291338583	0.5555466602928059	0.0	1.0	0.3	0.28	1.0	-16.829701798380142	-16.72184428664482	0.0	false	true	true	true	threat	high	helpful
["episode-state", "episode-main", "bundle-main", "context-main"]																							-1.4675753904611146	false	-2.0089308873226273	-2.008585024831391	0.0	4	world								reduced-coupling	closed-episode-stream#3	emission:episode-emission;distribution:closed-loop/reliable-signal;scalar_ordinal=0	common-observation-update-v1	closed-loop	1	true	closed-episode-stream#3	9	observe	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	13	event	71002			4																																																								
	0.0	approach	false	1.0	1.0	0.49796862902949535	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.40886711083863514	0.5	0.3782244695801748								0.4338235294117647	0.5423879330434696	1.0	0.0	0.0	0.0						closed-loop	1					c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	14	tick	71002		false	4	0.4338235294117647	0.5699302396844868	0.40689655172413797	0.5	0.585804660664262	0.5546916626831452	0.1429038735181385	0.1538577558884401	0.14854670791027622	0.5	0.5	0.3295668449095085	0.3520950322125091	0.31833812287798247	0.7405639864261802	0.5440573368942679	0.49796862902949535	0.5546916626831452	0.25943601357381985	0.6360893452827163	0.5	0.8102390586853482	1.0	0.6107716541544137	0.004208207851488011	0.8264293551417989	0.6036142128629494	0.5555466602928059	0.4338235294117648	0.4946850948522853	0.5555466602928059	0.0	1.0	0.46425431213202506	0.4338235294117648	0.5555466602928059	0.0	1.0	0.46425431213202506	0.4338235294117648	0.5555466602928059	0.0	1.0	0.3	0.28	1.0	-18.83863268570277	-18.73042931147621	0.0	false	true	true	true	mixed	high	helpful
["episode-state", "episode-main", "bundle-main", "context-main"]																							-1.3174952545278713	false	-2.0058443658321696	-1.9976951994817647	0.0	4	world								reduced-coupling	closed-episode-stream#4	emission:episode-emission;distribution:closed-loop/reliable-signal;scalar_ordinal=0	common-observation-update-v1	closed-loop	1	true	closed-episode-stream#4	10	observe	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	15	event	71002			5																																																								
	1.0	approach	true	1.0	1.0	0.49796862902949535	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.41094180883132536	0.5	0.3782244695801748								0.40689655172413797	0.6214547403895804	1.0	0.0	0.0	0.0						closed-loop	1					c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	16	tick	71002		false	5	0.40689655172413797	0.5799087123902227	0.4415584415584416	0.5	0.5837905402035134	0.17431720508200563	0.13572764825953848	0.11422108829793665	0.5757340583605193	0.5	0.5	0.32956684490921745	0.35209503221232885	0.3183381228784537	0.6686650873208243	0.5440573368942679	0.49796862902949535	0.5757340583605193	0.3313349126791757	0.650830439310387	0.5	0.8134771179766384	1.0	0.6093401658961208	0.06761617756702043	0.8095253107500439	0.6036142128629494	0.5555466602928059	0.40689655172413797	0.4812216060084719	0.5555466602928059	0.0	1.0	0.4440590788663049	0.40689655172413797	0.5555466602928059	0.0	1.0	0.4440590788663049	0.40689655172413797	0.5555466602928059	0.0	1.0	0.3	0.28	1.0	-20.844477051534938	-20.728124510957976	0.0	false	true	true	false	threat	high	helpful
["episode-state", "episode-main", "bundle-main", "context-main"]																							-1.4666382518973886	false	-0.5096897104502837	-0.5171672755477492	0.0	4	world								full-coupling	closed-episode-stream#5	emission:episode-emission;distribution:closed-loop/reliable-signal;scalar_ordinal=0	common-observation-update-v1	closed-loop	1	true	closed-episode-stream#5	11	observe	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	17	event	71002			6																																																								
	1.0	approach	true	1.0	1.0	0.49796862902949535	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4116337574865159	0.5	0.3782244695801748								0.4415584415584416	0.5788921832780023	1.0	0.0	0.0	0.0						closed-loop	1					c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	18	tick	71002		false	6	0.4415584415584416	0.584505513667807	0.4723926380368098	0.5	0.600119758420071	0.14082796398338604	0.6654366312863014	0.09893978399704796	0.09479562073326463	0.5	0.5	0.32956684490921767	0.3520950322123292	0.31833812287845326	0.7650657394438012	0.5440573368942679	0.49796862902949535	0.6654366312863014	0.23493426055619882	0.631163198475401	0.5	0.8126867565313195	1.0	0.6081949752894866	0.08415397680799785	0.8305638049520433	0.6036142128629494	0.5555466602928059	0.44155844155844165	0.4985525509256238	0.5555466602928059	0.0	1.0	0.4700554962420327	0.44155844155844165	0.5555466602928059	0.0	1.0	0.4700554962420327	0.44155844155844165	0.5555466602928059	0.0	1.0	0.3	0.28	1.0	-21.354166761985223	-21.245291786505724	0.0	false	true	true	false	repair	high	helpful
["episode-state", "episode-main", "bundle-main", "context-main"]																							-1.3306211820135303	false	-1.8362563785136286	-1.8356011180271334	0.0	4	world								reduced-coupling	closed-episode-stream#6	emission:episode-emission;distribution:closed-loop/reliable-signal;scalar_ordinal=0	common-observation-update-v1	closed-loop	1	true	closed-episode-stream#6	12	observe	c44b479670ab23b6e334606a99194c7bb4aef56fbd5f5a80d76002404fcd15bb	19	event	71002			7																																																								
