arm,omega,kappa,n_seeds,mean_potential_aversive_count,mean_delivered_aversive_count,mean_suppressed_aversive_count,mean_exposure_rate,mean_successful_relief_action_count,mean_policy_approach_count,mean_policy_flee_count,mean_policy_appease_count,mean_policy_attenuate_count,potential_after_approach_count,exposed_after_approach_count,exposure_rate_after_approach,potential_after_flee_count,exposed_after_flee_count,exposure_rate_after_flee,potential_after_appease_count,exposed_after_appease_count,exposure_rate_after_appease,potential_after_attenuate_count,exposed_after_attenuate_count,exposure_rate_after_attenuate,exposure_accounting_error
closed_loop,0.4,0.9,20,42.25,26.6,15.65,0.6352724444013191,26.1,0.3,199.7,0.0,0.0,1,1,1.0,841,528,0.6278240190249703,0,0,0.0,0,0,0.0,-1.7763568394002505e-15
closed_loop,0.4,1.0,20,42.25,26.6,15.65,0.6352724444013191,26.1,0.3,199.7,0.0,0.0,1,1,1.0,841,528,0.6278240190249703,0,0,0.0,0,0,0.0,-1.7763568394002505e-15
closed_loop,0.4,1.1,20,42.25,26.6,15.65,0.6352724444013191,26.1,0.3,199.7,0.0,0.0,1,1,1.0,841,528,0.6278240190249703,0,0,0.0,0,0,0.0,-1.7763568394002505e-15
closed_loop,0.4,1.2,20,42.25,26.6,15.65,0.6352724444013191,26.1,0.3,199.7,0.0,0.0,1,1,1.0,841,528,0.6278240190249703,0,0,0.0,0,0,0.0,-1.7763568394002505e-15
closed_loop,0.4,1.3,20,42.25,26.6,15.65,0.6352724444013191,26.1,0.3,199.7,0.0,0.0,1,1,1.0,841,528,0.6278240190249703,0,0,0.0,0,0,0.0,-1.7763568394002505e-15
closed_loop,0.4,1.4,20,42.25,26.6,15.65,0.6352724444013191,26.1,0.3,199.7,0.0,0.0,1,1,1.0,841,528,0.6278240190249703,0,0,0.0,0,0,0.0,-1.7763568394002505e-15
closed_loop,0.6,0.0,20,52.7,49.3,3.4,0.9394941245031584,4.55,52.15,64.05,46.0,37.8,269,259,0.9628252788104089,358,308,0.8603351955307262,228,220,0.9649122807017544,194,194,1.0,5.773159728050814e-15
closed_loop,0.6,0.1,20,52.7,43.1,9.6,0.8221310337424299,13.9,10.15,128.3,51.85,9.7,59,56,0.9491525423728814,685,524,0.7649635036496351,262,234,0.8931297709923665,43,43,1.0,1.7763568394002505e-15
closed_loop,0.6,0.2,20,52.7,39.3,13.4,0.7481286636390916,18.95,0.3,158.0,41.7,0.0,1,1,1.0,830,588,0.708433734939759,218,192,0.8807339449541285,0,0,0.0,5.329070518200751e-15
closed_loop,0.6,0.3,20,52.7,36.65,16.05,0.69908784369273,23.1,0.3,169.05,30.65,0.0,1,1,1.0,889,589,0.6625421822272216,159,138,0.8679245283018868,0,0,0.0,3.552713678800501e-15
