position,seed,history_length,ordinary_slice_count,overwhelming_slice_count,high_control_slice_count,low_control_slice_count,integrated_broadcast_slice_count,collapsed_broadcast_slice_count,profile_signature,q_T,q_D,q_P,m0,log_joint_T,log_joint_D,log_joint_P,log_likelihood_T,log_likelihood_D,log_likelihood_P,first_P_selection_time,first_qP_0_60_crossing_time,final_runner_up,cumulative_P_runner_up_log_BF,post_selection_log_BF,pre_and_selection_log_BF,stratum,eligible,retained,reason,state_sha256,reload_sha256,rehash_ok,released_block_authorization,cumulative_moderate,cumulative_strong,cumulative_very_strong,retained_moderate,retained_strong,retained_very_strong,q_P_ECDF,m0_ECDF
617,820617,6,4,2,1,5,3,3,L6-O2-LC5-CB3,0.0023850817730818753,0.003260432549607498,0.9943544856773107,5.7202338980051675,-15.55740649247763,-15.244780032132102,-9.524546134126936,-14.864259311917685,-13.858485671012211,-8.138251773007045,1,1,D,5.720233898005167,3.483419325522166,2.2368145724830004,,0,0,above_nonsaturation_range,65ce83eef6004c122fdbad14be303f79927015d931dde7a2c16a72fa4ac1632a,65ce83eef6004c122fdbad14be303f79927015d931dde7a2c16a72fa4ac1632a,1,820001:825504,17,34,60,17,34,40,0.31740552325581395,0.3288517441860465
618,820618,8,6,2,2,6,4,4,L8-O2-LC6-CB4,6.494068476480895e-05,7.01667109576513e-05,0.9998648926042775,9.564501445761163,-20.40956864654932,-20.332168962065534,-10.767667516304373,-19.716421465989377,-18.945874600945643,-9.381373155184482,1,1,D,9.564501445761163,7.515486403683684,2.0490150420774795,,0,0,above_nonsaturation_range,12feda7fba91a0fb9771799eeefec8808a15ace94ddff9ce39eda3df82d5342e,12feda7fba91a0fb9771799eeefec8808a15ace94ddff9ce39eda3df82d5342e,1,820001:825504,17,34,60,17,34,40,0.5566860465116279,0.5712209302325582
619,820619,10,8,2,3,7,5,5,L10-O2-LC7-CB5,0.08534385371194222,0.040551485844189605,0.8741046604438683,2.3265116833786124,-20.63725953939785,-21.38137555113348,-18.310747856019237,-19.944112358837906,-19.99508119001359,-16.924453494899346,6,9,T,3.0196588639385586,1.6029530847193318,1.4167057792192266,strong,1,1,retained_first_eligible,a8a584ea8cb11f1037848430d14b42722fbc926ba932369b25c807fdc94ffa61,a8a584ea8cb11f1037848430d14b42722fbc926ba932369b25c807fdc94ffa61,1,820001:825504,17,35,60,17,35,40,0.11827761627906977,0.12009447674418605
620,820620,12,9,3,3,9,6,6,L12-O3-LC9-CB6,0.6192457562547522,0.14723847556678235,0.23351576817846556,-0.9752526108044631,-23.38003150997153,-24.816480170210433,-24.355284120776,-22.686884329411587,-23.430185809090542,-22.968989759656107,,,T,-0.2821054302445172,0.0,-0.2821054302445172,,0,0,below_formed_range,33ab8dd54b0f9107f435e41c097f5dfd1582653b116b3be46be47d25eed6c8e2,33ab8dd54b0f9107f435e41c097f5dfd1582653b116b3be46be47d25eed6c8e2,1,820001:825504,17,35,60,17,35,40,0.021438953488372093,0.0188953488372093
621,820621,16,12,4,4,12,8,8,L16-O4-LC12-CB8,1.04279108255744e-05,4.504549585756057e-06,0.9999850675395886,11.47100968079857,-37.10055062070115,-37.93994866019731,-25.629540939902565,-36.4074034401412,-36.55365429907742,-24.243246578782674,1,1,T,12.164156861358517,10.223194482602567,1.9409623787559493,,0,0,above_nonsaturation_range,cc2b25a501e6d3d9b8dcd187192a1d69f077dfea68643f85dd2f7b2a29e38e16,cc2b25a501e6d3d9b8dcd187192a1d69f077dfea68643f85dd2f7b2a29e38e16,1,820001:825504,17,35,60,17,35,40,0.662609011627907,0.6644258720930233
622,820622,20,15,5,5,15,10,10,L20-O5-LC15-CB10,2.6177410917712406e-08,1.7850645081310807e-08,0.999999955971944,17.45836893275441,-49.05584506185757,-49.43870227543984,-31.59747612910314,-48.36269788129762,-48.05240791431995,-30.21118176798325,1,1,T,18.151516113314354,15.831833325416973,2.3196827878973805,,0,0,above_nonsaturation_range,fc86b003e109e17fc4e2ff04caa3a44adf17954e4cc05e5a7e87acfcef114f1e,fc86b003e109e17fc4e2ff04caa3a44adf17954e4cc05e5a7e87acfcef114f1e,1,820001:825504,17,35,60,17,35,40,0.8488372093023255,0.8528343023255814
623,820623,24,18,6,6,18,12,12,L24-O6-LC18-CB12,2.4926756647897494e-09,2.95147163882574e-10,0.9999999972121772,19.8099091364402,-54.27509772859659,-56.40873561272799,-34.46518859215639,-53.581950548036644,-55.0224412516081,-33.0788942310365,4,4,T,20.503056317000148,17.688696306530233,2.8143600104699136,,0,0,above_nonsaturation_range,218eed19283048d4d64362f8be6257e47c04234e369512a3fad272e084d2967e,218eed19283048d4d64362f8be6257e47c04234e369512a3fad272e084d2967e,1,820001:825504,17,35,60,17,35,40,0.9098837209302325,0.9037063953488372
624,820624,4,3,1,1,3,2,2,L4-O1-LC3-CB2,0.3763258575488872,0.18308402381428504,0.4405901186368278,0.15765959656609888,-8.411889146886566,-9.132399363383945,-8.254229550320467,-7.71874196632662,-7.746105002264054,-6.867935189200576,3,,T,0.8508067771260446,0.13128681199983072,0.7195199651262139,,0,0,below_formed_range,1c92891b3a70356d92d54d8fd3858a4a309934b418261417a37bea824e216c67,1c92891b3a70356d92d54d8fd3858a4a309934b418261417a37bea824e216c67,1,820001:825504,17,35,60,17,35,40,0.037427325581395346,0.03833575581395349
625,820625,6,4,2,1,5,3,3,L6-O2-LC5-CB3,4.285554325038961e-05,3.731027705945177e-05,0.9999198341796902,10.057595388183765,-17.132030159237033,-17.270596346901797,-7.074434771053269,-16.43888297867709,-15.884301985781907,-5.6881404099333785,1,1,T,10.75074256874371,8.80978018998776,1.9409623787559493,,0,0,above_nonsaturation_range,c94c5b808009f1d60af3b639d7bd2706431bab064f1e39c5b499782f289deb16,c94c5b808009f1d60af3b639d7bd2706431bab064f1e39c5b499782f289deb16,1,820001:825504,17,35,60,17,35,40,0.5819404069767442,0.6004723837209303
626,820626,8,6,2,2,6,4,4,L8-O2-LC6-CB4,0.0012066056928903706,0.00042608763618439175,0.9983673066709253,6.718310046217768,-18.353937177240297,-19.394858617506575,-11.635627131022531,-17.660789996680354,-18.008564256386684,-10.24933276990264,3,3,T,7.411457226777714,5.785913287470463,1.6255439393072515,,0,0,above_nonsaturation_range,d2d879de07fca17937c484d809b20a61b0bfe67fd5d004ee4b63dafd6e077745,d2d879de07fca17937c484d809b20a61b0bfe67fd5d004ee4b63dafd6e077745,1,820001:825504,17,35,60,17,35,40,0.4018895348837209,0.39680232558139533
