stage,seed,structured_selected,null_selected,structured_split_selected,null_split_selected,structured_split_margin,null_split_margin,global_elbo,cue_local_elbo,split_elbo,global_complexity,cue_local_complexity,split_complexity,learned_then_stay,learned_now_stay,witnessing_final_root,open_final_root,regulation_final_root,narrowed_final_root,witnessing_time,open_time,regulation_time,narrowed_time,fixed_context_final_root,reversed_final_root,baseline_reduction_time,post_doover_reduction_time,doover_shortening,premature_log_bayes_before,premature_log_bayes_after,premature_failed,premature_reversed,organization_register,carrier_register
confirm,174604,context_split,global_downweight,true,false,1.67252653968,-2.29826752481,-88.8844336149,-98.5005188544,-72.9969436922,18.5015333688,24.1245697357,24.9629188011,0.933114912553,0.933114912553,1,1,1,1,1,1,2,1,1,1,19,19,0,-1.22378905589,-0.226386442031,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,174605,context_split,global_downweight,true,false,1.23944471515,-2.10442360479,-120.477928384,-227.304325745,-79.413961524,14.6685107632,23.7809097747,23.9123899726,0.854204647668,0.854204647668,1,1,1,1,1,1,2,2,1,0.999999999993,19,19,0,-1.24146897646,-0.238607131679,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,174606,context_split,global_downweight,true,false,1.24255938008,-2.30577302661,-107.956125224,-158.034777017,-83.6063472417,16.1655517237,24.6353601283,24.2182095457,0.874256276738,0.874256276738,1,1,1,1,1,1,3,2,1,1,19,19,0,-1.22257073589,-0.233661055542,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,174607,context_split,global_downweight,true,false,0.814698633449,-2.33382599999,-120.078186743,-251.421568316,-73.3262419626,15.3649935657,23.5225596459,23.8328255383,0.824371974059,0.824371974059,1,1,1,1,1,1,3,1,1,1,19,19,0,-1.18499632536,-0.208389288376,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,174608,context_split,global_downweight,true,false,0.924373927789,-2.0653400837,-115.058469645,-197.315576331,-77.39000815,15.8686106563,24.3559164344,24.13531787,0.867241612392,0.867241612392,1,1,1,1,1,1,1,1,1,1,19,19,0,-1.22396234665,-0.229822477227,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,174609,context_split,global_downweight,true,false,0.112333351015,-1.92569620233,-83.9989850719,-94.9000082391,-67.5637125295,19.0955804498,23.7231437769,24.4958828929,0.914922904126,0.914922904126,1,1,1,1,1,1,3,2,1,0.999999999864,19,19,0,-1.19117826965,-0.223180415396,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,174610,context_split,global_downweight,true,false,1.15725025198,-3.19854732652,-108.497787044,-159.67056211,-67.8466738581,17.3566065941,24.3969757336,24.4991328842,0.895986441059,0.895986441059,1,1,1,1,1,1,3,3,1,0.999999999893,19,19,0,-1.2392772221,-0.236044304813,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,174611,context_split,global_downweight,true,false,1.04785714117,-0.915534145501,-105.798505872,-177.687805454,-73.4709587833,16.3172571679,23.5840628931,23.732619534,0.823663810372,0.823663810372,1,1,1,1,1,1,2,2,1,0.999999999998,19,19,0,-1.20439215547,-0.228837928485,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,174612,context_split,global_downweight,true,false,1.6509670908,-2.04129841252,-107.009269532,-238.803849772,-74.3655001761,23.2333833017,23.862403398,24.918031943,0.925382691117,0.925382691117,1,1,1,1,1,1,2,2,1,1,19,19,0,-1.21404756036,-0.224695737993,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,174613,context_split,global_downweight,true,false,0.629179817068,-2.50501406644,-109.612035606,-181.93698433,-70.8967843224,16.9236139196,23.6424287618,24.2988360441,0.878239656943,0.878239656943,1,1,1,1,1,1,3,1,1,1,19,19,0,-1.22024402195,-0.227868270488,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,174614,context_split,global_downweight,true,false,0.846943034342,-1.66171869648,-119.964148489,-244.068935568,-78.7503137031,15.2926462515,23.615933782,24.2835741606,0.88302343939,0.88302343939,1,1,1,1,1,1,2,1,1,0.999999999999,19,19,0,-1.2267927075,-0.234772027616,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,174615,context_split,global_downweight,true,false,0.691396797428,-2.87306965875,-117.415506901,-269.687700211,-73.5753939178,15.9497861969,23.3250382074,23.3900418242,0.794943596534,0.794943596534,1,1,1,1,1,1,3,4,1,0.999999999892,19,19,0,-1.23671910703,-0.236648315482,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,174616,context_split,global_downweight,true,false,1.02106924,-1.48919630224,-122.861340496,-238.75035739,-66.3320766488,14.6799595693,23.5565815212,23.8949592254,0.809911071456,0.809911071456,1,1,1,1,1,1,2,1,1,1,19,19,0,-1.19602656392,-0.21732918285,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,174617,context_split,global_downweight,true,false,0.617397587164,-2.77053218661,-99.9874740295,-133.92465648,-82.8969945967,17.0896788852,23.8436945864,24.3141573345,0.882565837388,0.882565837388,1,1,1,1,1,1,2,1,1,0.999999999805,19,19,0,-1.24475934786,-0.239461253484,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,174618,context_split,global_downweight,true,false,0.962906374769,-2.2831489127,-112.791968352,-185.44294512,-75.2402301967,16.5662109948,24.3697948587,24.3481772251,0.888841645295,0.888841645295,1,1,1,1,1,1,2,2,1,1,19,19,0,-1.16854710397,-0.207308611084,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,174619,context_split,global_downweight,true,false,1.42121634409,-2.58608795011,-120.017998004,-210.996271545,-74.4652978737,16.1801774692,24.4219008601,24.2266808369,0.871654718103,0.871654718103,1,1,1,1,1,1,3,2,1,0.999999999997,19,19,0,-1.2111690347,-0.230643498319,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,174620,context_split,global_downweight,true,false,0.770213940388,-2.88109077285,-109.684282831,-200.447950842,-69.180051489,19.2870453793,23.7399225618,24.8155305604,0.923703267859,0.923703267859,1,1,1,1,1,1,3,2,1,1,19,19,0,-1.23850510683,-0.237835981227,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
