time	mean_self	std_self	mean_threat	std_threat	mean_outcome	std_outcome	mean_policy	std_policy	mean_capture	std_capture	mean_witness	std_witness
1.0	0.1247261527708708	0.0189533821996471	0.2778043465559029	0.05601764397205542	0.2527959643134831	0.0035539602721182655	1.4371153020256939e-5	6.0003907149488295e-6	0.8180041102802114	0.0070954276879733715	0.0	0.0
2.0	0.20642547558621105	0.027230407316834952	0.31773395780183383	0.07207478643013981	0.2805963221086897	0.008966667343969172	7.387601863504297e-5	4.4563877602058556e-5	0.8057752704888537	0.009295051954891012	0.0	0.0
3.0	0.2803815909328398	0.04292714485997382	0.37444655263884047	0.08876525808867675	0.3106046070816503	0.016463039980219064	0.00045228473378551175	0.0003604942262195001	0.7926017941674373	0.012221398359007265	0.0	0.0
4.0	0.3539007053825454	0.05799721188561951	0.4584223305006763	0.10525632214096987	0.3447480806626069	0.0247296578248879	0.0033292321499719117	0.0032202817900131376	0.7769584539516404	0.014995350947976617	0.0	0.0
5.0	0.40962453059410664	0.0670143164290795	0.5190784419872861	0.10699619835597957	0.3872708024738119	0.033903699236733705	0.01839520856131497	0.02159533483276305	0.7644584811897176	0.015569033333583272	0.0	0.0
6.0	0.4495560202778041	0.07490149452328707	0.5498293538063285	0.1208927420469321	0.4246330362041047	0.038856640424532254	0.0670067267087257	0.08225006798933808	0.7564155107019841	0.016848455477990413	0.0	0.0
7.0	0.4864109605730717	0.08000481115010949	0.6009866347370404	0.12156388678632642	0.4598859607007285	0.04551272596814571	0.184927648865557	0.2210710250716413	0.747030539993618	0.017035914294945716	0.0	0.0
8.0	0.521658278661632	0.08143235621250791	0.6519796955960674	0.1045205279752789	0.49445775339538933	0.04624038403014716	0.32729208915980845	0.27990143158814124	0.7379500790521009	0.015456270008586265	0.0	0.0
9.0	0.5631271519337157	0.0831242622963954	0.6966944880704553	0.10901497433961053	0.5264970358285763	0.04740984288120251	0.5246844490344794	0.31065382016667725	0.7295240857094164	0.015723393698065323	0.0	0.0
10.0	0.5887705145402307	0.08738332544005614	0.7219155778811113	0.10501853689973413	0.5556618975222612	0.052348151861058394	0.6501206080695607	0.31582151344998566	0.7239627627066677	0.015812956601745736	0.0	0.0
11.0	0.594060895580451	0.10406280028319868	0.724348441675935	0.13120355076002913	0.5859055915408169	0.04930634928105078	0.7211447717386215	0.30882904773373254	0.7215430482818282	0.019240482357634953	0.0	0.0
12.0	0.6112723668057461	0.0996548324961283	0.7445884907514722	0.12445014729085632	0.6045316597373492	0.0571421775397225	0.7843403559244801	0.2929535212030604	0.7176617558098042	0.018959474322270176	0.0	0.0
13.0	0.6158353536868678	0.08501795136886386	0.7559568695109377	0.1056619121179473	0.6212604456307943	0.06432236741887896	0.8263558864686551	0.27493090960927735	0.7152453538917978	0.016536354228400673	0.0	0.0
14.0	0.641667648619221	0.077583752408446	0.7844995083038943	0.08049329804710383	0.6311139877468173	0.06246906587667209	0.8694487569511491	0.22386577088429932	0.7107963718967468	0.013848131965247607	0.0	0.0
15.0	0.6441865229703969	0.0819489769774555	0.7873899025062273	0.09329511108619447	0.6466987104048544	0.05984661832156784	0.8956415033759408	0.2067643813392363	0.7094163972475286	0.01445540962803106	0.0	0.0
16.0	0.6472879699415507	0.07113791308009046	0.7864439161337388	0.07956178082292772	0.6572120290991438	0.05386553550597742	0.9223926786760609	0.15027009115978066	0.7085508941244483	0.012214066255568637	0.0	0.0
17.0	0.6410895351756216	0.08493462915970192	0.777799391122597	0.09047231588489128	0.6619735171788916	0.0535884332645991	0.9148583591392089	0.17525401672098143	0.7093014923890715	0.013640787782732483	0.0	0.0
18.0	0.6488558583932336	0.09522584497990949	0.7832750860206784	0.10711085860650404	0.6627187192649284	0.05049625295904639	0.9006412122165444	0.19071186077986976	0.7084981980177413	0.015960048884965137	0.0	0.0
19.0	0.6470582975152753	0.09372811887182053	0.7850983871778802	0.10692186473670659	0.6641541167055044	0.05508946176638849	0.8995209988272193	0.19539775310575058	0.7083575208572093	0.016078350121132266	0.0	0.0
20.0	0.6569395061862372	0.0936241613345657	0.795552404923128	0.09777888801394106	0.6677572857925642	0.05718559572136513	0.9126221946145148	0.1690537838647797	0.7067400491310277	0.015321098511552576	0.0	0.0
21.0	0.6323374637456564	0.07787615214330784	0.7597263050155196	0.09715356232788898	0.6677572857925642	0.057185595721365105	0.1727899969168492	0.19238403232594775	0.7108581987819828	0.014486339060723137	0.0	0.0
22.0	0.6323374637456564	0.07787615214330784	0.7597263050155196	0.09715356232788898	0.6677572857925642	0.057185595721365105	0.1727899969168492	0.19238403232594775	0.7108581987819828	0.014486339060723137	0.0	0.0
23.0	0.6323374637456564	0.07787615214330784	0.7597263050155196	0.09715356232788898	0.6677572857925642	0.057185595721365105	0.1727899969168492	0.19238403232594775	0.7108581987819828	0.014486339060723137	0.0	0.0
