E_t	mean_final	std_final
0.0	0.6355335361211701	0.0694881264481436
0.05	0.63264985676204	0.06717381915541362
0.1	0.6256701619235577	0.06405404666795653
0.15	0.6266702007217249	0.0695747773109976
0.2	0.6262980618464276	0.07184528592050432
0.25	0.623967158699753	0.07525052248484794
0.3	0.6248271697704226	0.08068472115154433
0.35	0.6336347944666716	0.08805247708657277
0.4	0.6327306221013187	0.09059144841149624
0.45	0.6435678541526167	0.09720407655683126
0.5	0.658440271173449	0.10199026936527152
0.55	0.66240108503574	0.10122475781142921
0.6	0.9849103387665495	0.0074150076299370205
0.65	0.9997490820399758	0.0001298673491374655
0.7	0.9999957603598076	2.3952089393859523e-5
0.75	0.9999999874963723	8.560780368916294e-8
0.8	0.9958095124269247	0.03748086022896046
0.85	0.9953805716628995	0.041317423115774986
0.9	0.9950283698254792	0.044467612116870815
0.95	0.9952746597997552	0.042264727618239926
1.0	0.995520697229052	0.040064101950570974
