step	avoid_mean	inspect_mean	stay_mean	avoid_std	inspect_std	stay_std
1.0	0.9999991198854222	7.997339077789275e-7	8.038066970135022e-8	5.1315433115873725e-6	4.815561963330412e-6	3.2365385736799694e-7
2.0	0.9999991198854222	7.997339077789275e-7	8.038066970135022e-8	5.1315433115873725e-6	4.815561963330412e-6	3.2365385736799694e-7
3.0	0.9999991198854222	7.997339077789275e-7	8.038066970135022e-8	5.1315433115873725e-6	4.815561963330412e-6	3.2365385736799694e-7
