time	mean_self	std_self	mean_threat	std_threat	mean_outcome	std_outcome	mean_policy	std_policy	mean_capture	std_capture	mean_witness	std_witness
1.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
2.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
3.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
4.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
5.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
6.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
7.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
8.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
9.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
10.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
11.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
12.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
13.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
14.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
15.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
16.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
17.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
18.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
19.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
20.0	0.09999999999999991	9.796431412265813e-17	0.19999999999999982	1.9592862824531626e-16	0.25	0.0	5.4107426752316115e-6	6.833448250743452e-21	0.8561568428204555	4.478368645607229e-16	0.0	0.0
21.0	0.14051189111927817	1.3994902017522592e-16	0.24492822205528553	2.7989804035045183e-16	0.25000000000000006	5.597960807009036e-17	1.0250836293356364e-8	8.341611634208317e-24	0.8494386877362764	8.956737291214457e-16	0.0	0.0
22.0	0.14051189111927817	1.3994902017522592e-16	0.24492822205528553	2.7989804035045183e-16	0.25000000000000006	5.597960807009036e-17	1.0250836293356364e-8	8.341611634208317e-24	0.8494386877362764	8.956737291214457e-16	0.0	0.0
23.0	0.14051189111927817	1.3994902017522592e-16	0.24492822205528553	2.7989804035045183e-16	0.25000000000000006	5.597960807009036e-17	1.0250836293356364e-8	8.341611634208317e-24	0.8494386877362764	8.956737291214457e-16	0.0	0.0
