time	mean_self	std_self	mean_threat	std_threat	mean_outcome	std_outcome	mean_policy	std_policy	mean_capture	std_capture	mean_witness	std_witness
1.0	0.11806415723403639	0.02284515222119284	0.26380521781690386	0.06477189529964414	0.25146207319916514	0.011396858024242016	1.249035306449103e-5	6.939189782415532e-6	0.5640688423291101	0.013064926739413884	0.0	0.0
2.0	0.19260280183668638	0.03863362725830983	0.2961756256055016	0.08953033531616947	0.27891599230627306	0.013376251579863043	6.697821978970145e-5	6.568074093590013e-5	0.5463908855501625	0.019096663673904113	0.0	0.0
3.0	0.2621605088967272	0.054999251184665525	0.34673636164329674	0.09668416724717016	0.3065259346928145	0.02437185602155924	0.00042186347425624714	0.000560445392249474	0.5273693445890733	0.021741957461276464	0.0	0.0
4.0	0.330228299696567	0.06650859254787188	0.4125857358511514	0.10539591783530045	0.339661303499862	0.03370852495465342	0.002767359675207205	0.004566444665707925	0.5068538460199666	0.022929453934974905	0.0	0.0
5.0	0.3821378947616505	0.06453014688230717	0.47889230692701124	0.08841462521694082	0.37853246054258205	0.040242161213919464	0.011164455697087941	0.0229711413530054	0.48815409274363303	0.018285097725687885	0.0	0.0
6.0	0.4300412583696548	0.07688663814017342	0.53863069690257	0.11246160302292241	0.4196818837130676	0.040536783028381	0.04961125850325391	0.06792641635729167	0.4723015040723613	0.021882087524028225	0.0	0.0
7.0	0.46465971233223785	0.08896456335864136	0.587882222832107	0.11093343681787472	0.4608338373833897	0.04330900500036928	0.1556938476886393	0.19436877139183156	0.4594879697598057	0.022192282716926887	0.0	0.0
8.0	0.4962464872415113	0.08442316111188962	0.615970293416566	0.10799630022516758	0.49238181261193453	0.05441762777451865	0.26520742507746514	0.2757446380924939	0.45073295918568956	0.02123181513653469	0.0	0.0
9.0	0.5338900773413073	0.0922054059975409	0.6513897075434898	0.10397889318591054	0.5225283123343087	0.06301804398731915	0.42327412750894755	0.32421375833964416	0.4412508455499511	0.020892076856601667	0.0	0.0
10.0	0.5703033074555496	0.07827658440205942	0.6964713917752898	0.10095432310790557	0.5519403375933316	0.06717331480467416	0.5999826075921604	0.308718636934874	0.43116746971964404	0.01915446610278717	0.0	0.0
11.0	0.5882745427698388	0.08856468754062922	0.7125053231257727	0.09339665692789745	0.5839685735269975	0.06379362804988023	0.7093244563050126	0.29216943865783784	0.42547919920892213	0.017628458188336214	0.0	0.0
12.0	0.6045107183280457	0.09437165026533044	0.7340385749951562	0.09979195583393534	0.60203249856692	0.06290773616191743	0.7724719678929743	0.255916822107613	0.420806738117464	0.01821871320103126	0.0	0.0
13.0	0.6170188601116717	0.09505207113833349	0.7370075357281227	0.11028899700390796	0.6292341229464937	0.057781341022908016	0.8244655929151213	0.22800512934709627	0.4176152390602072	0.019574427299937983	0.0	0.0
14.0	0.628087817962102	0.09614744180900466	0.7455153725900974	0.11003532083660407	0.6412110312288818	0.06754085377746707	0.8452594500411219	0.22813762322765216	0.415189299109353	0.020278622901286784	0.0	0.0
15.0	0.6340163805506228	0.09583714736986619	0.7592481748645546	0.09541161735801908	0.6520713861984326	0.06852209394715439	0.869709060045523	0.2129107736649226	0.4124691271609241	0.018298187227687206	0.0	0.0
16.0	0.6235691501192365	0.10139868587872501	0.7519939247986283	0.10306861657851174	0.6656884286616164	0.05848193640304645	0.8836682709817374	0.19084938342073415	0.4127754554376991	0.018721864755982014	0.0	0.0
17.0	0.6230007819838759	0.10852532420538	0.7468185757875043	0.11433496728524262	0.6677539512782261	0.056520041449880105	0.8805076848457275	0.2082061316681807	0.41329444824241635	0.0204765853600012	0.0	0.0
18.0	0.6303347271766814	0.10549250552380643	0.7675951818340714	0.09974002831483873	0.6613824344680783	0.06512969412842091	0.8805669565134469	0.21310347085837356	0.411289388587682	0.019578507064939712	0.0	0.0
19.0	0.6152478966493903	0.11343348818748937	0.753129362731672	0.1176445368531278	0.6709330493203639	0.06322069303861737	0.8675527696418979	0.227782060572774	0.4131022690765966	0.022446356563151935	0.0	0.0
20.0	0.6185646358794383	0.12472290140604368	0.7503543703154101	0.12624285215915676	0.6703065365713777	0.07178906695045181	0.8405749811377918	0.26121030891314084	0.4134603671770915	0.02481138023115963	0.0	0.0
21.0	0.6266867064014702	0.1127355762517423	0.7076482139229744	0.12867486324715025	0.6703065365713777	0.07178906695045177	0.7570099439688175	0.2963742401934547	0.41696672964938414	0.02428354748042602	0.0	0.0
22.0	0.6266867064014702	0.1127355762517423	0.7076482139229744	0.12867486324715025	0.6703065365713777	0.07178906695045177	0.7570099439688175	0.2963742401934547	0.41696672964938414	0.02428354748042602	0.0	0.0
23.0	0.6266867064014702	0.1127355762517423	0.7076482139229744	0.12867486324715025	0.6703065365713777	0.07178906695045177	0.7570099439688175	0.2963742401934547	0.41696672964938414	0.02428354748042602	0.0	0.0
