calibration_id,root_sessions,root_amplitude,root_observation_sd,contact_amplitude,contact_sd,mean_witnessing,mean_open,mean_regulation,mean_narrowed,mean_fixed,mean_reversed,baseline_reachable,guard_passed
44b-cal-01,18,0.55,0.9,0.45,0.9,0.99999999881,0.999992895694,0.758152708112,0.920781975766,0.927237961677,0.06,10,false
44b-cal-02,14,0.35,1,0.3,1,0.811758709639,0.77668266714,0.152665751266,0.388666309063,0.26956191101,0.06,10,true
44b-cal-03,12,0.3,1.05,0.25,1.05,0.623176399052,0.534269311901,0.105049125455,0.223665585531,0.159613389085,0.06,10,false
