narrowing_strength,worlds,part_precision,off_channel_precision,field_breadth,mean_final_root,sd_final_root,mean_regulation_floor,mean_above_regulation
0,10,0.72,0.04,0.0823906857563,0.44184594906,0.273837103522,0.182444793961,0.259401155099
0.25,10,0.72,0.03,0.066400915182,0.430653461876,0.272369153365,0.182444793961,0.248208667915
0.5,10,0.72,0.02,0.0489897948557,0.419440072309,0.27072164106,0.182444793961,0.236995278348
0.75,10,0.72,0.01,0.0291295063024,0.408175420509,0.268899099349,0.182444793961,0.225730626548
1,10,0.72,0,9.21155870319e-10,0.396592885305,0.266898393313,0.182444793961,0.214148091344
