seed,narrowing_strength,part_precision,off_channel_precision,field_breadth,final_root,regulation_final_root,root_above_regulation,bundle_llr,contact_llr
174901,0,0.72,0.04,0.0823906857563,0.465371956981,0.152506166223,0.312865790758,2.60413780538,0.00866324257289
174901,0.25,0.72,0.03,0.066400915182,0.453500576312,0.152506166223,0.300994410089,2.55801665535,0.00698194498569
174901,0.5,0.72,0.02,0.0489897948557,0.44164498915,0.152506166223,0.289138822927,2.51189550533,0.00515119485334
174901,0.75,0.72,0.01,0.0291295063024,0.429792440358,0.152506166223,0.277286274136,2.4657743553,0.00306291878518
174901,1,0.72,0,9.21155870319e-10,0.417782747962,0.152506166223,0.265276581739,2.41965320527,9.68579964928e-11
174902,0,0.72,0.04,0.0823906857563,0.273324586796,0.14917939094,0.124145195855,1.72203129197,0.0516841690611
174902,0.25,0.72,0.03,0.066400915182,0.260219470355,0.14917939094,0.111040079415,1.66505345357,0.0416536905182
174902,0.5,0.72,0.02,0.0489897948557,0.247362634984,0.14917939094,0.0981832440433,1.60807561518,0.0307315907902
174902,0.75,0.72,0.01,0.0291295063024,0.23466325041,0.14917939094,0.0854838594693,1.55109777679,0.0182731132115
174902,1,0.72,0,9.21155870319e-10,0.221419142037,0.14917939094,0.0722397510972,1.4941199384,5.77846576906e-10
174903,0,0.72,0.04,0.0823906857563,0.929524811959,0.328648285008,0.600876526951,5.32655309254,0.00439501599566
174903,0.25,0.72,0.03,0.066400915182,0.923505876936,0.328648285008,0.594857591928,5.23895649721,0.00354206402911
174903,0.5,0.72,0.02,0.0489897948557,0.917013015311,0.328648285008,0.588364730303,5.15135990188,0.00261329214629
174903,0.75,0.72,0.01,0.0291295063024,0.910012033426,0.328648285008,0.581363748418,5.06376330655,0.00155387280698
174903,1,0.72,0,9.21155870319e-10,0.902439715234,0.328648285008,0.573791430226,4.97616671122,4.91377726424e-11
174904,0,0.72,0.04,0.0823906857563,0.423014126084,0.164463923054,0.25855020303,2.40661368544,0.0345094168257
174904,0.25,0.72,0.03,0.066400915182,0.407709808862,0.164463923054,0.243245885809,2.35028219282,0.0278120862643
174904,0.5,0.72,0.02,0.0489897948557,0.392440497281,0.164463923054,0.227976574228,2.2939507002,0.0205194220119
174904,0.75,0.72,0.01,0.0291295063024,0.377137678901,0.164463923054,0.212673755847,2.23761920758,0.0122009213261
174904,1,0.72,0,9.21155870319e-10,0.361179694937,0.164463923054,0.196715771883,2.18128771495,3.85827009431e-10
174905,0,0.72,0.04,0.0823906857563,0.0417781369443,0.135208145129,-0.0934300081849,-0.397364210738,0.0161933458824
174905,0.25,0.72,0.03,0.066400915182,0.0386178056447,0.135208145129,-0.0965903394846,-0.476173927403,0.0130506619356
174905,0.5,0.72,0.02,0.0489897948557,0.035678023236,0.135208145129,-0.0995301218933,-0.554983644067,0.00962862106952
174905,0.75,0.72,0.01,0.0291295063024,0.0329390238162,0.135208145129,-0.102269121313,-0.633793360731,0.00572521234177
174905,1,0.72,0,9.21155870319e-10,0.03035000806,0.135208145129,-0.104858137069,-0.712603077396,1.81047110881e-10
174906,0,0.72,0.04,0.0823906857563,0.092825032141,0.146344327028,-0.0535192948875,0.473758936498,-0.00184261698498
174906,0.25,0.72,0.03,0.066400915182,0.0868464473668,0.146344327028,-0.0594978796617,0.400257863951,-0.00148501560595
174906,0.5,0.72,0.02,0.0489897948557,0.0812208232888,0.146344327028,-0.0651235037396,0.326756791404,-0.00109562661438
174906,0.75,0.72,0.01,0.0291295063024,0.0759331508349,0.146344327028,-0.0704111761936,0.253255718857,-0.000651463482605
174906,1,0.72,0,9.21155870319e-10,0.0709767987972,0.146344327028,-0.0753675282313,0.17975464631,-2.06010841746e-11
174907,0,0.72,0.04,0.0823906857563,0.580429457642,0.133343075663,0.447086381979,3.06804850899,0.00802340785617
174907,0.25,0.72,0.03,0.066400915182,0.573571649009,0.133343075663,0.440228573346,3.04150753024,0.00646628462475
174907,0.5,0.72,0.02,0.0489897948557,0.56665144184,0.133343075663,0.433308366177,3.01496655148,0.00477074685457
174907,0.75,0.72,0.01,0.0291295063024,0.55964636243,0.133343075663,0.426303286767,2.98842557273,0.00283670305166
174907,1,0.72,0,9.21155870319e-10,0.552394272577,0.133343075663,0.419051196914,2.96188459398,8.9704426888e-11
174908,0,0.72,0.04,0.0823906857563,0.312225518192,0.162599633664,0.149625884528,1.94966268239,0.0121373759467
174908,0.25,0.72,0.03,0.066400915182,0.298587719682,0.162599633664,0.135988086018,1.8877213807,0.00978184443266
174908,0.5,0.72,0.02,0.0489897948557,0.285255817893,0.162599633664,0.122656184229,1.82578007902,0.00721692691663
174908,0.75,0.72,0.01,0.0291295063024,0.2722166155,0.162599633664,0.109616981836,1.76383877734,0.00429121041886
174908,1,0.72,0,9.21155870319e-10,0.259294652069,0.162599633664,0.0966950184052,1.70189747565,1.35699988426e-10
174909,0,0.72,0.04,0.0823906857563,0.690131985212,0.202945524717,0.487186460495,3.52382579734,0.0284459298478
174909,0.25,0.72,0.03,0.066400915182,0.675759010964,0.202945524717,0.472813486247,3.46295944456,0.0229253556729
174909,0.5,0.72,0.02,0.0489897948557,0.660936828671,0.202945524717,0.457991303954,3.40209309179,0.0169140510839
174909,0.75,0.72,0.01,0.0291295063024,0.645598783395,0.202945524717,0.442653258678,3.34122673901,0.0100571549463
174909,1,0.72,0,9.21155870319e-10,0.629209037353,0.202945524717,0.426263512636,3.28036038623,3.18035164114e-10
174910,0,0.72,0.04,0.0823906857563,0.609833878652,0.249209468182,0.360624410469,3.18490172272,0.0132475797148
174910,0.25,0.72,0.03,0.066400915182,0.58821625363,0.249209468182,0.339006785448,3.09745505939,0.0106765881232
174910,0.5,0.72,0.02,0.0489897948557,0.566196651434,0.249209468182,0.316987183252,3.01000839606,0.00787705802672
