seed,bundle_gain,transfer_gain,joint_action_gain,factorized_action_gain,action_interaction,adversarial_advantage,capacity_log_score_gain,noisy_guidance_log_loss_gain,wrong_guidance_log_loss_gain,stale_guidance_log_loss_gain,accurate_conclusion_accuracy_advantage,wrong_suggestion_cost,noisy_transfer_gain,wrong_transfer_gain,stale_transfer_gain,noisy_information_matched_gain,wrong_information_matched_gain,stale_information_matched_gain,joint_guidance_interaction,adaptive_release_gain,coordinated_global_gain,post_scaffold_accuracy_gain,post_scaffold_transfer_gain,post_scaffold_new_channel_rate,contact_absent_scaffold_accuracy,contact_misattuned_scaffold_accuracy,contact_only_accuracy
17001,0.0625,0.046875,0.078125,0.0625,0.015625,0.03125,0.6750691807291616,-0.06089014230866935,1.077748750697107,0.9664973733781399,0.3125,0.6875,0.046875,0.1953125,0.078125,0.020784852819901167,0.6716810542410612,0.5677373030260908,0.011929923644420137,0.444017575872383,0.1613517406048094,0.125,-0.09375,1.0,0.671875,0.734375,0.546875
17002,0.171875,0.0546875,0.109375,0.03125,0.078125,-0.03125,0.6648800247338031,0.09580504563229697,0.9877837349556857,1.0023042108279538,0.234375,0.609375,0.03125,0.19140625,-0.0078125,0.15524344312759575,0.5860390663554176,0.5992424584019147,0.013276125776012115,-0.0875271578789214,0.33565835985689985,0.5,0.125,1.0,0.71875,0.75,0.625
17003,0.0625,0.046875,0.09375,0.0625,0.03125,-0.109375,0.6126255268523539,0.1381803105492856,1.010563248215253,1.088090442969561,0.1875,0.640625,0.06640625,0.125,0.1640625,0.20332045960425071,0.60791364136022,0.6916502580119459,-0.09409943428158707,0.2575290924643765,0.19646014328134687,0.125,0.0625,1.0,0.78125,0.78125,0.625
17004,0.125,0.0390625,0.140625,-0.03125,0.171875,0.1875,0.7696508686231498,0.028865166747333137,0.9890662892844708,0.9778860627837531,0.203125,0.578125,0.03125,0.1171875,-0.015625,0.12292058751367291,0.5856789208499056,0.5808011124147072,-0.0532629826471811,0.43721302695436837,0.3771698740932665,0.0,0.0,1.0,0.75,0.765625,0.609375
17005,0.046875,0.0,0.125,-0.046875,0.171875,-0.15625,0.7053859909651297,0.03389230351978312,0.97598850565878,0.987172758604285,0.296875,0.5625,0.0546875,0.1015625,0.0703125,0.0823775936159874,0.5720119103463188,0.5764201192752038,-0.03833588883436967,0.19153246200949692,0.445095256149058,0.0,0.0,1.0,0.703125,0.71875,0.578125
17006,0.046875,0.0625,0.015625,-0.046875,0.0625,-0.09375,0.5841229185324863,0.07985664675909876,0.9628578397076267,1.076024821176956,0.203125,0.703125,0.04296875,0.0703125,0.015625,0.12779949706477922,0.5684822152217192,0.6846405907401155,0.01963364983240945,0.38988765276046045,0.2033127330303136,0.0,0.0,1.0,0.765625,0.75,0.765625
17007,0.125,0.0078125,0.03125,-0.046875,0.078125,-0.078125,0.5727249906636835,0.07489868590686055,0.9785169665904982,0.8797701095877285,0.1875,0.53125,0.07421875,-0.01953125,0.0234375,0.15293678252410747,0.5769406936400023,0.48078790604053856,-0.024599557036807163,0.2727572547042738,0.050057101328589315,0.1875,0.15625,1.0,0.8125,0.78125,0.53125
17008,-0.015625,0.046875,0.09375,-0.015625,0.109375,-0.09375,0.6529099215665934,0.11759937161600759,1.008109967640873,1.0909394950083313,0.15625,0.71875,0.07421875,0.1796875,0.1171875,0.21535228689988078,0.609368282261649,0.6911336593024126,-0.005140142090947375,0.3497443992443914,0.3757229879462166,0.0625,0.15625,1.0,0.84375,0.84375,0.59375
17009,0.046875,0.0234375,0.140625,0.03125,0.109375,-0.03125,0.6015884843694832,0.08421895269767532,1.029218859144053,1.102940539738242,0.1875,0.71875,0.02734375,0.22265625,0.046875,0.14965459572941653,0.6266655688808707,0.6986708218560446,-0.02760467121212251,0.3920500522306827,0.3846327306373851,0.0,-0.25,1.0,0.8125,0.796875,0.59375
17010,0.15625,0.109375,0.1875,0.078125,0.109375,-0.015625,0.7931428633869944,0.03763096773036573,1.022495924659243,0.9958392083055212,0.1875,0.640625,0.10546875,0.12890625,0.046875,0.1224303112248592,0.619962186492384,0.5930583713724569,0.018579557833638294,0.08314524206759133,0.24189315159624936,0.0,0.03125,1.0,0.796875,0.796875,0.5625
