seed,stage,episode,phase,world,model,arm,guide_regime,contact_mode,precision_mode,root,bundle_self,bundle_world,bundle_policy,bundle_outcome,probability_positive,root_correct,root_log_loss,root_brier,bundle_accuracy,transfer_accuracy,false_root_revision,false_component_revision,time_to_correct,first_action,second_action,expected_information_gain,realized_information_gain,joint_bundle_log_score,forecast_error,release_weight,replay_exact,contact_value
17001,43A,33,heldout_before,joint,learned_joint,autonomous,none,present,adaptive_global,-1,-1,1,-1,-1,0.21835856665789977,true,0.2463591687296016,0.04768046363289245,1.0,1.0,false,0.0,1,1,2,0.054930323791087865,0.16810740707130545,-1.364475313725251,1.00297121322765,0.4929765101830819,true,0.7002832985987943
17001,43A,33,heldout_before,joint,learned_joint,random,none,present,adaptive_global,-1,-1,1,-1,-1,0.21835856665789977,true,0.2463591687296016,0.04768046363289245,1.0,1.0,false,0.0,2,2,1,0.16379988891098207,0.16810740707130545,-1.364475313725251,1.00297121322765,0.4929765101830819,true,0.7002832985987943
17001,43A,33,heldout_before,joint,factorized_replay,replay,none,present,adaptive_global,-1,-1,1,-1,-1,0.40670854101095144,true,0.5220695015921885,0.16541183733125678,0.75,0.5,false,0.25,1,1,2,0.041374569345882795,0.01729183869210993,-2.2499241016475797,1.00297121322765,0.4929739390937195,true,0.7002832985987943
17001,43A,33,heldout_before,joint,shuffled_replay,replay,none,present,adaptive_global,-1,-1,1,-1,-1,0.4253832523946242,true,0.5540519863156232,0.18095091141782857,0.5,0.0,false,0.5,1,1,2,0.04827367417887429,0.010959838811542721,-2.367123614131617,1.00297121322765,0.4929767185360916,true,0.7002832985987943
17001,43A,33,heldout_before,joint,learned_joint,precision_blind,none,present,adaptive_global,-1,-1,1,-1,-1,0.07681957472031557,true,0.0799305865730171,0.005901247060210148,1.0,1.0,false,0.0,1,4,2,0.1409778379908616,0.4219978926436128,-1.364475313725251,1.00297121322765,0.4735223129028803,true,0.7002832985987943
17001,43A,33,heldout_before,factorized,factorized,autonomous,none,present,adaptive_global,-1,-1,1,-1,-1,0.17196932414580365,true,0.18870507715005516,0.029573448447164488,1.0,1.0,false,0.0,1,1,4,0.044311515159507375,0.23393047599004468,-2.1866772204470877,1.0046161602205341,0.450762927621061,true,0.7002832985987943
17001,43A,33,heldout_before,factorized,factorized,random,none,present,adaptive_global,-1,-1,1,-1,-1,0.4016750210751381,true,0.513621229625022,0.1613428225557126,0.75,0.5,false,0.25,2,2,1,0.032400646146760304,0.01924061502975838,-2.1866772204470877,1.0046161602205341,0.47119517942187583,true,0.7002832985987943
17001,43A,33,heldout_before,configuration_violating,learned_joint,autonomous,none,present,adaptive_global,-1,-1,1,-1,1,0.2637204852526548,true,0.3061454568777759,0.06954849434189571,0.75,0.5,false,0.25,1,1,2,0.04560202214935738,0.11107642314146182,-5.200336958187833,1.00297121322765,0.49298040766996815,true,1.0402832985987942
17001,43A,33,heldout_before,configuration_violating,factorized_replay,replay,none,present,adaptive_global,-1,-1,1,-1,1,0.44599762582524605,true,0.5905863067300398,0.19891388224175618,1.0,1.0,false,0.0,1,1,2,0.041577552150261377,0.0006857141697850233,-2.5161920795955446,1.00297121322765,0.49297829372387525,true,1.0402832985987942
17001,stress,33,heldout_before,coordinated_precision,adaptive_global,autonomous,none,present,adaptive_global,-1,-1,1,-1,-1,0.21835856665789977,true,0.2463591687296016,0.04768046363289245,1.0,1.0,false,0.0,1,1,2,0.054930323791087865,0.16810740707130545,-1.364475313725251,1.00297121322765,0.4929765101830819,true,0.7002832985987943
17001,stress,33,heldout_before,coordinated_precision,rigid_global,autonomous,none,present,rigid_global,-1,-1,1,-1,-1,0.26910046716254554,true,0.31347926665668147,0.07241506142710025,1.0,1.0,false,0.0,1,1,2,0.03650945373807135,0.11056199425076729,-1.364475313725251,0.8957803297338449,0.0,true,0.7002832985987943
17001,stress,33,heldout_before,coordinated_precision,independent_local,autonomous,none,present,independent_local,-1,-1,1,-1,-1,0.25272181884486666,true,0.29131776537413323,0.0638683177202576,1.0,1.0,false,0.0,1,1,4,0.027891304742506673,0.12772391710200737,-1.364475313725251,1.0949944965622482,1.0,true,0.7002832985987943
17001,stress,33,heldout_before,local_deviation,adaptive_global,autonomous,none,present,adaptive_global,-1,-1,1,-1,-1,0.21835856665789977,true,0.2463591687296016,0.04768046363289245,1.0,1.0,false,0.0,1,1,2,0.054930323791087865,0.16810740707130545,-1.364475313725251,1.00297121322765,0.4929765101830819,true,0.7002832985987943
17001,stress,33,heldout_before,local_deviation,rigid_global,autonomous,none,present,rigid_global,-1,-1,1,-1,-1,0.26910046716254554,true,0.31347926665668147,0.07241506142710025,1.0,1.0,false,0.0,1,1,2,0.03650945373807135,0.11056199425076729,-1.364475313725251,0.8957803297338449,0.0,true,0.7002832985987943
17001,stress,33,heldout_before,local_deviation,independent_local,autonomous,none,present,independent_local,-1,-1,1,-1,-1,0.25272181884486666,true,0.29131776537413323,0.0638683177202576,1.0,1.0,false,0.0,1,1,4,0.027891304742506673,0.12772391710200737,-1.364475313725251,1.0949944965622482,1.0,true,0.7002832985987943
17001,43B,33,heldout_before,joint,joint,no_guidance,none,present,adaptive_global,-1,-1,1,-1,-1,0.5104203629823778,false,0.714208139707731,0.2605289469470623,0.5,0.5,true,0.5,-1,0,0,0.0,0.0,-1.364475313725251,1.00297121322765,0.49224050800867514,true,0.7002832985987943
17001,43B,33,heldout_before,joint,joint,random_guidance,none,present,adaptive_global,-1,-1,1,-1,-1,0.21835856665789977,true,0.2463591687296016,0.04768046363289245,1.0,1.0,false,0.0,2,2,1,0.16379988891098207,0.16810740707130545,-1.364475313725251,1.00297121322765,0.4929765101830819,true,0.7002832985987943
17001,43B,33,heldout_before,joint,joint,scaffolded,accurate_stable,present,adaptive_global,-1,-1,1,-1,-1,0.21835856665789977,true,0.2463591687296016,0.04768046363289245,1.0,1.0,false,0.0,1,1,2,0.059470098520986614,0.16810740707130545,-1.364475313725251,1.00297121322765,0.4929765101830819,true,0.7002832985987943
17001,43B,33,heldout_before,joint,joint,conclusion,accurate_stable,present,adaptive_global,-1,-1,1,-1,-1,0.18754522999859113,true,0.2076950340183216,0.03517321329522445,0.75,0.75,false,0.25,1,0,0,0.2102861160204904,0.2102861160204904,-1.364475313725251,1.00297121322765,0.49224050800867514,true,0.7002832985987943
17001,43B,33,heldout_before,joint,joint,conclusion_info_matched,accurate_stable,present,adaptive_global,-1,-1,1,-1,-1,0.2813975599062919,true,0.3304470086868471,0.07918458672121513,0.5,0.5,false,0.5,1,0,0,0.0986615770529714,0.0986615770529714,-1.364475313725251,1.00297121322765,0.49224050800867514,true,0.7002832985987943
17001,43B,33,heldout_before,joint,joint,scaffolded,noisy,present,adaptive_global,-1,-1,1,-1,-1,0.21835856665789977,true,0.2463591687296016,0.04768046363289245,1.0,1.0,false,0.0,1,1,2,0.056413113584245056,0.16810740707130545,-1.364475313725251,1.00297121322765,0.4929765101830819,true,0.7002832985987943
17001,43B,33,heldout_before,joint,joint,conclusion,noisy,present,adaptive_global,-1,-1,1,-1,-1,0.5104203629823779,false,0.7142081397077312,0.2605289469470624,0.5,0.5,true,0.5,1,0,0,0.0,0.0,-1.364475313725251,1.00297121322765,0.49224050800867514,true,0.7002832985987943
