seed,cell,truth,slice_index,event,precision,control,broadcast,real_danger,persistent_probability,absolute_persistent_posterior_change,maximum_absolute_pairwise_log_bf,exceeds_empirical_p99,exceeds_multiplied_bound,exceeds_analytic_bound
813301,D_favoring,D,0,1,ordinary,high,integrated,1,0.29919705794319273,0.049197057943192735,1.113999877972946,0,0,0
813301,D_favoring,D,1,1,ordinary,high,integrated,1,0.289625906031187,0.009571151912005749,1.0575213884927819,0,0,0
813301,D_favoring,D,2,1,ordinary,high,integrated,1,0.3333192309694299,0.043693324938242906,0.4741655454642737,0,0,0
813301,D_favoring,D,3,1,ordinary,high,integrated,1,0.4115136268901922,0.07819439592076233,1.113999877972946,0,0,0
813301,D_favoring,D,4,1,ordinary,high,integrated,1,0.3265437288811812,0.084969898009011,0.5200505796904653,0,0,0
813301,D_favoring,D,5,1,ordinary,high,integrated,1,0.06564853113015767,0.26089519775102354,2.2199785861241947,0,0,0
813301,D_favoring,D,6,1,ordinary,high,integrated,1,0.05378310557335734,0.011865425556800334,1.113999877972946,0,0,0
813301,D_favoring,D,7,1,ordinary,high,integrated,1,0.08119987818329423,0.02741677260993689,0.4741655454642737,0,0,0
813301,D_favoring,D,8,1,ordinary,high,integrated,1,0.025037382552286942,0.05616249563100729,1.577571968183247,0,0,0
813301,D_favoring,D,9,1,ordinary,high,integrated,1,0.003057277620423829,0.021980104931863115,2.2199785861241947,0,0,0
813301,D_favoring,D,10,1,ordinary,high,integrated,1,0.0022480950734533925,0.0008091825469704363,1.113999877972946,0,0,0
813301,D_favoring,D,11,1,ordinary,high,integrated,1,0.003574912286993237,0.0013268172135398443,0.4741655454642737,0,0,0
813301,D_favoring,D,12,1,ordinary,high,integrated,1,0.002578872520038582,0.000996039766954655,1.113999877972946,0,0,0
813301,D_favoring,D,13,1,ordinary,high,integrated,1,0.004118854603812465,0.0015399820837738833,0.4741655454642737,0,0,0
813301,D_favoring,D,14,1,ordinary,high,integrated,1,0.0024627213832112207,0.0016561332206012445,0.5200505796904653,0,0,0
813301,D_favoring,D,15,1,ordinary,high,integrated,1,0.020880878602333043,0.018418157219121822,2.1740935518980034,0,0,0
813301,D_favoring,D,16,1,ordinary,high,integrated,1,0.0023517642166792654,0.01852911438565378,2.2199785861241947,0,0,0
813301,D_favoring,D,17,1,ordinary,high,integrated,1,0.00025760394256622014,0.002094160274113045,2.2199785861241947,0,0,0
813301,D_favoring,D,18,1,ordinary,high,integrated,1,2.804967675537139e-05,0.00022955426581084873,2.2199785861241947,0,0,0
813301,D_favoring,D,19,1,ordinary,high,integrated,1,1.6681891195919e-05,1.1367785559452389e-05,0.5200505796904653,0,0,0
813301,D_favoring,D,20,1,ordinary,high,integrated,1,5.075970656913155e-06,1.1605920539005846e-05,1.577571968183247,0,0,0
813301,D_favoring,D,21,1,ordinary,high,integrated,1,4.452559774896396e-05,3.94496270920508e-05,2.1740935518980034,0,0,0
813301,D_favoring,D,22,1,ordinary,high,integrated,1,1.3529726556641123e-05,3.0995871192322835e-05,1.577571968183247,0,0,0
