seed,cell,truth,slice_count,acute_event_slice_count,acute_empirical_p99_exceedance_count,multiplied_bound_exceedance_count,analytic_bound_exceedance_count,p50_persistent_change,p90_persistent_change,p99_persistent_change,maximum_persistent_change,maximum_absolute_pairwise_log_bf
813301,D_favoring,D,24,24,0,0,0,0.005832656093059397,0.0715848258338358,0.2204323788103606,0.26089519775102354,2.2199785861241947
813302,D_favoring,D,24,24,0,0,0,0.00110833852806485,0.05083444214762465,0.1604992413032954,0.1905495086708215,2.2199785861241947
813303,D_favoring,D,24,24,0,0,0,1.2263812646661885e-05,0.02772194274277755,0.13290464721825612,0.15717292166715477,2.2199785861241947
813304,D_favoring,D,24,24,0,0,0,2.6762108327882704e-05,0.11601795024345654,0.17310730936384536,0.17577939596840086,2.2199785861241947
813305,D_favoring,D,24,24,0,0,0,1.2360965261187915e-05,0.03062549276566493,0.12523235320731205,0.14704001204296827,2.2199785861241947
813306,D_favoring,D,24,24,0,0,0,8.321646008675823e-05,0.0962665856863209,0.16772587867860264,0.17842538235540506,2.2199785861241947
813307,D_favoring,D,24,24,0,0,0,2.4084628378172807e-05,0.04232555117926859,0.1525794429973098,0.17555226802502205,2.2199785861241947
813308,D_favoring,D,24,24,0,0,0,0.007313726435911619,0.1551696889713475,0.24045005622052112,0.24100539539337545,2.2199785861241947
813309,D_favoring,D,24,24,2,0,0,1.2094859916170537e-05,0.16326098811269085,0.3699993969545026,0.3791133553416757,2.2199785861241947
813310,D_favoring,D,24,24,0,0,0,9.753578745878058e-07,0.005225059009978655,0.15826000369169513,0.1905495086708215,2.2199785861241947
813311,D_favoring,D,24,24,0,0,0,6.080343476115016e-07,0.010736845354484915,0.1502148868612338,0.17842538235540506,2.2199785861241947
813312,D_favoring,D,24,24,0,0,0,4.599740859803829e-07,0.05403950769727951,0.1502148868612338,0.17842538235540506,2.2199785861241947
813313,D_favoring,D,24,24,0,0,0,6.054733053919693e-06,0.00775492458232784,0.15696841659979033,0.1905495086708215,2.2199785861241947
813314,D_favoring,D,24,24,0,0,0,2.343168171762786e-06,0.007187451420625174,0.15826000369169513,0.1905495086708215,2.2199785861241947
813315,D_favoring,D,24,24,0,0,0,0.001134734312857647,0.010614971306910508,0.15848657978574385,0.1905495086708215,2.2199785861241947
813316,D_favoring,D,24,24,0,0,0,0.00010903872706578298,0.15732358414380498,0.2948795197385045,0.3128526205833012,2.2199785861241947
813317,D_favoring,D,24,24,0,0,0,7.843153613897613e-05,0.035989226936208873,0.13290464721825612,0.15717292166715477,2.2199785861241947
813318,D_favoring,D,24,24,0,0,0,8.997187411346905e-07,0.02595186348995142,0.13290464721825612,0.15717292166715477,2.2199785861241947
813319,D_favoring,D,24,24,0,0,0,1.4640025485750477e-07,0.006161676773853465,0.15826000369169513,0.1905495086708215,2.2199785861241947
813320,D_favoring,D,24,24,0,0,0,0.00016640440154984954,0.09709657708931571,0.21283901469037478,0.24067829395998613,2.2199785861241947
813321,D_favoring,D,24,24,0,0,0,0.00021505939030005356,0.02121481385970669,0.1499317788901634,0.17842538235540506,2.2199785861241947
813322,D_favoring,D,24,24,0,0,0,8.5040678882234e-05,0.031712521239980286,0.19663760967612356,0.24067829395998613,2.2199785861241947
813323,D_favoring,D,24,24,0,0,0,1.2036831272088867e-06,0.04891675907125227,0.14978279285954296,0.17842538235540506,2.2199785861241947
813324,D_favoring,D,24,24,0,0,0,0.00013994648085920812,0.009766566891121318,0.1564502586869504,0.1905495086708215,2.2199785861241947
813325,D_favoring,D,24,24,0,0,0,4.885041586865381e-06,0.038149195492123325,0.17320946178872865,0.20058653084055683,2.2199785861241947
813326,P_favoring,P,24,24,1,0,0,2.7190776297203456e-08,0.02488798076641313,0.42729456802503013,0.5035062700871445,2.3196827878973805
813327,P_favoring,P,24,24,2,0,0,3.1579502762779654e-07,0.15682800614830195,0.4056186910293155,0.4202333134435244,2.3196827878973805
813328,P_favoring,P,24,24,1,0,0,9.232971404093959e-08,0.02422832931580976,0.4322977406489159,0.5044486293022921,2.3196827878973805
813329,P_favoring,P,24,24,1,0,0,1.319743101024784e-06,0.02005211745577161,0.43692433876186665,0.5044486293022921,2.670557431416735
813330,P_favoring,P,24,24,1,0,0,3.024773692628102e-08,0.022532521848462085,0.43692433876186665,0.5044486293022921,2.670557431416735
813331,P_favoring,P,24,24,1,0,0,3.5141906773450415e-08,0.022532521848462085,0.43692433876186665,0.5044486293022921,2.670557431416735
813332,P_favoring,P,24,24,1,0,0,3.4279499572242855e-07,0.022532521848462085,0.43692433876186665,0.5044486293022921,2.3196827878973805
813333,P_favoring,P,24,24,1,0,0,3.8116721795544706e-07,0.022532521848462085,0.43692433876186665,0.5044486293022921,2.3196827878973805
813334,P_favoring,P,24,24,1,0,0,4.694907146385319e-08,0.022532521848462085,0.43692433876186665,0.5044486293022921,2.3196827878973805
813335,P_favoring,P,24,24,1,0,0,4.3505205510330214e-07,0.22154298980436082,0.44990859833345065,0.502921697722281,2.670557431416735
813336,P_favoring,P,24,24,1,0,0,1.3586794356257315e-08,0.06283351154172363,0.43692433876186665,0.5044486293022921,2.3196827878973805
