seed,kind,partner,recovered,stakes_separated,posterior_unchanged,transfer_local,competence,obsolete_shift,sign_prediction_match
59000,invariant,neutral,true,true,true,true,0.8428198940673614,-0.10426538998591822,true
59000,learned_history,trustworthy,true,true,true,true,0.9998917734331878,-4.704374241160103e-5,false
59000,learned_history,neutral,true,true,true,true,0.8428198940673614,-0.10426538998591822,false
59000,learned_history,adverse,true,true,true,true,0.0005680981473836375,-3.289814612523166e-5,true
59001,invariant,neutral,true,true,true,true,0.004947842525481871,-0.033757191201064914,true
59001,learned_history,trustworthy,true,true,true,true,0.9999839586221748,-7.013861060389814e-6,false
59001,learned_history,neutral,false,true,true,true,0.004947842525481871,-0.033757191201064914,true
59001,learned_history,adverse,true,true,true,true,2.054028114102016e-6,-4.5200554559150785e-7,true
59002,invariant,neutral,true,true,true,true,0.7203419786820366,-0.09813776215516329,true
59002,learned_history,trustworthy,true,true,true,true,0.9998710880818105,-5.8868785184573724e-5,false
59002,learned_history,neutral,false,true,true,true,0.7203419786820366,-0.09813776215516329,false
59002,learned_history,adverse,true,true,true,true,1.6860669826104465e-5,-1.4335283032868712e-6,true
59003,invariant,neutral,true,true,true,true,0.028325402920624215,-0.22983693847620681,true
59003,learned_history,trustworthy,true,true,true,true,0.9491032290517958,-0.0284566533628815,false
59003,learned_history,neutral,false,true,true,true,0.028325402920624215,-0.22983693847620681,true
59003,learned_history,adverse,true,true,true,true,2.0748054514046543e-6,-0.0001311227083183493,true
59004,invariant,neutral,true,true,true,true,0.10822193390205677,-0.011020153170753173,true
59004,learned_history,trustworthy,true,true,true,true,0.9999831386599123,-7.327887317720716e-6,false
59004,learned_history,neutral,false,true,true,true,0.10822193390205677,-0.011020153170753173,true
59004,learned_history,adverse,true,true,true,true,0.00013393258415569419,-6.706510740054836e-6,true
59005,invariant,neutral,true,true,true,true,0.4945408009681467,-0.1071728338686238,true
59005,learned_history,trustworthy,true,true,true,true,0.9998767419022756,-5.403655856206502e-5,false
59005,learned_history,neutral,true,true,true,true,0.4945408009681467,-0.1071728338686238,true
59005,learned_history,adverse,true,true,true,true,8.700300970095913e-5,-4.474437497428013e-6,true
59006,invariant,neutral,true,true,true,true,0.9993747079295421,-0.0005466015233557275,true
59006,learned_history,trustworthy,true,true,true,true,0.999999744700033,-1.1100078611825381e-7,false
59006,learned_history,neutral,false,true,true,true,0.9993747079295421,-0.0005466015233557275,false
59006,learned_history,adverse,true,true,true,true,0.04810310572940003,-0.002345643872953846,true
59007,invariant,neutral,true,true,true,true,0.09893262978126216,-0.04212338570975008,true
59007,learned_history,trustworthy,true,true,true,true,0.9998640431093906,-5.911745268505353e-5,false
59007,learned_history,neutral,true,true,true,true,0.09893262978126216,-0.04212338570975008,true
59007,learned_history,adverse,true,true,true,true,9.505101740880942e-5,-9.244905716845539e-6,true
59008,invariant,neutral,true,true,true,true,0.9951974906360512,-0.00464851728487764,true
59008,learned_history,trustworthy,true,true,true,true,0.9999979715928164,-8.847723524940676e-7,false
59008,learned_history,neutral,true,true,true,true,0.9951974906360512,-0.00464851728487764,false
59008,learned_history,adverse,true,true,true,true,0.0011016560955349325,-5.811024877793933e-5,true
59009,invariant,neutral,true,true,true,true,0.18149046168582683,-0.27766843388092355,true
59009,learned_history,trustworthy,true,true,true,true,0.9999863310120326,-5.939272495147918e-6,false
59009,learned_history,neutral,true,true,true,true,0.18149046168582683,-0.27766843388092355,true
59009,learned_history,adverse,true,true,true,true,1.9739043808669413e-6,-0.00017801199149159938,true
59010,invariant,neutral,true,true,true,true,0.8394598623218958,-0.16435032773012026,true
59010,learned_history,trustworthy,true,true,true,true,0.9998640431093906,-5.910593650249041e-5,false
59010,learned_history,neutral,false,true,true,true,0.8394598623218958,-0.16435032773012026,false
59010,learned_history,adverse,true,true,true,true,9.931235175720773e-6,-0.00021371338044452043,true
59011,invariant,neutral,true,true,true,true,0.2634483280120624,-0.1047623841493151,true
59011,learned_history,trustworthy,true,true,true,true,0.9776379793179863,-0.010886382532547811,false
59011,learned_history,neutral,false,true,true,true,0.2634483280120624,-0.1047623841493151,true
59011,learned_history,adverse,true,true,true,true,0.00012557366419198925,-8.562810072214322e-6,true
