seed,truth,material_redescription,raw_cs_argmax,pi0,pi1,q0,q1,bf,log_bf,recombination_error
787000,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.65079443950081e-15,0.9999999999999953,2477789059467.104,28.538387770196195,0.0
787001,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.0017263432398483e-15,0.9999999999999991,11503828024283.541,30.073700967585097,0.0
787002,global_downweight,False,False,0.011392405063291136,0.9886075949367089,8.99141668828815e-05,0.9999100858331171,128.151678836844,4.853214553284893,0.0
787003,global_downweight,False,False,0.011392405063291136,0.9886075949367089,7.174049878504153e-11,0.9999999999282595,160630156.94562823,18.894615118596462,0.0
787004,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.116464882078653e-16,0.9999999999999998,103215853583953.61,32.26784357717722,0.0
787005,global_downweight,False,False,0.011392405063291136,0.9886075949367089,8.667560366767689e-12,0.9999999999913324,1329519160.213611,21.008083180137042,0.0
787006,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.4378818781187154e-17,1.0,335197310104547.4,33.44574045975651,0.0
787007,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.845368086875305e-05,0.9999715463191313,404.9866075974506,6.003853998899176,0.0
787008,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.741435133871413e-17,1.0,661735103185101.2,34.125886445539614,0.0
787009,global_downweight,False,False,0.011392405063291136,0.9886075949367089,6.071605817772748e-14,0.9999999999999393,189796372259.4251,25.969217609448663,0.0
787010,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.9703414310007984e-15,0.9999999999999971,3879583491566.127,28.986748916267068,0.0
787011,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.344784878361137e-16,0.9999999999999998,49146033337096.35,31.525817254017603,0.0
787012,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.1975533587910544e-06,0.9999988024466412,9622.680856098254,9.1718781801071,0.0
787013,global_downweight,False,False,0.011392405063291136,0.9886075949367089,5.426288920677255e-13,0.9999999999994574,21236774798.53231,23.779000176146944,0.0
787014,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.92008809436832e-07,0.9999995079911904,23421.698329873696,10.06141815074259,0.0
787015,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.0666272453279327e-09,0.9999999969333727,3757772.5047096293,15.139336920856424,0.0
787016,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.1317971461034358e-13,0.9999999999998869,101817605917.26341,25.34644887225145,0.0
787017,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.3540722030229835e-13,0.9999999999995646,26466459541.07008,23.999144090596616,0.0
787018,global_downweight,False,False,0.011392405063291136,0.9886075949367089,9.885826975383487e-10,0.9999999990114172,11656776.51179652,16.27139824370107,0.0
787019,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.7056937177565326e-12,0.9999999999982943,6756012207.843996,22.633698642853624,0.0
787020,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.5500156626702567e-10,0.9999999997449983,45190654.10374759,17.626400855806885,0.0
787021,global_downweight,False,False,0.011392405063291136,0.9886075949367089,5.911635990089665e-07,0.999999408836401,19493.217760632448,9.87782187690585,0.0
787022,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.3879771418119563e-10,0.9999999998612022,83025053.01623617,18.234652963784377,0.0
787023,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.2497307730289884e-18,1.0,9220936083773852.0,36.760252954849896,0.0
787024,global_downweight,False,False,0.011392405063291136,0.9886075949367089,5.116539319068629e-07,0.999999488346068,22522.41400928628,10.0222662705268,0.0
787025,global_downweight,False,False,0.011392405063291136,0.9886075949367089,5.572231341007206e-11,0.9999999999442777,206805620.12165993,19.147289876833042,0.0
787026,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.551800661584008e-13,0.9999999999998448,74260102249.60802,25.030839662608052,0.0
787027,global_downweight,False,False,0.011392405063291136,0.9886075949367089,9.15978394587484e-21,1.0,1.258074169447564e+18,41.67611378865851,0.0
787028,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.2231425710351433e-11,0.9999999999577686,272869963.20170045,19.42450591440182,0.0
787029,global_downweight,False,False,0.011392405063291136,0.9886075949367089,6.062716407062666e-14,0.9999999999999394,190074659711.9497,25.97068277777626,0.0
787030,global_downweight,False,False,0.011392405063291136,0.9886075949367089,7.023814234822769e-10,0.9999999992976186,16406595.030374363,16.613193947957853,0.0
787031,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.0234580806849575e-14,0.9999999999999698,381142627828.81384,26.666439493277892,0.0
787032,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.644127799049766e-08,0.9999999535587221,248134.58077550505,12.42172654237539,0.0
787033,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.631685621061673e-09,0.9999999973683144,4378823.768870232,15.292290700367678,0.0
787034,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.5919790231366e-14,0.9999999999999641,320817229326.75714,26.494137418874253,0.0
787035,global_downweight,False,False,0.011392405063291136,0.9886075949367089,6.539294943561669e-09,0.9999999934607051,1762221.708016793,14.382085905040965,0.0
787036,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.589122238412029e-15,0.9999999999999964,3210725858455.0635,28.79751815163757,0.0
787037,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.850857026649852e-20,1.0,4.0421836213819366e+17,40.5407316271962,0.0
787038,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.7803783607790225e-09,0.9999999982196217,6472605.943416856,15.683089358711316,0.0
787039,global_downweight,False,False,0.011392405063291136,0.9886075949367089,2.3755425262528838e-15,0.9999999999999977,4850970863570.574,29.210199978900775,0.0
787040,global_downweight,False,False,0.011392405063291136,0.9886075949367089,9.604551610027526e-08,0.9999999039544839,119981.51440194159,11.695092963247292,0.0
787041,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.6762661132543974e-08,0.9999999832373389,687461.6921346228,13.44076138643896,0.0
787042,global_downweight,False,False,0.011392405063291136,0.9886075949367089,6.238985438660364e-12,0.999999999993761,1847045115.4680192,21.336852964214962,0.0
787043,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.5892218543231987e-07,0.9999995410778145,25110.31860596155,10.131034140480594,0.0
787044,global_downweight,False,False,0.011392405063291136,0.9886075949367089,4.1795662926664723e-19,1.0,2.7571491329723104e+16,37.85555871096524,0.0
787045,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.3967607452163496e-20,1.0,3.392552035422108e+17,40.36552903187859,0.0
787046,global_downweight,False,False,0.011392405063291136,0.9886075949367089,3.750002514673214e-10,0.9999999996249997,30729812.928427957,17.240743846500372,0.0
787047,global_downweight,False,False,0.011392405063291136,0.9886075949367089,1.3087193817740797e-16,0.9999999999999998,88053158992757.61,32.108961827487356,0.0
