seed,truth,regret,truth_weight,off_truth_weight,entropy,largest_absorber,largest_absorber_weight,weight_global_downweight,weight_cue_local_relearning,weight_context_split,weight_continuous_drift,weight_change_point,gap_truth_minus_global_downweight,gap_truth_minus_cue_local_relearning,gap_truth_minus_context_split,gap_truth_minus_continuous_drift,gap_truth_minus_change_point
787800,global_downweight,0.03583623372810485,0.4004404868298731,0.5995595131701269,0.9837335074538874,cue_local_relearning,0.4718958403658119,0.4004404868298731,0.4718958403658119,5.976732612524155e-06,0.12765614370688783,1.5523648147031392e-06,0.0,0.1131535705695077,0.1861457674464848,-0.027794595990128457,1.5593532091256161
787801,global_downweight,-0.014184388058402275,0.4243357614784592,0.5756642385215408,1.0402824673567599,cue_local_relearning,0.44753602455084746,0.4243357614784592,0.44753602455084746,0.013096943053912229,0.11275833214995107,0.002272938766829899,0.0,-0.03980174304189266,0.07131307296578537,0.06360808017956288,-0.10582847201620016
787802,global_downweight,-0.01732236939994314,0.3869380037016415,0.6130619962983586,1.0070632135186761,cue_local_relearning,0.47564482882430076,0.3869380037016415,0.47564482882430076,0.0027171277338749714,0.13468651516983243,1.3524570350420221e-05,0.0,-0.03956513536374562,0.07648758332252292,0.02820576064015512,0.7815133887991204
787803,global_downweight,0.020106567361859895,0.5024608130176738,0.49753918698232624,1.2055969246793907,cue_local_relearning,0.25527703147103264,0.5024608130176738,0.25527703147103264,0.1266144552685308,0.11563922259333691,8.47764942597017e-06,0.0,0.06252879686581725,-0.0007091290498832947,0.06855120186072128,0.5371796203466603
787804,global_downweight,0.0244603979518887,0.4736983787147401,0.5263016212852599,0.9324010222703821,continuous_drift,0.44433274240931836,0.4736983787147401,0.07893207745305424,0.003036765285138676,0.44433274240931836,3.613774869960946e-08,0.0,0.032233549743653,0.014657749857848401,0.05556190614067358,0.018568152340996846
787805,global_downweight,-0.009881486475168622,0.5287392065787412,0.4712607934212588,0.9455251853291609,cue_local_relearning,0.3752959297106965,0.5287392065787412,0.3752959297106965,0.0017063015498113062,0.09285712858482559,0.001401433575925337,0.0,-0.031247654395436975,-0.09620274456804978,0.03906240677140005,0.5238611477205835
787806,global_downweight,-0.013928868992007626,0.5481902956834792,0.4518097043165208,0.892136590845428,cue_local_relearning,0.37846078679359807,0.5481902956834792,0.37846078679359807,0.0005491850115093198,0.07279879278903605,9.39722377224562e-07,0.0,-0.03606500217590902,-0.06428776410693526,0.016635422168332248,-0.1398056083945427
787807,global_downweight,0.02409727835847475,0.2919946606151483,0.7080053393848518,1.1268581472984736,cue_local_relearning,0.4273760369658782,0.2919946606151483,0.4273760369658782,0.011330520251201683,0.26929618202030353,2.6001474682895562e-06,0.0,0.040658372985376445,0.14674570295915945,0.025012708955695295,0.2388833293230288
787808,global_downweight,0.059184731607715424,0.23982398421346587,0.7601760157865342,0.8177142154706047,cue_local_relearning,0.6757555414130653,0.23982398421346587,0.6757555414130653,0.00025682816259596535,0.08416291969462956,7.265162432832645e-07,0.0,0.07801278382841037,0.010942940011185343,0.17507507408501155,0.04733182984633455
787809,global_downweight,0.02173645994496276,0.45464932580186757,0.5453506741981324,0.9933978197806572,cue_local_relearning,0.4237994874251533,0.45464932580186757,0.4237994874251533,0.0018586568997624908,0.11876608780645094,0.0009264420667655711,0.0,0.07216292055263551,0.11454512722330268,-0.026519275990043667,0.17161792656426922
