group,seed,material_redescription,raw_cs_argmax,pi0,pi1,q0,q1,bf,log_bf,recombination_error,transition_00,transition_01,transition_10,transition_11,transition_mean_00,transition_mean_11,occupancy_then,occupancy_now,occupancy_min_fraction,cue_marker_outcome_contrast,cue_first_second_contrast,marker_aligned_log_signal,marker_switch_rate
neutral,788500,False,False,0.07258064516129031,0.9274193548387097,0.0005919833445092747,0.9994080166554907,132.12287331959305,4.883732348088055,0.0,10.004298419314441,4.104267423712912,4.402253607879696,4.4891805490929535,0.7468008896315838,0.6611028281557605,15.096205647565467,8.903794352434536,0.37099143135143897,-0.05000000000000001,0.0,-4.8970780112342505,0.5652173913043478
neutral,788501,False,True,0.07258064516129031,0.9274193548387097,0.27890473487571577,0.7210952651242842,0.20233985096429105,-1.5978065647654476,0.0,0.42632438835106357,1.352409162173152,1.3630401581119447,19.858226291363838,0.7153845829185981,0.8922836726192953,1.7943797435388449,22.205620256461156,0.07476582264745187,-0.1,-0.08333333333333333,3.58351893845611,0.6086956521739131
neutral,788502,False,False,0.07258064516129031,0.9274193548387097,3.554984249403825e-06,0.9999964450157506,22014.32857605011,9.999448819248732,0.0,7.27895043009051,2.755595589049797,2.7151866801159064,10.2502673007438,0.7626302295791246,0.79468349791623,10.914931208897915,13.085068791102099,0.4547888003707462,-0.22222222222222224,-0.25,-2.2335922215070942,0.6956521739130435
neutral,788503,False,False,0.07258064516129031,0.9274193548387097,8.329033941052743e-09,0.999999991670966,9396151.998810098,16.055810801600092,0.0,7.4460748354457955,4.219145718163547,3.722214708897704,7.6125647374929395,0.7129433460982024,0.7317893665938144,11.767172281694405,12.23282771830558,0.4902988450706005,0.37222222222222223,-0.16666666666666666,4.9491940123732645,0.5652173913043478
neutral,788504,True,True,0.07258064516129031,0.9274193548387097,0.002321671593874167,0.9976783284061258,33.63058484819784,3.5154359162699436,0.0,15.491487131949635,2.2291743071552568,2.2390398725162908,3.0402986883788086,0.8474360246978357,0.722563914948164,18.653952515198053,5.346047484801936,0.2227519785334141,0.0,0.16666666666666666,3.1378770132679077,0.5652173913043478
neutral,788505,False,True,0.07258064516129031,0.9274193548387097,0.04935047698380654,0.9506495230161935,1.507557026194883,0.4104904772253777,0.0,17.237673485599018,2.5130828048309364,2.233055144348576,1.016188565221425,0.848303594007031,0.6805059037980397,20.46274812915748,3.5372518708424767,0.14738549461843678,-0.033333333333333326,0.5,6.931471805599454,0.43478260869565216
neutral,788506,False,True,0.07258064516129031,0.9274193548387097,0.06940323068212612,0.9305967693178739,1.0493648734446455,0.0481850987205763,0.0,1.4584295453323175,2.016254156708885,2.0110835594673633,17.51423273849143,0.7019407471434387,0.8641476514937567,3.477379334738368,20.522620665261627,0.1448908056140987,-0.055555555555555546,0.0,8.589699882202986,0.30434782608695654
neutral,788507,False,False,0.07258064516129031,0.9274193548387097,1.0153544058493817e-06,0.999998984645594,77077.31374566747,11.25256427170913,0.0,10.49169536792446,3.9739878472172117,3.693926213041603,4.840390571816705,0.7558217444947564,0.6927900672501033,14.519118566157653,9.480881433842328,0.39503672641009735,-0.08888888888888886,0.25,-1.945910149055313,0.5652173913043478
neutral,788508,False,False,0.07258064516129031,0.9274193548387097,0.00030672287137301893,0.999693277128627,255.07346360044,5.541551596218481,0.0,11.328036366025403,3.803194300165823,3.8299487509008645,4.038820582907906,0.769084356542364,0.6737352952522446,16.12178765352466,7.878212346475338,0.3282588477698058,-0.1111111111111111,0.08333333333333333,1.31355907277814,0.6086956521739131
neutral,788509,True,True,0.07258064516129031,0.9274193548387097,1.4488258530459227e-08,0.9999999855117415,5401675.312931696,15.502219706554552,0.0,5.275494107072012,5.82542976119945,5.500001295292168,6.399074836436384,0.6291427896687402,0.6575197396375199,11.7629390815381,12.237060918461914,0.49012246173075386,0.3,0.25,6.700776664521283,0.7391304347826086
