seed,truth,regret,truth_weight,off_truth_weight,entropy
787000,global_downweight,-0.010075718364255101,0.3429237265929852,0.6570762734070148,0.6670411645278104
787001,global_downweight,0.004881055937906294,0.8573200139186155,0.14267998608138455,0.44996277538704954
787002,global_downweight,-0.0012161563822994381,0.7952868044820617,0.20471319551793832,0.6286138224107198
787003,global_downweight,0.009966278936497078,0.5912343614650136,0.4087656385349864,0.9141303827485746
787004,global_downweight,-0.010073857417183696,0.49528865768432473,0.5047113423156753,0.8024352270982008
787005,global_downweight,0.008137102843660019,0.6631393699454349,0.3368606300545651,0.8357166432436876
787006,global_downweight,0.006631669382748839,0.7516162968420691,0.2483837031579309,0.7272335067826505
787007,global_downweight,-0.0033640523814571686,0.7337930668273014,0.2662069331726986,0.7615379686205336
787008,global_downweight,0.0016100851009959172,0.8844374656692565,0.11556253433074348,0.37578497201625444
787009,global_downweight,0.011333949761810935,0.7143985173431281,0.2856014826568719,0.6526034802545053
787010,global_downweight,0.004569728120670173,0.4372518589354689,0.5627481410645311,0.9039053085116746
787011,global_downweight,0.0015934678616075597,0.9123005525244456,0.08769944747555436,0.3571725068695194
787012,global_downweight,0.01025341536507233,0.4456338349241359,0.5543661650758641,0.7874027033987229
787013,global_downweight,-0.027591224880910776,0.6472046055997251,0.35279539440027485,0.778261751834199
787014,global_downweight,0.0027710162236935787,0.7354604461127139,0.2645395538872861,0.713202210903003
787015,global_downweight,0.011318714828187026,0.5715263609121564,0.42847363908784364,0.8720510294179674
787016,global_downweight,0.012936683076944474,0.6657754144357678,0.3342245855642322,0.8498043919296745
787017,global_downweight,0.0013168733279771416,0.8781681838314762,0.12183181616852379,0.4481685037399024
787018,global_downweight,0.006381631308545922,0.8105363033096122,0.18946369669038776,0.6020957754194474
787019,global_downweight,-0.0698638971832392,0.4350944231764267,0.5649055768235733,0.9206212368443334
787020,global_downweight,0.006327653809717522,0.594732940542711,0.405267059457289,0.7300259748185972
787021,global_downweight,0.0006837293564208711,0.41058686938116434,0.5894131306188357,0.948447513762815
787022,global_downweight,-0.0238531671632843,0.7727861255196337,0.22721387448036634,0.6554135572118684
787023,global_downweight,0.003494732963980359,0.8862441261805892,0.11375587381941077,0.4308050652322112
787024,global_downweight,0.006269053115374845,0.6656598270121684,0.3343401729878316,0.8012408358546771
787025,global_downweight,0.005608204007478672,0.7744600687857468,0.2255399312142532,0.6822638452301765
787026,global_downweight,0.013399332101551012,0.6131518093434412,0.38684819065655884,0.824905270971103
787027,global_downweight,0.004398469093829682,0.8664343670467962,0.13356563295320378,0.45848878721790665
787028,global_downweight,0.00464851372158126,0.8406259230107315,0.15937407698926853,0.5492270423956795
787029,global_downweight,-0.12665261514811732,0.08856627740617373,0.9114337225938263,0.4416230544159202
787030,global_downweight,0.0011445478502511246,0.952440343923315,0.047559656076685,0.21669294641831438
787031,global_downweight,0.007445631591366464,0.7940772292759596,0.20592277072404042,0.5295778802869915
787032,global_downweight,0.009653144905463465,0.3027692840920423,0.6972307159079577,0.801455652320745
787033,global_downweight,0.012003515352032737,0.6531991788281653,0.34680082117183475,0.8732192170530029
787034,global_downweight,-0.011509892826486734,0.6843658454243169,0.3156341545756831,0.644560424657156
787035,global_downweight,0.016936704361975252,0.322905292903498,0.677094707096502,0.7101844958356257
787036,global_downweight,0.00579293215379965,0.8144070997987299,0.18559290020127006,0.5516043161199484
787037,global_downweight,-0.008951663504357535,0.8010927561900256,0.19890724380997438,0.5882965028134965
787038,global_downweight,0.020135358592052732,0.4965539435222833,0.5034460564777167,0.8934760272417386
787039,global_downweight,0.010522703932121402,0.6917266310372109,0.3082733689627891,0.6453438525899533
787040,global_downweight,0.0016799511885171963,0.9259763179569376,0.07402368204306242,0.306967016679905
787041,global_downweight,-0.015906779165982893,0.8136958033214321,0.1863041966785679,0.5258906371109456
787042,global_downweight,0.0035920671332319762,0.6310713812959902,0.36892861870400984,0.8119833830441351
787043,global_downweight,-0.00039308403615123666,0.866854750038186,0.13314524996181398,0.4571085989232711
787044,global_downweight,0.013746621681481856,0.659473282268646,0.340526717731354,0.6976127068748639
787045,global_downweight,0.0069595705665136025,0.7627023920679339,0.2372976079320661,0.5837287444785725
787046,global_downweight,0.004177661618019357,0.8703049538761943,0.12969504612380567,0.45878056279855234
787047,global_downweight,0.00507067923954807,0.4604536314997632,0.5395463685002369,0.7449982176661445
787048,global_downweight,0.003743055241539691,0.5582208742247058,0.4417791257752942,0.9825710095288289
787049,global_downweight,0.005619579443779984,0.8003390167804875,0.19966098321951253,0.5542144980498206
787050,global_downweight,-0.0045403514788059,0.667246526764378,0.332753473235622,0.7624097448750767
