seed,association_auc,learned_association_cue1,learned_association_cue2,learned_association_cue3,learned_association_cue4,learned_association_cue5,learned_association_cue6,learned_similarity_cue2,cue1_root_revision,cue1_broad_attribution,cue1_narrowed_attribution,cue1_broad_minus_narrowed,cue1_transfer_cue2,cue1_transfer_cue3,cue1_transfer_cue4,cue1_structural_win,cue5_root_revision,cue5_max_untreated_transfer,cue5_floor_clean,segment_q0,segment_q1,segment_q2
802051,1.0,0.8956043956043956,0.47802197802197804,0.8846153846153846,0.9340659340659341,0.5274725274725275,0.45604395604395603,0.9065934065934066,0.30599049267776113,0.27752688738680986,0.028463605290951266,0.2490632820958586,-0.013450131546275168,0.23537730205981622,0.2656400980389354,1,0.02395278081847707,0.0207941723588978,0,2,0,2
802052,1.0,0.8571428571428571,0.43956043956043955,0.8956043956043956,0.9065934065934066,0.3901098901098901,0.5164835164835165,0.9175824175824175,0.2821168675785215,0.2558083530434624,0.026308514535059113,0.22949983850840328,-0.03410203893806307,0.2232133457764126,0.22941371649242404,1,-0.09492587580705902,0.07719247043650956,0,2,0,2
802053,1.0,0.9120879120879121,0.46703296703296704,0.8901098901098901,0.8791208791208791,0.4835164835164835,0.43956043956043955,0.967032967032967,0.31572377722480316,0.2863972948002039,0.02932648242459923,0.2570708123756047,-0.020816952344492434,0.24633393607649468,0.23939495196166394,1,-0.014377393129141436,0.01184949983171002,1,2,0,2
802054,1.0,0.9230769230769231,0.5659340659340659,0.9065934065934066,0.9230769230769231,0.554945054945055,0.46703296703296704,0.9120879120879121,0.32204497122877673,0.292164472547802,0.029880498680974754,0.2622839738668272,0.042467468733465075,0.2618827238563679,0.2724995910397341,1,0.04781633063201918,0.04045997207324703,0,2,0,2
802055,1.0,0.9010989010989011,0.5,0.8516483516483516,0.9065934065934066,0.4725274725274725,0.4835164835164835,0.9395604395604396,0.3092683762421373,0.28051296346293053,0.02875541277920679,0.25175755068372374,0.0,0.21750742944501966,0.2514929652958041,1,-0.023952780818477015,0.01947808550073954,1,2,0,2
802056,1.0,0.9175824175824175,0.47802197802197804,0.9120879120879121,0.8901098901098901,0.43956043956043955,0.5054945054945055,0.945054945054945,0.22284983469901642,0.18918436376794434,0.03366547093107208,0.15551889283687226,-0.009795597129627132,0.18366744618050812,0.17387184905088104,1,-0.03370857915622727,0.028152219954651336,0,0,0,2
802057,1.0,0.9175824175824175,0.521978021978022,0.8736263736263736,0.8736263736263736,0.5384615384615384,0.5164835164835165,0.945054945054945,0.3189011739610257,0.28929552741584474,0.02960564654518094,0.2596898808706638,0.014017634020264902,0.23829977834450278,0.23829977834450278,1,0.03351387825506602,0.027989612608626646,0,2,0,2
802058,1.0,0.8626373626373627,0.5,0.8846153846153846,0.9230769230769231,0.510989010989011,0.5164835164835165,0.9175824175824175,0.28562606927695944,0.2589979911179269,0.026628078159032564,0.2323699129588943,0.0,0.21971236098227653,0.24168359708050424,1,0.009586122053439006,0.008111334045217578,1,2,0,2
802059,1.0,0.945054945054945,0.5164835164835165,0.9175824175824175,0.8736263736263736,0.45054945054945056,0.5054945054945055,0.9175824175824175,0.3342836038329333,0.30334777682167624,0.030935827011257078,0.27241194981041916,0.01102033858789897,0.2791819108934388,0.24979434132570844,1,-0.04305501192446626,0.038323691932766635,0,2,0,2
802060,1.0,0.8956043956043956,0.521978021978022,0.8901098901098901,0.8626373626373627,0.46703296703296704,0.5274725274725275,0.9560439560439561,0.21207580034875118,0.1836121950577999,0.028463605290951266,0.15514858976684864,0.009322013202142987,0.16546573433803657,0.15381321783535806,1,-0.01839900499825059,0.014557454504110445,1,2,0,0
