stage,seed,arm,organization_match_max_abs,organization_match_bitwise,organization_match_within_tolerance,match_bundle_max_abs,match_couplings_max_abs,match_precisions_max_abs,match_field_profile_max_abs,low_carrier_plasticity,high_carrier_plasticity,plasticity_difference,corrective_target_coupling_1,corrective_target_coupling_2,low_final_coupling_1,low_final_coupling_2,high_final_coupling_1,high_final_coupling_2,revision_trajectory_divergence,carrier_read_ablated
pilot,18401,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.22991880774146237,-0.05149731956540452,-0.09228087096914944,0.04510465090751336,-0.09228087096914944,0.04510465090751336,0.0,false
pilot,18401,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.22991880774146237,-0.05149731956540452,-0.09228087096914944,0.04510465090751336,0.23218569397269345,-0.009242140432145836,0.30897053042238654,false
pilot,18402,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.02272111312614212,0.14542943773379377,0.00306558822734135,-0.09256735297368071,0.00306558822734135,-0.09256735297368071,0.0,false
pilot,18402,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.02272111312614212,0.14542943773379377,0.00306558822734135,-0.09256735297368071,-0.07360014312520738,0.1361292615916578,0.18796862917604712,false
pilot,18403,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.03694495455714541,0.0651123596730088,0.027668690728558067,-0.04654668813037656,0.027668690728558067,-0.04654668813037656,0.0,false
pilot,18403,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.03694495455714541,0.0651123596730088,0.027668690728558067,-0.04654668813037656,-0.02863930950209115,0.0217445108863577,0.0958930336911981,false
pilot,18404,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.2453246965167295,0.008417372383008648,0.0978892248285321,-0.012080116996305082,0.0978892248285321,-0.012080116996305082,0.0,false
pilot,18404,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.2453246965167295,0.008417372383008648,0.0978892248285321,-0.012080116996305082,-0.25842407213640606,-0.007565885920942281,0.3218818754773795,false
pilot,18405,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0005427709292245476,-0.1949179676697295,0.009197972592097087,0.11440627714240317,0.009197972592097087,0.11440627714240317,0.0,false
pilot,18405,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0005427709292245476,-0.1949179676697295,0.009197972592097087,0.11440627714240317,0.012407078323642852,-0.19501468933973937,0.2541087675641057,false
pilot,18406,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.032573657855698275,0.22223713534802828,0.01756136018810662,-0.11162549537401535,0.01756136018810662,-0.11162549537401535,0.0,false
pilot,18406,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.032573657855698275,0.22223713534802828,0.01756136018810662,-0.11162549537401535,-0.03439415612189858,0.26505027050735436,0.30180812910213506,false
pilot,18407,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.20071937490149983,-0.2255063776581511,-0.06978259133392407,0.11848704749549387,-0.06978259133392407,0.11848704749549387,0.0,false
pilot,18407,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.20071937490149983,-0.2255063776581511,-0.06978259133392407,0.11848704749549387,0.23036745724310775,-0.2481922913881424,0.40375424991344244,false
pilot,18408,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.160421071654892,0.05144998102343269,-0.07038146049396836,-0.034166980926104686,-0.07038146049396836,-0.034166980926104686,0.0,false
pilot,18408,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.160421071654892,0.05144998102343269,-0.07038146049396836,-0.034166980926104686,0.12897435607592717,0.049284244414660824,0.21968447524074733,false
pilot,18409,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.12408356084876829,0.05637834856200621,0.045481143540467305,-0.03552960941218912,0.045481143540467305,-0.03552960941218912,0.0,false
pilot,18409,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,-0.12408356084876829,0.05637834856200621,0.045481143540467305,-0.03552960941218912,-0.1428525722042524,0.04635803586999293,0.1801782351930222,false
pilot,18410,carrier_inert,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.16571487263157628,-0.013037143859959308,-0.0649064797000318,0.013791399633245025,-0.0649064797000318,0.013791399633245025,0.0,false
pilot,18410,carrier_active,0.0,true,true,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.16571487263157628,-0.013037143859959308,-0.0649064797000318,0.013791399633245025,0.16832728423667437,0.013677221030872065,0.22100645831160992,false
