organization_measurement_noise_sd,confirmation_pairs,alpha_two_sided,target_power,pilot_between_world_effect_sd,minimum_detectable_carrier_effect
0.0,20,0.05,0.8,0.08769593449644338,0.0549374250349377
0.01,20,0.05,0.8,0.08769593449644338,0.055647187411520534
0.02,20,0.05,0.8,0.08769593449644338,0.05772413584319268
0.05,20,0.05,0.8,0.08769593449644338,0.07057152827491177
0.1,20,0.05,0.8,0.08769593449644338,0.10424490588905766
0.15,20,0.05,0.8,0.08769593449644338,0.14379881804714129
0.2,20,0.05,0.8,0.08769593449644338,0.18550913618166023
0.3,20,0.05,0.8,0.08769593449644338,0.2714001442125836
