seed,configural_root_revision,cue_root_revision,paired_root_difference,configural_root_revised,cue_root_revised,configural_untreated_transfer,cue_untreated_transfer,configural_treated_revision,cue_treated_revision,cue_control_difference,configural_loglik_budget,cue_loglik_budget,budget_mismatch_fraction,budget_valid,freeze_written
711362,0.18261976194865287,0.0,0.18261976194865287,false,false,0.13148622860303005,0.0,0.4150000000000003,0.4150000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711363,0.38569979468847415,0.0,0.38569979468847415,false,false,0.27770385217570137,0.0,0.3780000000000003,0.3780000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711364,0.0004209817540557398,0.0,0.0004209817540557398,false,false,0.00030310686292013263,0.0,0.4150000000000003,0.4150000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711365,0.9457759026519399,0.0,0.9457759026519399,true,false,0.6809586499093967,0.0,0.5260000000000005,0.5260000000000005,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711366,0.45298761282442973,0.0,0.45298761282442973,false,false,0.3261510812335894,0.0,0.3780000000000003,0.3780000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711367,0.0025033912884176533,0.0,0.0025033912884176533,false,false,0.0018024417276607102,0.0,0.3040000000000002,0.3040000000000002,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711368,0.9340441930069219,0.0,0.9340441930069219,true,false,0.6725118189649837,0.0,0.4890000000000004,0.4890000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711369,0.3112190738234657,0.0,0.3112190738234657,true,true,0.22407773315289528,0.0,0.4890000000000004,0.4890000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711370,0.07004003927479624,0.0,0.07004003927479624,false,false,0.05042882827785329,0.0,0.4890000000000004,0.4890000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711371,0.5949534786954416,0.0,0.5949534786954416,true,false,0.4283665046607179,0.0,0.4890000000000004,0.4890000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711372,0.09462573377141886,0.0,0.09462573377141886,false,false,0.06813052831542157,0.0,0.3780000000000003,0.3780000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711373,0.49000229861844075,0.0,0.49000229861844075,false,false,0.3528016550052773,0.0,0.4150000000000003,0.4150000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711374,0.015486438123401971,0.0,0.015486438123401971,false,false,0.011150235448849419,0.0,0.4890000000000004,0.4890000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711375,0.5970221480948542,0.0,0.5970221480948542,true,false,0.429855946628295,0.0,0.34100000000000025,0.34100000000000025,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711376,0.0006188807191653223,0.0,0.0006188807191653223,false,false,0.00044559411779903203,0.0,0.34100000000000025,0.34100000000000025,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711377,0.957268387880935,0.0,0.957268387880935,true,false,0.6892332392742732,0.0,0.5630000000000004,0.5630000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711378,0.0019137395595522355,0.0,0.0019137395595522355,false,false,0.0013778924828776096,0.0,0.4890000000000004,0.4890000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711379,0.4100286508055476,0.0,0.4100286508055476,false,false,0.29522062857999426,0.0,0.4150000000000003,0.4150000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711380,0.32614817079101405,0.0,0.32614817079101405,false,false,0.2348266829695301,0.0,0.45200000000000035,0.45200000000000035,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711381,0.23489709699401562,0.0,0.23489709699401562,false,false,0.16912590983569123,0.0,0.45200000000000035,0.45200000000000035,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711382,0.6222630151309382,0.0,0.6222630151309382,true,false,0.44802937089427547,0.0,0.45200000000000035,0.45200000000000035,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711383,0.8064662547186056,0.0,0.8064662547186056,true,false,0.580655703397396,0.0,0.3780000000000003,0.3780000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711384,0.868625885797275,0.0,0.868625885797275,true,false,0.6254106377740379,0.0,0.4890000000000004,0.4890000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711385,0.001932338980049898,0.0,0.001932338980049898,false,false,0.0013912840656359266,0.0,0.4890000000000004,0.4890000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711386,0.3608926643756839,0.0,0.3608926643756839,true,true,0.2598427183504924,0.0,0.4890000000000004,0.4890000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711387,0.9289755090685484,0.0,0.9289755090685484,true,false,0.6688623665293548,0.0,0.4890000000000004,0.4890000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711388,0.584939752008317,0.0,0.584939752008317,false,false,0.42115662144598826,0.0,0.45200000000000035,0.45200000000000035,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711389,0.8616018097816116,0.0,0.8616018097816116,true,false,0.6203533030427604,0.0,0.45200000000000035,0.45200000000000035,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711390,0.1516076353672626,0.0,0.1516076353672626,false,false,0.10915749746442907,0.0,0.34100000000000025,0.34100000000000025,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711391,0.8672428658404637,0.0,0.8672428658404637,true,false,0.6244148634051339,0.0,0.4150000000000003,0.4150000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711392,0.5094720774723245,0.0,0.5094720774723245,false,false,0.3668198957800736,0.0,0.45200000000000035,0.45200000000000035,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711393,0.25659715062495037,0.0,0.25659715062495037,false,false,0.18474994844996426,0.0,0.34100000000000025,0.34100000000000025,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711394,0.15782684408485742,0.0,0.15782684408485742,false,false,0.11363532774109734,0.0,0.4150000000000003,0.4150000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711395,0.26652068967921844,0.0,0.26652068967921844,false,false,0.19189489656903727,0.0,0.45200000000000035,0.45200000000000035,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711396,0.5024904882442441,0.0,0.5024904882442441,false,false,0.3617931515358558,0.0,0.4890000000000004,0.4890000000000004,0.0,145.56935897933639,145.56935897933639,0.0,true,true
711397,0.016147550089651092,0.0,0.016147550089651092,false,false,0.011626236064548786,0.0,0.4150000000000003,0.4150000000000003,0.0,145.56935897933639,145.56935897933639,0.0,true,true
