seed,status,prospection_failure,organism_changed,reason_code
711362,not_evaluable,true,false,no_common_likelihood_path
711363,not_evaluable,true,false,no_common_likelihood_path
711364,not_evaluable,true,false,no_common_likelihood_path
711365,not_evaluable,true,false,no_common_likelihood_path
711366,not_evaluable,true,false,no_common_likelihood_path
711367,not_evaluable,true,false,no_common_likelihood_path
711368,not_evaluable,true,false,no_common_likelihood_path
711369,not_evaluable,true,false,no_common_likelihood_path
711370,not_evaluable,true,false,no_common_likelihood_path
711371,not_evaluable,true,false,no_common_likelihood_path
711372,not_evaluable,true,false,no_common_likelihood_path
711373,not_evaluable,true,false,no_common_likelihood_path
711374,not_evaluable,true,false,no_common_likelihood_path
711375,not_evaluable,true,false,no_common_likelihood_path
711376,not_evaluable,true,false,no_common_likelihood_path
711377,not_evaluable,true,false,no_common_likelihood_path
711378,not_evaluable,true,false,no_common_likelihood_path
711379,not_evaluable,true,false,no_common_likelihood_path
711380,not_evaluable,true,false,no_common_likelihood_path
711381,not_evaluable,true,false,no_common_likelihood_path
711382,not_evaluable,true,false,no_common_likelihood_path
711383,not_evaluable,true,false,no_common_likelihood_path
711384,not_evaluable,true,false,no_common_likelihood_path
711385,not_evaluable,true,false,no_common_likelihood_path
711386,not_evaluable,true,false,no_common_likelihood_path
711387,not_evaluable,true,false,no_common_likelihood_path
711388,not_evaluable,true,false,no_common_likelihood_path
711389,not_evaluable,true,false,no_common_likelihood_path
711390,not_evaluable,true,false,no_common_likelihood_path
711391,not_evaluable,true,false,no_common_likelihood_path
711392,not_evaluable,true,false,no_common_likelihood_path
711393,not_evaluable,true,false,no_common_likelihood_path
711394,not_evaluable,true,false,no_common_likelihood_path
711395,not_evaluable,true,false,no_common_likelihood_path
711396,not_evaluable,true,false,no_common_likelihood_path
711397,not_evaluable,true,false,no_common_likelihood_path
711398,not_evaluable,true,false,no_common_likelihood_path
711399,not_evaluable,true,false,no_common_likelihood_path
711400,not_evaluable,true,false,no_common_likelihood_path
711401,not_evaluable,true,false,no_common_likelihood_path
711402,not_evaluable,true,false,no_common_likelihood_path
711403,not_evaluable,true,false,no_common_likelihood_path
711404,not_evaluable,true,false,no_common_likelihood_path
711405,not_evaluable,true,false,no_common_likelihood_path
711406,not_evaluable,true,false,no_common_likelihood_path
711407,not_evaluable,true,false,no_common_likelihood_path
711408,not_evaluable,true,false,no_common_likelihood_path
711409,not_evaluable,true,false,no_common_likelihood_path
711410,not_evaluable,true,false,no_common_likelihood_path
711411,not_evaluable,true,false,no_common_likelihood_path
711412,not_evaluable,true,false,no_common_likelihood_path
711413,not_evaluable,true,false,no_common_likelihood_path
711414,not_evaluable,true,false,no_common_likelihood_path
711415,not_evaluable,true,false,no_common_likelihood_path
711416,not_evaluable,true,false,no_common_likelihood_path
711417,not_evaluable,true,false,no_common_likelihood_path
711418,not_evaluable,true,false,no_common_likelihood_path
711419,not_evaluable,true,false,no_common_likelihood_path
711420,not_evaluable,true,false,no_common_likelihood_path
711421,not_evaluable,true,false,no_common_likelihood_path
