seed,dose,t,depth_mean,depth_var,depth_precision,capture,observed_volatility,predicted_volatility,volatility_innovation,burst_active
11,0.4,1,0.8741059484312167,0.051,19.607843137254903,0.14370780988230017,0.03022909649903026,0.015,0.015229096499030259,false
11,0.4,2,0.8741059484312167,0.056999999999999995,17.54385964912281,0.1436212175439685,0.029731634813190584,0.015,0.014731634813190585,false
11,0.4,3,0.8741059484312167,0.063,15.873015873015873,0.14412555410212366,0.03262827934084015,0.015,0.01762827934084015,false
11,0.4,4,0.8741059484312167,0.069,14.492753623188404,0.1467561787597526,0.047710167210182806,0.015,0.03271016721018281,false
11,0.4,5,0.8741059484312167,0.07500000000000001,13.333333333333332,0.14508881323232667,0.038156053818475144,0.015,0.023156053818475145,false
11,0.4,6,0.8741059484312167,0.08100000000000002,12.345679012345677,0.1455794260176663,0.04096915769783605,0.015,0.025969157697836052,false
11,0.4,7,0.8741059484312167,0.08700000000000002,11.494252873563216,0.14531375554676856,0.039446035265815284,0.015,0.024446035265815284,false
11,0.4,8,0.8741059484312167,0.09300000000000003,10.752688172043008,0.14832845545521628,0.056703264411093295,0.015,0.041703264411093295,false
11,0.4,9,0.8741059484312167,0.09900000000000003,10.101010101010099,0.1446230154731744,0.03548378191999983,0.015,0.020483781919999833,false
11,0.4,10,0.8741059484312167,0.10500000000000004,9.52380952380952,0.14320195393297458,0.02732230835972779,0.015,0.01232230835972779,false
11,0.4,11,0.8741059484312167,0.11100000000000004,9.009009009009006,0.14821796090298456,0.0560717611344188,0.015,0.0410717611344188,false
11,0.4,12,0.8741059484312167,0.11700000000000005,8.547008547008543,0.14731892183260928,0.050930718675026146,0.015,0.035930718675026146,false
11,0.4,13,0.8741059484312167,0.12300000000000005,8.130081300813005,0.1428791190042441,0.02546630794345086,0.015,0.01046630794345086,false
11,0.4,14,0.8741059484312167,0.12900000000000006,7.75193798449612,0.14041698299257582,0.011287759388786463,0.015,-0.0037122406112135367,false
11,0.4,15,0.8741059484312167,0.13500000000000006,7.407407407407404,0.14430357044804518,0.033650307794059024,0.015,0.018650307794059025,false
11,0.4,16,0.8741059484312167,0.14100000000000007,7.092198581560281,0.14710010136459548,0.04967865689210735,0.015,0.03467865689210735,false
11,0.4,17,0.8741059484312167,0.14700000000000008,6.802721088435371,0.14540656535594407,0.03997817769346591,0.015,0.024978177693465914,false
11,0.4,18,0.8741059484312167,0.15300000000000008,6.535947712418297,0.1431301667571776,0.026909659847137,0.015,0.011909659847136999,false
11,0.4,19,0.8741059484312167,0.15900000000000009,6.289308176100626,0.14333575345736443,0.02809132474946769,0.015,0.01309132474946769,false
11,0.4,20,0.8741059484312167,0.1650000000000001,6.060606060606057,0.14933873071103082,0.06247376361692886,0.015,0.04747376361692886,false
11,0.4,21,0.8741059484312167,0.1710000000000001,5.847953216374266,0.14556357188461827,0.04087827678347491,0.015,0.02587827678347491,false
11,0.4,22,0.8741059484312167,0.1770000000000001,5.649717514124291,0.14169425666255603,0.018648360269147974,0.015,0.0036483602691479745,false
11,0.4,23,0.8741059484312167,0.1830000000000001,5.464480874316937,0.1468441597346789,0.048213809940742064,0.015,0.033213809940742064,false
11,0.4,24,0.8741059484312167,0.1890000000000001,5.291005291005288,0.1448888847525965,0.03700924252949411,0.015,0.022009242529494114,false
11,0.4,25,0.8741059484312167,0.19500000000000012,5.128205128205125,0.14375391628167425,0.030493951282598422,0.015,0.015493951282598423,false
11,0.4,26,0.8741059484312167,0.20100000000000012,4.97512437810945,0.14374771064097286,0.03045830426855705,0.015,0.01545830426855705,false
11,0.4,27,0.8741059484312167,0.20700000000000013,4.830917874396132,0.1438364287046428,0.030967902308102126,0.015,0.015967902308102126,false
11,0.4,28,0.8741059484312167,0.21300000000000013,4.69483568075117,0.1437510231071796,0.030477332074677097,0.015,0.015477332074677098,false
11,0.4,29,0.8741059484312167,0.21900000000000014,4.566210045662098,0.14800062205619335,0.05482939658695646,0.015,0.03982939658695646,false
11,0.4,30,0.8741059484312167,0.22500000000000014,4.444444444444442,0.1441312194699107,0.032660808620466414,0.015,0.017660808620466414,false
11,0.4,31,0.8741059484312167,0.23100000000000015,4.329004329004326,0.14443532365554396,0.03440659495280674,0.015,0.019406594952806742,false
11,0.4,32,0.8741059484312167,0.23700000000000015,4.219409282700419,0.1485174875532625,0.057783454520819844,0.015,0.042783454520819844,false
11,0.4,33,0.8741059484312167,0.24300000000000016,4.115226337448557,0.1440158486053201,0.031998332777023956,0.015,0.016998332777023957,false
11,0.4,34,0.8741059484312167,0.24900000000000017,4.01606425702811,0.15072062812572384,0.07035691802849314,0.015,0.05535691802849314,false
11,0.4,35,0.8741059484312167,0.2576997368445312,3.8804851423006865,0.21409444781767503,0.42363675543871304,0.015,0.40863675543871303,true
11,0.4,36,0.8741059484312167,0.2672345188179214,3.7420315475088155,0.21990633038403007,0.45559571546793937,0.015,0.44059571546793935,true
11,0.4,37,0.8741059484312167,0.2763287087159277,3.618878417110193,0.2169369878971523,0.43927055482335464,0.015,0.42427055482335463,true
11,0.4,38,0.8741059484312167,0.2851061354530922,3.5074657317030185,0.21466984971749797,0.4268019560857857,0.015,0.4118019560857857,true
11,0.4,39,0.8741059484312167,0.29345757356936053,3.4076476126919375,0.2114074333507908,0.4088518715991606,0.015,0.3938518715991606,true
11,0.4,40,0.8741059484312167,0.3026523437843693,3.304121116314467,0.21763247220654905,0.4430947594644279,0.015,0.4280947594644279,true
11,0.4,41,0.8741059484312167,0.31147706330092934,3.2105092728252145,0.21501620823174677,0.4287070883990784,0.015,0.4137070883990784,true
11,0.4,42,0.8741059484312167,0.32110591370602304,3.11423725729173,0.22051597148868082,0.4589468377625118,0.015,0.44394683776251176,true
11,0.4,43,0.8741059484312167,0.3307883544049213,3.0230810325803974,0.22085976555157386,0.46083654999405643,0.015,0.4458365499940564,true
11,0.4,44,0.8741059484312167,0.3398548041270597,2.9424330268585384,0.21674320165179142,0.43820493800574656,0.015,0.42320493800574654,true
11,0.4,45,0.8741059484312167,0.34905202669214036,2.864902431527744,0.2176492924853595,0.443187243760031,0.015,0.428187243760031,true
11,0.4,46,0.8741059484312167,0.35767471359373193,2.795836445782016,0.21351560201710743,0.4204523186501188,0.015,0.40545231865011877,true
11,0.4,47,0.8741059484312167,0.36657266130453847,2.7279721200191402,0.21554687333932301,0.43162580296615705,0.015,0.41662580296615703,true
11,0.4,48,0.8741059484312167,0.3751579315812567,2.6655440704267948,0.2132314590679854,0.4188890365068599,0.015,0.40388903650685987,true
11,0.4,49,0.8741059484312167,0.38468363086203855,2.5995387372191985,0.2198470417407361,0.45526980282252166,0.015,0.44026980282252165,true
11,0.4,50,0.8741059484312167,0.3936894123063651,2.540073389684684,0.21631632651717086,0.43585748668418406,0.015,0.42085748668418405,true
11,0.4,51,0.8741059484312167,0.40325997363333455,2.479789875970317,0.2201391509512257,0.45687552396984954,0.015,0.4418755239698495,true
11,0.4,52,0.8741059484312167,0.41278459624891695,2.4225710190914707,0.21984000860865613,0.4552311412191191,0.015,0.4402311412191191,true
11,0.4,53,0.8741059484312167,0.42218623813070466,2.3686229196566324,0.219029496410859,0.4507755194398245,0.015,0.4357755194398245,true
11,0.4,54,0.8741059484312167,0.4316420656815749,2.316734348912384,0.21938837773679076,0.45274843976599216,0.015,0.43774843976599215,true
11,0.4,55,0.8741059484312167,0.43764217627035396,2.2849717285526174,0.17432707182397744,0.20350086266478806,0.015,0.18850086266478805,true
11,0.4,56,0.8741059484312167,0.44367447148332306,2.253904752862456,0.17841464096991025,0.22631478404527477,0.015,0.21131478404527476,true
11,0.4,57,0.8741059484312167,0.4497214068618241,2.2235988430660756,0.17930838018031628,0.23129537553383533,0.015,0.21629537553383532,true
11,0.4,58,0.8741059484312167,0.4557644382067453,2.194115898850311,0.17908559068390556,0.2300540704118614,0.015,0.21505407041186142,true
11,0.4,59,0.8741059484312167,0.46184761819336195,2.16521631942536,0.1810461262200427,0.2409719859785755,0.015,0.22597198597857548,true
11,0.4,60,0.8741059484312167,0.4678539512287689,2.1374191612010667,0.17599434247747014,0.21281348434006764,0.015,0.19781348434006762,true
11,0.4,61,0.8741059484312167,0.4738992998622733,2.110152938167717,0.17921898855756685,0.23079733623557158,0.015,0.21579733623557157,true
11,0.4,62,0.8741059484312167,0.47994942432367504,2.0835528689489706,0.17948359676974554,0.23227150699706023,0.015,0.21727150699706022,true
11,0.4,63,0.8741059484312167,0.48594942432367505,2.0578273168895302,0.17308331222896603,0.1965471517452101,0.015,0.18154715174521008,true
11,0.4,64,0.8741059484312167,0.49196508531799465,2.0326645728398054,0.17709525443790827,0.21895726862475678,0.015,0.20395726862475677,true
11,0.4,65,0.8741059484312167,0.4979884521652057,2.008078692692765,0.17776535524959158,0.22269480198640748,0.015,0.2076948019864075,true
11,0.4,66,0.8741059484312167,0.503995051324463,1.9841464660656318,0.17603431359167016,0.2130366227487687,0.015,0.1980366227487687,true
11,0.4,67,0.8741059484312167,0.5100306837578166,1.9606663517421647,0.17863373939369748,0.22753601108210264,0.015,0.21253601108210263,true
11,0.4,68,0.8741059484312167,0.5160592200681046,1.9377621038686792,0.1781538525323891,0.22486097297433894,0.015,0.20986097297433892,true
11,0.4,69,0.8741059484312167,0.5220592200681046,1.9154915028022037,0.14569586173749746,0.04163655432764577,0.015,0.02663655432764577,false
11,0.4,70,0.8741059484312167,0.5280592200681046,1.8937269949969409,0.14426683053967787,0.03343939362292837,0.015,0.018439393622928374,false
11,0.4,71,0.8741059484312167,0.5340592200681046,1.8724515230211314,0.14555484577160133,0.040828255244401424,0.015,0.025828255244401424,false
11,0.4,72,0.8741059484312167,0.5400592200681046,1.8516487874679637,0.14498853079352073,0.03758085562368842,0.015,0.022580855623688417,false
11,0.4,73,0.8741059484312167,0.5460592200681046,1.8313032053103688,0.14710471336715558,0.049705049268288455,0.015,0.034705049268288456,false
11,0.4,74,0.8741059484312167,0.55,1.8181818181818181,0.14659993538806193,0.04681563880376118,0.015,0.03181563880376118,false
11,0.4,75,0.8741059484312167,0.55,1.8181818181818181,0.14350627042736422,0.02907120102325132,0.015,0.01407120102325132,false
11,0.4,76,0.8741059484312167,0.55,1.8181818181818181,0.14260962023366805,0.023916399336734236,0.015,0.008916399336734236,false
11,0.4,77,0.8741059484312167,0.55,1.8181818181818181,0.14572239552209681,0.041788630781462395,0.015,0.026788630781462396,false
11,0.4,78,0.8741059484312167,0.55,1.8181818181818181,0.1445522460282594,0.035077654438805304,0.015,0.020077654438805305,false
11,0.4,79,0.8741059484312167,0.55,1.8181818181818181,0.14399630493416046,0.03188610148424526,0.015,0.016886101484245263,false
11,0.4,80,0.8741059484312167,0.55,1.8181818181818181,0.14406398956708727,0.03227477575204518,0.015,0.017274775752045182,false
