stage,seed,condition,model,generating_carrier_id,selected_carrier_id,samples_to_formation,formed,formation_rmse,interference_shared_carrier,interference_baseline_rmse,interference_after_rmse,interference_degradation,cluster_margin,estimate_affect,estimate_self_world_coupling,estimate_policy,estimate_policy_outcome_coupling,carrier_residue_norm,coupling_residue_norm,carrier_ablation_loss,coupling_ablation_loss,carrier_residue_present,coupling_residue_present
pilot,18110,prepared,assembly,2,2,5,true,0.22644198501338306,true,0.22644198501338306,0.22644198501338306,0.0,1.1943165634520572,-0.1882596675781233,0.22958204497673956,0.7198186645197796,0.2730707238527754,0.0,0.1587598640828751,0.0,0.1587598640828751,false,true
pilot,18110,prepared,recruitment,2,2,4,true,0.2578657668838737,true,0.2578657668838737,0.35959857667639616,0.10173280979252247,1.272672444743987,-0.44114330135467966,0.20085374553277932,1.0593273105021372,0.3017609184717536,0.873212459828649,0.0,0.873212459828649,0.0,true,false
pilot,18110,prepared,hybrid,2,2,4,true,0.2578657668838737,true,0.2578657668838737,0.35959857667639616,0.10173280979252247,1.272672444743987,-0.44114330135467966,0.20085374553277932,1.0593273105021372,0.3017609184717536,0.873212459828649,0.14475164078144492,0.873212459828649,0.14475164078144492,true,false
pilot,18110,arbitrary,assembly,0,2,4,true,0.20133635340857284,false,0.20133635340857284,0.20133635340857284,0.0,0.12071768650314962,0.16397710505255061,-0.21975124609622262,0.146608607504221,0.17136941036432848,0.0,0.3652175209828171,0.0,0.3652175209828171,false,true
pilot,18110,arbitrary,recruitment,0,2,12,true,0.25499826367471584,true,0.25499826367471584,0.38704880451762685,0.132050540842911,0.33782256898540275,0.007029889200876812,-0.1935213722265573,0.31620889350056597,0.23759597780672925,0.873212459828649,0.0,0.873212459828649,0.0,true,false
pilot,18110,arbitrary,hybrid,0,2,12,true,0.25499826367471584,true,0.25499826367471584,0.38704880451762685,0.132050540842911,0.33782256898540275,0.007029889200876812,-0.1935213722265573,0.31620889350056597,0.23759597780672925,0.873212459828649,0.33299244560198027,0.873212459828649,0.33299244560198027,true,true
pilot,18110,shuffled,assembly,2,3,3,true,0.2350121664434032,false,0.2350121664434032,0.2350121664434032,0.0,0.4956118381124447,-0.11174316710944601,-0.20378345894211483,0.3333916401727633,0.1303517739934119,0.0,0.36197299912306263,0.0,0.36197299912306263,false,true
pilot,18110,shuffled,recruitment,2,3,4,true,0.2445652572438413,true,0.2445652572438413,0.21875177102901786,-0.025813486214823433,1.0417308681949882,0.1644034684175971,-0.24996360250260194,0.7789166631703734,0.13877488375941424,0.97082439194738,0.0,0.97082439194738,0.0,true,false
pilot,18110,shuffled,hybrid,2,3,4,true,0.2445652572438413,true,0.2445652572438413,0.21875177102901786,-0.025813486214823433,1.0417308681949882,0.1644034684175971,-0.24996360250260194,0.7789166631703734,0.13877488375941424,0.97082439194738,0.3300342050827924,0.97082439194738,0.3300342050827924,true,true
confirmation,18201,prepared,assembly,1,1,13,true,0.26310770105715314,true,0.26310770105715314,0.26310770105715314,0.0,1.072271254786177,-0.8373649399120019,-0.19290560436688978,-0.8585318153421775,-1.2044733322717949,0.0,0.9281197499248889,0.0,0.9281197499248889,false,true
confirmation,18201,prepared,recruitment,1,1,7,true,0.249714269921311,true,0.249714269921311,0.3514546841217122,0.10174041420040122,1.721847635812795,-1.1690883042569753,-0.2927993393256654,-1.0408172711634809,-0.944532869411165,1.5305227865013966,0.0,1.5305227865013966,0.0,true,false
confirmation,18201,prepared,hybrid,1,1,7,true,0.249714269921311,true,0.249714269921311,0.3514546841217122,0.10174041420040122,1.721847635812795,-1.1690883042569753,-0.2927993393256654,-1.0408172711634809,-0.944532869411165,1.5305227865013966,0.8462268308138692,1.5305227865013966,0.8462268308138692,true,true
confirmation,18201,arbitrary,assembly,0,3,11,true,0.24684391552803123,false,0.24684391552803123,0.24684391552803123,0.0,0.4939186724904201,0.10433721059216608,-0.3500061457996449,-0.13508417479292908,-0.34162566123379445,0.0,0.5763832202452525,0.0,0.5763832202452525,false,true
