mapping,seed,trial,true_depth,noiseless_external_load,observed_external_load,state_depth,capture,class
theory,11,1,0.9,0.009499999999999995,0.0,0.88327233684608,0.19775048820227953,self
theory,11,2,0.8440358449100248,0.02310857678928334,0.03828450167170662,0.9026760903901785,0.1920851779466226,self
theory,11,3,0.8097768850548566,0.03437559178646159,0.04428725535821354,0.9188543390160158,0.18620620941620958,self
theory,11,4,0.7719731220668627,0.04939644420693718,0.03470730320816509,0.9323432615589949,0.1806736966622572,self
theory,11,5,0.7229888046309006,0.07289844224182646,0.05691378334963286,0.9435899073226107,0.17572389847725184,self
theory,11,6,0.6777677493734446,0.09864194217666243,0.10475422085781959,0.9529670121676592,0.17142248138130498,self
theory,11,7,0.6246056776059712,0.1338748524213884,0.12979545235025233,0.9607853517084579,0.1677500590122041,self
theory,11,8,0.5755580110749413,0.17114345186452667,0.176619995429353,0.9673040410251817,0.16464903793470242,self
theory,11,9,0.5222379393905167,0.21684375722992863,0.21669758799018954,0.9727391222449501,0.16204855288019268,self
theory,11,10,0.46715662857294005,0.269725955550068,0.2603455968188007,0.9772707246009167,0.15987714434821965,self
theory,11,11,0.4276281509734734,0.3112290568801427,0.32569517147762955,0.9810490342677366,0.15806869479299065,self
theory,11,12,0.39227470862993175,0.3508635282822926,0.36118677816281963,0.9841992718254492,0.15656474930258407,self
theory,11,13,0.35650604825148396,0.3933802426400755,0.39084515046164026,0.9868258423146742,0.15531497227719795,self
theory,11,14,0.30372693554614233,0.4605563712697676,0.45621875748163015,0.9890157954240761,0.16044055212014385,self
theory,11,15,0.25051538270904705,0.5336408319779778,0.534787128016854,0.9908417104874844,0.1717441885003753,self
theory,11,16,0.19388089170464584,0.617336615920952,0.6127044972937268,0.9923641019051215,0.18737980404507137,self
theory,11,17,0.1374429444589351,0.7068044403604881,0.7071377215046524,0.9794059880161508,0.20895921096355616,self
theory,11,18,0.0844555932259997,0.7963104827363983,0.7868258025006597,0.9355340116032268,0.23888878020635423,self
theory,11,19,0.11518016674306182,0.743760830458594,0.751479074190506,0.8842351554741121,0.2687785532101428,self
theory,11,20,0.1776294756265348,0.6424786153903735,0.6319023527853685,0.8476956558036256,0.2887485327229846,self
theory,11,21,0.2247616197467229,0.5709448189068383,0.5709451419571688,0.8170627097969716,0.3049622147399283,self
theory,11,22,0.2814944053714036,0.49043777503696323,0.5099296085689986,0.7945605691512075,0.3164553665453033,self
theory,11,23,0.3390791943706362,0.41497549574807896,0.4161189005195416,0.7905635862509053,0.3168948932017336,self
theory,11,24,0.38541531560773373,0.3588286175750644,0.37022585625636745,0.7976333389325184,0.3112465653189787,self
theory,11,25,0.4523496106835623,0.2849249014725235,0.2925518266915591,0.8261428740038846,0.293209307227486,self
theory,11,26,0.5061083761885219,0.23173248926758166,0.22427750556298684,0.8550433139986916,0.26433754270950016,self
theory,11,27,0.5634925016690544,0.18101185629418345,0.18953593795017148,0.8791396056037909,0.23533727184191192,self
theory,11,28,0.6101849995120163,0.14435794787517436,0.15791824971077448,0.8992303471019241,0.21483181705584534,self
theory,11,29,0.6795252331748379,0.09756887236305989,0.09954483178460467,0.9159813850026854,0.2000850325426303,self
theory,11,30,0.7345807345375027,0.06692501715471902,0.05963687560580491,0.9299478814995327,0.18923287681423417,self
theory,11,31,0.7694608693440443,0.0504908762254236,0.057405195944301136,0.9415927136318497,0.18107526360343823,self
theory,11,32,0.8031633827192354,0.036807421207407494,0.013869074124912752,0.9513018139363144,0.17482604489676115,self
theory,11,33,0.853179449844168,0.020478460250658106,0.028143468694323437,0.9593969610067942,0.16996007579447495,self
theory,11,34,0.9034422254746931,0.008857233630216005,0.010274845076267086,0.9661464438669686,0.16611900201280738,self
theory,11,35,0.8852417229768922,0.012510989038046736,0.0,0.9717739535938655,0.1630527301149706,self
theory,11,36,0.8511724795204924,0.021042149309474355,0.03478483660514402,0.9764659968781273,0.16058269715002974,self
theory,11,37,0.8181222582764756,0.03142553728772661,0.04172915987977457,0.9803780772209053,0.1585785433140209,self
theory,11,38,0.7689431188347724,0.050717918217112,0.04455368610647817,0.9836398486243543,0.15694308815722616,self
theory,11,39,0.6941016174708357,0.088895129412261,0.08658588749203022,0.9863594125791177,0.1556024978478129,self
theory,11,40,0.6461749372773553,0.11893256626014927,0.11782917125218538,0.9886269007593833,0.15449973263490768,self
theory,11,41,0.5935831990986442,0.15691588525214767,0.16226276696813033,0.9905174621630372,0.1535900932257064,self
theory,11,42,0.5380321869467737,0.20274354728232163,0.21743267053301962,0.9920937536965907,0.15283812980076356,self
theory,11,43,0.5051368996607788,0.2326450136734788,0.23584990841973108,0.9934080167477408,0.15221545030439498,self
theory,11,44,0.4476262312167603,0.28986094141781,0.2911358917105768,0.9945038085672429,0.15169913308763497,self
theory,11,45,0.4132528502432776,0.32705860686025573,0.3154687058899051,0.9954174458414833,0.15127055372387713,self
theory,11,46,0.3796251594201798,0.3656216956832154,0.344864432106764,0.9961792082985719,0.15091450152477806,self
theory,11,47,0.3238354125203873,0.4343386218934011,0.43570038816632084,0.9968143422378172,0.15330383911208134,self
theory,11,48,0.26709937723577104,0.5102861567057849,0.5048778390948109,0.9973438972415162,0.16194295265524955,self
theory,11,49,0.20283028036558567,0.6037055838069102,0.6121516579265034,0.997785423799325,0.17900099903305358,self
theory,11,50,0.1385391543435232,0.7050090491692134,0.71060737760812,0.9883105514475002,0.2017512864444309,self
theory,11,51,0.11577645934768228,0.7427587063515348,0.7427067066870207,0.9596387970569276,0.22527131433497774,self
theory,11,52,0.0928278326591155,0.7818132741380598,0.775346741021951,0.9099380988417715,0.2550352774856785,self
theory,11,53,0.14971980298694879,0.6868275927609255,0.6981067231696271,0.8637680352554156,0.2806368999712576,self
theory,11,54,0.2107810157641481,0.5917232748243564,0.6085966491206701,0.8275166441278845,0.29991845572761894,self
