seed,overwhelm,control,written,expected,precision,attenuation_edge,property_holds,avoidance_available
51004,0.0,0.3,false,false,0.0,false,true,true
51004,0.0,0.44999999999999996,false,false,0.0,false,true,true
51004,0.0,1.0,false,false,0.0,false,true,true
51004,0.6499999999999999,0.0,false,false,0.0,true,true,true
51004,0.6499999999999999,0.25,false,false,0.0,false,true,true
51004,0.6499999999999999,0.3,false,false,0.0,false,true,true
51004,0.6499999999999999,0.44999999999999996,false,false,0.0,false,true,true
51004,0.6499999999999999,1.0,false,false,0.0,false,true,true
51004,0.7,0.0,true,true,4.4,true,true,true
51004,0.7,0.25,true,true,8.0,false,true,true
51004,0.7,0.3,true,true,8.0,false,true,true
51004,0.7,0.44999999999999996,false,false,0.0,false,true,true
51004,0.7,1.0,false,false,0.0,false,true,true
51004,0.85,0.0,true,true,4.4,true,true,true
51004,0.85,0.25,true,true,8.0,false,true,true
51004,0.85,0.3,true,true,8.0,false,true,true
51004,0.85,0.44999999999999996,false,false,0.0,false,true,true
51004,0.85,1.0,false,false,0.0,false,true,true
51004,1.0,0.0,true,true,4.4,true,true,true
51004,1.0,0.25,true,true,8.0,false,true,true
51004,1.0,0.3,true,true,8.0,false,true,true
51004,1.0,0.44999999999999996,false,false,0.0,false,true,true
51004,1.0,1.0,false,false,0.0,false,true,true
51005,0.0,0.0,false,false,0.0,true,true,true
51005,0.0,0.25,false,false,0.0,false,true,true
51005,0.0,0.3,false,false,0.0,false,true,true
51005,0.0,0.44999999999999996,false,false,0.0,false,true,true
51005,0.0,1.0,false,false,0.0,false,true,true
51005,0.6499999999999999,0.0,false,false,0.0,true,true,true
51005,0.6499999999999999,0.25,false,false,0.0,false,true,true
51005,0.6499999999999999,0.3,false,false,0.0,false,true,true
51005,0.6499999999999999,0.44999999999999996,false,false,0.0,false,true,true
51005,0.6499999999999999,1.0,false,false,0.0,false,true,true
51005,0.7,0.0,true,true,4.4,true,true,true
51005,0.7,0.25,true,true,8.0,false,true,true
51005,0.7,0.3,true,true,8.0,false,true,true
51005,0.7,0.44999999999999996,false,false,0.0,false,true,true
51005,0.7,1.0,false,false,0.0,false,true,true
51005,0.85,0.0,true,true,4.4,true,true,true
51005,0.85,0.25,true,true,8.0,false,true,true
51005,0.85,0.3,true,true,8.0,false,true,true
51005,0.85,0.44999999999999996,false,false,0.0,false,true,true
51005,0.85,1.0,false,false,0.0,false,true,true
51005,1.0,0.0,true,true,4.4,true,true,true
51005,1.0,0.25,true,true,8.0,false,true,true
51005,1.0,0.3,true,true,8.0,false,true,true
51005,1.0,0.44999999999999996,false,false,0.0,false,true,true
51005,1.0,1.0,false,false,0.0,false,true,true
51006,0.0,0.0,false,false,0.0,true,true,true
51006,0.0,0.25,false,false,0.0,false,true,true
51006,0.0,0.3,false,false,0.0,false,true,true
51006,0.0,0.44999999999999996,false,false,0.0,false,true,true
51006,0.0,1.0,false,false,0.0,false,true,true
51006,0.6499999999999999,0.0,false,false,0.0,true,true,true
51006,0.6499999999999999,0.25,false,false,0.0,false,true,true
51006,0.6499999999999999,0.3,false,false,0.0,false,true,true
51006,0.6499999999999999,0.44999999999999996,false,false,0.0,false,true,true
51006,0.6499999999999999,1.0,false,false,0.0,false,true,true
51006,0.7,0.0,true,true,4.4,true,true,true
51006,0.7,0.25,true,true,8.0,false,true,true
51006,0.7,0.3,true,true,8.0,false,true,true
51006,0.7,0.44999999999999996,false,false,0.0,false,true,true
51006,0.7,1.0,false,false,0.0,false,true,true
51006,0.85,0.0,true,true,4.4,true,true,true
51006,0.85,0.25,true,true,8.0,false,true,true
51006,0.85,0.3,true,true,8.0,false,true,true
51006,0.85,0.44999999999999996,false,false,0.0,false,true,true
51006,0.85,1.0,false,false,0.0,false,true,true
51006,1.0,0.0,true,true,4.4,true,true,true
51006,1.0,0.25,true,true,8.0,false,true,true
51006,1.0,0.3,true,true,8.0,false,true,true
51006,1.0,0.44999999999999996,false,false,0.0,false,true,true
51006,1.0,1.0,false,false,0.0,false,true,true
51007,0.0,0.0,false,false,0.0,true,true,true
51007,0.0,0.25,false,false,0.0,false,true,true
51007,0.0,0.3,false,false,0.0,false,true,true
51007,0.0,0.44999999999999996,false,false,0.0,false,true,true
51007,0.0,1.0,false,false,0.0,false,true,true
51007,0.6499999999999999,0.0,false,false,0.0,true,true,true
51007,0.6499999999999999,0.25,false,false,0.0,false,true,true
51007,0.6499999999999999,0.3,false,false,0.0,false,true,true
51007,0.6499999999999999,0.44999999999999996,false,false,0.0,false,true,true
51007,0.6499999999999999,1.0,false,false,0.0,false,true,true
51007,0.7,0.0,true,true,4.4,true,true,true
51007,0.7,0.25,true,true,8.0,false,true,true
51007,0.7,0.3,true,true,8.0,false,true,true
51007,0.7,0.44999999999999996,false,false,0.0,false,true,true
51007,0.7,1.0,false,false,0.0,false,true,true
51007,0.85,0.0,true,true,4.4,true,true,true
51007,0.85,0.25,true,true,8.0,false,true,true
51007,0.85,0.3,true,true,8.0,false,true,true
51007,0.85,0.44999999999999996,false,false,0.0,false,true,true
51007,0.85,1.0,false,false,0.0,false,true,true
51007,1.0,0.0,true,true,4.4,true,true,true
51007,1.0,0.25,true,true,8.0,false,true,true
51007,1.0,0.3,true,true,8.0,false,true,true
51007,1.0,0.44999999999999996,false,false,0.0,false,true,true
51007,1.0,1.0,false,false,0.0,false,true,true
51008,0.0,0.0,false,false,0.0,true,true,true
51008,0.0,0.25,false,false,0.0,false,true,true
51008,0.0,0.3,false,false,0.0,false,true,true
51008,0.0,0.44999999999999996,false,false,0.0,false,true,true
51008,0.0,1.0,false,false,0.0,false,true,true
51008,0.6499999999999999,0.0,false,false,0.0,true,true,true
51008,0.6499999999999999,0.25,false,false,0.0,false,true,true
51008,0.6499999999999999,0.3,false,false,0.0,false,true,true
51008,0.6499999999999999,0.44999999999999996,false,false,0.0,false,true,true
51008,0.6499999999999999,1.0,false,false,0.0,false,true,true
51008,0.7,0.0,true,true,4.4,true,true,true
51008,0.7,0.25,true,true,8.0,false,true,true
51008,0.7,0.3,true,true,8.0,false,true,true
51008,0.7,0.44999999999999996,false,false,0.0,false,true,true
51008,0.7,1.0,false,false,0.0,false,true,true
51008,0.85,0.0,true,true,4.4,true,true,true
51008,0.85,0.25,true,true,8.0,false,true,true
51008,0.85,0.3,true,true,8.0,false,true,true
51008,0.85,0.44999999999999996,false,false,0.0,false,true,true
51008,0.85,1.0,false,false,0.0,false,true,true
51008,1.0,0.0,true,true,4.4,true,true,true
51008,1.0,0.25,true,true,8.0,false,true,true
51008,1.0,0.3,true,true,8.0,false,true,true
51008,1.0,0.44999999999999996,false,false,0.0,false,true,true
51008,1.0,1.0,false,false,0.0,false,true,true
51009,0.0,0.0,false,false,0.0,true,true,true
51009,0.0,0.25,false,false,0.0,false,true,true
51009,0.0,0.3,false,false,0.0,false,true,true
51009,0.0,0.44999999999999996,false,false,0.0,false,true,true
51009,0.0,1.0,false,false,0.0,false,true,true
51009,0.6499999999999999,0.0,false,false,0.0,true,true,true
51009,0.6499999999999999,0.25,false,false,0.0,false,true,true
51009,0.6499999999999999,0.3,false,false,0.0,false,true,true
51009,0.6499999999999999,0.44999999999999996,false,false,0.0,false,true,true
51009,0.6499999999999999,1.0,false,false,0.0,false,true,true
51009,0.7,0.0,true,true,4.4,true,true,true
51009,0.7,0.25,true,true,8.0,false,true,true
51009,0.7,0.3,true,true,8.0,false,true,true
51009,0.7,0.44999999999999996,false,false,0.0,false,true,true
51009,0.7,1.0,false,false,0.0,false,true,true
51009,0.85,0.0,true,true,4.4,true,true,true
51009,0.85,0.25,true,true,8.0,false,true,true
51009,0.85,0.3,true,true,8.0,false,true,true
51009,0.85,0.44999999999999996,false,false,0.0,false,true,true
51009,0.85,1.0,false,false,0.0,false,true,true
51009,1.0,0.0,true,true,4.4,true,true,true
51009,1.0,0.25,true,true,8.0,false,true,true
51009,1.0,0.3,true,true,8.0,false,true,true
51009,1.0,0.44999999999999996,false,false,0.0,false,true,true
51009,1.0,1.0,false,false,0.0,false,true,true
51010,0.0,0.0,false,false,0.0,true,true,true
51010,0.0,0.25,false,false,0.0,false,true,true
51010,0.0,0.3,false,false,0.0,false,true,true
51010,0.0,0.44999999999999996,false,false,0.0,false,true,true
51010,0.0,1.0,false,false,0.0,false,true,true
51010,0.6499999999999999,0.0,false,false,0.0,true,true,true
51010,0.6499999999999999,0.25,false,false,0.0,false,true,true
51010,0.6499999999999999,0.3,false,false,0.0,false,true,true
51010,0.6499999999999999,0.44999999999999996,false,false,0.0,false,true,true
