seed,role_direct_shift,role_analytic_shift,obsolete_direct_shift,obsolete_analytic_shift,obsolete_strictly_positive,role_absolute_error,obsolete_absolute_error
14751,0.20257126109640577,0.20257126109640577,0.15823767633221775,0.15823767633221755,true,0.0,1.942890293094024e-16
14752,0.2262087236857423,0.22620872368574216,0.1789862374259784,0.1789862374259785,true,1.3877787807814457e-16,8.326672684688674e-17
14753,0.21145436947191254,0.2114543694719126,0.16602164003262576,0.16602164003262576,true,5.551115123125783e-17,0.0
14754,0.2548677260604416,0.2548677260604415,0.20427391288545715,0.204273912885457,true,1.1102230246251565e-16,1.6653345369377348e-16
14755,0.1721641410457747,0.17216414104577477,0.13174413094898807,0.13174413094898801,true,5.551115123125783e-17,5.551115123125783e-17
14756,0.23191798695153054,0.2319179869515305,0.1840136897648984,0.18401368976489837,true,2.7755575615628914e-17,2.7755575615628914e-17
14757,0.26263019819161015,0.2626301981916101,0.211142728873564,0.21114272887356392,true,5.551115123125783e-17,8.326672684688674e-17
14758,0.2451124910474819,0.2451124910474819,0.19565262342076006,0.19565262342075992,true,0.0,1.3877787807814457e-16
14759,0.15661800397107017,0.15661800397107023,0.11831056330002354,0.1183105633000235,true,5.551115123125783e-17,4.163336342344337e-17
14760,0.23829816680497196,0.23829816680497207,0.18963832918862267,0.18963832918862258,true,1.1102230246251565e-16,8.326672684688674e-17
14761,0.1863249083313815,0.1863249083313814,0.14405036905142543,0.1440503690514253,true,8.326672684688674e-17,1.3877787807814457e-16
14762,0.20692783796955694,0.20692783796955694,0.16205301728813148,0.16205301728813143,true,0.0,5.551115123125783e-17
14763,0.19619539818011789,0.19619539818011794,0.1526619204732319,0.15266192047323196,true,5.551115123125783e-17,5.551115123125783e-17
14764,0.16989382315236767,0.16989382315236767,0.12977700391942004,0.12977700391942013,true,0.0,8.326672684688674e-17
14765,0.17733690103568123,0.17733690103568137,0.13623235461646033,0.13623235461646044,true,1.3877787807814457e-16,1.1102230246251565e-16
14766,0.2307803648235477,0.2307803648235477,0.18301148097060915,0.18301148097060918,true,0.0,2.7755575615628914e-17
14767,0.16305715891879358,0.16305715891879366,0.1238640582835776,0.12386405828357758,true,8.326672684688674e-17,2.7755575615628914e-17
14768,0.14973211444279144,0.14973211444279144,0.11239000154623147,0.11239000154623148,true,0.0,1.3877787807814457e-17
14769,0.18517834552125823,0.18517834552125811,0.1430517521092438,0.1430517521092437,true,1.1102230246251565e-16,1.1102230246251565e-16
14770,0.2107820288246368,0.21078202882463679,0.1654318899569498,0.1654318899569499,true,2.7755575615628914e-17,1.1102230246251565e-16
