local_deviation_sd,seed,global_forecast_error,nested_forecast_error,global_accuracy,nested_accuracy,nested_effective_shrinkage
0.0,11001,0.26169820604891986,0.3142538057956572,0.8,0.8,8.258283028382404
0.0,11002,0.38771232684468854,0.4020220052977243,0.7666666666666667,0.7666666666666667,8.249530268148858
0.0,11003,0.3484180187533986,0.35075939347730123,0.6833333333333333,0.6666666666666666,8.32387042336935
0.0,11004,0.3085912636584752,0.33620112112755385,0.6666666666666666,0.6666666666666666,8.349946592467198
0.0,11005,0.5047766040706129,0.5051879345495183,0.8333333333333334,0.8333333333333334,8.289076470843401
0.0,11006,0.3049406996782574,0.2808499765438891,0.8,0.8,8.213114819051349
0.0,11007,0.28229348454392905,0.2963554968963309,0.7333333333333333,0.7333333333333333,8.369415076849833
0.0,11008,0.2386011586546764,0.22903281679965323,0.8,0.8,8.38227236000663
0.0,11009,0.28499935308574603,0.3254747948377927,0.75,0.75,8.28901798374392
0.0,11010,0.40370594962970135,0.3678407422118844,0.6833333333333333,0.6833333333333333,8.361524679113494
0.0,11011,0.3767824912110898,0.34710738344925857,0.7333333333333333,0.7333333333333333,8.385139328172917
0.0,11012,0.41628888807647685,0.44775555015258833,0.7833333333333333,0.7833333333333333,8.305916901190965
0.0,11013,0.44899667077675187,0.4471541663291842,0.85,0.85,8.272115337987024
0.0,11014,0.2714155756303965,0.22413787455371273,0.7666666666666667,0.7666666666666667,8.319698201544844
0.0,11015,0.388607313218704,0.45128669508092795,0.6833333333333333,0.6833333333333333,8.305512518913309
0.0,11016,0.30995101090081956,0.3741550517966298,0.7333333333333333,0.7333333333333333,8.291555087494263
0.0,11017,0.3766947366186763,0.34846216923057566,0.8166666666666667,0.8166666666666667,8.357536740122079
0.0,11018,0.2712887942783285,0.3244736550632894,0.7666666666666667,0.7666666666666667,8.327305401510866
0.0,11019,0.2817163160056333,0.3328123668494787,0.7833333333333333,0.7833333333333333,8.355099380268287
0.0,11020,0.44008193437159043,0.443254545363568,0.8166666666666667,0.8166666666666667,8.277387363543133
1.0,11001,1.4007827784917057,0.7829578214149614,0.7166666666666667,0.7166666666666667,5.327448486066956
1.0,11002,0.9855026377616761,0.6285278424829165,0.8,0.7833333333333333,6.833532416129217
1.0,11003,1.9880796563047942,0.9641935627376265,0.6333333333333333,0.6333333333333333,3.7236773584572793
1.0,11004,1.1393577016016245,0.7285618989626491,0.55,0.55,6.9294895850721145
1.0,11005,1.218975048973279,0.7370534083593644,0.75,0.75,6.006393954126961
1.0,11006,1.8463946929630732,0.8126189907395484,0.95,0.95,3.054661319957172
1.0,11007,1.1026018183606427,0.5192631114958228,0.7333333333333333,0.7333333333333333,5.7911484988061925
1.0,11008,1.0067533613457105,0.4585862536383417,0.8,0.8,6.317147629027008
1.0,11009,1.1745863156897483,0.5094131939802629,0.6,0.6,5.517678687396337
1.0,11010,1.4370634008122338,0.603342426212504,0.6833333333333333,0.6833333333333333,4.240800653673385
1.0,11011,1.5965004614722746,0.8092578566004218,0.8333333333333334,0.8333333333333334,5.076992960126382
1.0,11012,1.6916482785138927,0.7024694042304238,0.7166666666666667,0.7,3.474657125700382
1.0,11013,1.1278367599814558,0.6681364901796354,0.95,0.95,6.374888393970683
1.0,11014,1.085570873419518,0.5920985742108362,0.9333333333333333,0.9333333333333333,6.574683700343945
1.0,11015,1.5533925390546655,0.6344732212260501,0.7666666666666667,0.7666666666666667,4.214908069081228
1.0,11016,1.5310790561812073,0.7375691471463716,0.8333333333333334,0.8333333333333334,4.662889956423792
1.0,11017,1.0337173648556781,0.550097853372289,0.8333333333333334,0.8333333333333334,6.129582815042781
1.0,11018,1.2696215274326927,0.5157713828541063,0.6666666666666666,0.6666666666666666,5.186813672201642
1.0,11019,1.626556340172753,0.8049794252489664,0.85,0.85,4.594089925688407
1.0,11020,1.278748716582185,0.6471666334788867,0.85,0.85,5.217086204756963
2.0,11001,2.845947727918723,1.2288013414781103,0.6333333333333333,0.6333333333333333,1.6412843731629008
2.0,11002,1.8965103247742288,0.9516235937969386,0.8,0.7833333333333333,3.3889516954238204
2.0,11003,3.8654614249390153,1.4493308611228624,0.5333333333333333,0.5166666666666667,0.9902037931556146
2.0,11004,2.234756340810833,1.187098254805024,0.4666666666666667,0.4666666666666667,3.386605921738298
2.0,11005,2.2714540473597222,1.0467948783607308,0.6,0.6,2.4276369796245887
2.0,11006,3.646124791974602,1.4016031575069463,0.95,0.95,0.8609547602523588
2.0,11007,2.2035621113310184,0.7640563733621568,0.75,0.75,2.000117764755009
2.0,11008,1.8740593148874487,0.7059668759564187,0.7666666666666667,0.7666666666666667,2.7527740816028943
2.0,11009,2.296098372009001,0.8678251013027334,0.5166666666666667,0.5166666666666667,2.142776994199959
2.0,11010,2.9061687765308473,1.0459843868552965,0.6833333333333333,0.7166666666666667,1.2665697959791269
2.0,11011,3.3398383761677644,1.110202526850759,0.9166666666666666,0.9166666666666666,1.257421530121217
2.0,11012,3.32221471601893,1.033267103667615,0.6666666666666666,0.65,1.0182915779117259
2.0,11013,2.198509900606319,1.0752047525143893,0.9833333333333333,0.9833333333333333,2.7717091189682352
2.0,11014,2.1489147897191,0.9439135471792279,0.9333333333333333,0.9333333333333333,2.630146695709179
2.0,11015,3.05245540742654,0.9251671851351269,0.8166666666666667,0.8166666666666667,1.2387502362148426
2.0,11016,2.9191216282411574,0.9779098982816794,0.9333333333333333,0.9333333333333333,1.272518066730637
2.0,11017,1.9524969458845933,0.9159314736929656,0.9166666666666666,0.9166666666666666,2.764819567717445
2.0,11018,2.589542115459215,0.905094100220248,0.5666666666666667,0.5666666666666667,1.8050019922494724
2.0,11019,3.275515956750802,1.0943517902631095,0.9166666666666666,0.9166666666666666,1.1147991139525772
2.0,11020,2.45369749738065,1.0166994033671295,0.7833333333333333,0.7833333333333333,1.8447359568744295
3.0,11001,4.323088327504784,1.6148319155345343,0.55,0.5666666666666667,0.7475622965689349
3.0,11002,2.84259812559747,1.2431073557704666,0.7833333333333333,0.8166666666666667,1.5516513026504561
