seed,overall_bound_accuracy,overall_local_accuracy,ambiguous_bound_accuracy,ambiguous_local_accuracy,ambiguous_bound_confidence,ambiguous_local_confidence,distractor_bound_accuracy,distractor_inverted_accuracy
8501,0.8805555555555555,0.825,0.8541666666666666,0.825,0.6328666218759784,0.4764371344205826,0.8083333333333333,0.31666666666666665
8502,0.8944444444444445,0.8277777777777777,0.8791666666666667,0.8125,0.6180139760612164,0.47116384147402274,0.825,0.3458333333333333
8503,0.8777777777777778,0.8125,0.8166666666666667,0.7791666666666667,0.6245978845926458,0.4599839163436317,0.8375,0.2875
8504,0.875,0.8097222222222222,0.8458333333333333,0.8166666666666667,0.609684926128967,0.46109782698498347,0.8,0.3
8505,0.8847222222222222,0.8138888888888889,0.8541666666666666,0.8291666666666667,0.6305542083804654,0.47224013637338563,0.8208333333333333,0.2791666666666667
8506,0.9180555555555555,0.8361111111111111,0.8958333333333334,0.8416666666666667,0.6398806989304497,0.4602318678256791,0.8583333333333333,0.22083333333333333
8507,0.8902777777777777,0.8194444444444444,0.8458333333333333,0.8083333333333333,0.6108296662291207,0.4732147550519908,0.8375,0.30416666666666664
8508,0.9,0.8375,0.9041666666666667,0.8708333333333333,0.653550273938115,0.46726604529689014,0.8083333333333333,0.25833333333333336
8509,0.9041666666666667,0.8236111111111111,0.8708333333333333,0.8416666666666667,0.6747178632030699,0.48611904345943613,0.8541666666666666,0.29583333333333334
8510,0.8916666666666667,0.8375,0.8708333333333333,0.8666666666666667,0.6559473487526778,0.4847690986476459,0.8208333333333333,0.30416666666666664
8511,0.9,0.8027777777777778,0.8875,0.8291666666666667,0.651887263349882,0.4767527534341945,0.8333333333333334,0.2791666666666667
8512,0.8708333333333333,0.7986111111111112,0.8208333333333333,0.7958333333333333,0.6044097169984949,0.48001553116421886,0.8041666666666667,0.26666666666666666
8513,0.8555555555555555,0.8069444444444445,0.8166666666666667,0.7958333333333333,0.602956812265117,0.4605688874864942,0.7666666666666667,0.30416666666666664
8514,0.8791666666666667,0.8430555555555556,0.8458333333333333,0.85,0.6565184111980281,0.47606823269527415,0.8,0.3
8515,0.875,0.8152777777777778,0.8625,0.825,0.6082180291098619,0.46152871393851824,0.7625,0.3333333333333333
8516,0.8902777777777777,0.8305555555555556,0.8708333333333333,0.8625,0.61495911896474,0.46653455634194213,0.8041666666666667,0.2791666666666667
8517,0.8902777777777777,0.8416666666666667,0.8833333333333333,0.8541666666666666,0.6300286782687808,0.4732874895133264,0.8,0.3
8518,0.9055555555555556,0.8305555555555556,0.8958333333333334,0.8375,0.630645181744279,0.4699134711600307,0.8291666666666667,0.25
8519,0.8875,0.8097222222222222,0.8708333333333333,0.8375,0.6379972699037503,0.47148125554138276,0.8208333333333333,0.24583333333333332
8520,0.8833333333333333,0.8236111111111111,0.875,0.825,0.6315419121912652,0.48171368033687834,0.7833333333333333,0.2916666666666667
