seed,trial,condition,cause,bound_correct,local_correct,inverted_correct,bound_confidence,local_confidence,probability_positive
8501,1,coherent_ambiguous,-1,false,false,false,0.41092485463692063,0.5262091577448831,0.7054624273184603
8501,2,coherent_ambiguous,-1,true,true,true,0.5708870355262694,0.3965376973390922,0.2145564822368653
8501,3,coherent_ambiguous,-1,true,true,true,0.8738254398034742,0.5433644695150176,0.0630872800982629
8501,4,coherent_ambiguous,1,false,true,false,0.0327163402620112,0.4474170910292609,0.4836418298689944
8501,5,coherent_ambiguous,-1,false,true,false,0.2503544002782301,0.41428639866444855,0.625177200139115
8501,6,coherent_ambiguous,-1,true,true,true,0.8122290155318369,0.44886479507843635,0.09388549223408156
8501,7,coherent_ambiguous,1,true,true,true,0.6143990336035356,0.42701565571639444,0.8071995168017678
8501,8,coherent_ambiguous,-1,false,false,false,0.18590043311048587,0.12805094269099004,0.5929502165552429
8501,9,coherent_ambiguous,-1,true,false,true,0.3633876051517545,0.33576884529467677,0.31830619742412275
8501,10,coherent_ambiguous,1,true,true,true,0.6221580388042356,0.47040643334241566,0.8110790194021178
8501,11,coherent_ambiguous,1,false,false,false,0.03854641873426923,0.22499837214328225,0.4807267906328654
8501,12,coherent_ambiguous,-1,true,false,true,0.17482194175472987,0.4917635480844611,0.41258902912263506
8501,13,coherent_ambiguous,1,true,true,true,0.9502690517721073,0.6456219472351229,0.9751345258860536
8501,14,coherent_ambiguous,-1,true,true,true,0.5995633958761113,0.3362978174605417,0.20021830206194433
8501,15,coherent_ambiguous,-1,true,true,true,0.7935192736358936,0.39349942170242985,0.10324036318205324
8501,16,coherent_ambiguous,-1,true,true,true,0.907786787102557,0.7438362842198661,0.046106606448721506
8501,17,coherent_ambiguous,-1,true,true,true,0.9637502385237232,0.7050981847889282,0.018124880738138387
8501,18,coherent_ambiguous,-1,true,true,true,0.9001366806933049,0.5609625789085314,0.04993165965334759
8501,19,coherent_ambiguous,1,true,true,true,0.5185484333420021,0.6025963076608704,0.759274216671001
8501,20,coherent_ambiguous,-1,true,true,true,0.9373003201051915,0.6076036231423713,0.03134983994740424
8501,21,coherent_ambiguous,1,true,true,true,0.95708808626697,0.7003246150607122,0.978544043133485
8501,22,coherent_ambiguous,1,true,true,true,0.7542390326952202,0.39443679365556344,0.8771195163476101
8501,23,coherent_ambiguous,-1,true,true,true,0.8784089711071875,0.4975345288401902,0.060795514446406226
8501,24,coherent_ambiguous,1,true,true,true,0.8107996574341887,0.6036570788178092,0.9053998287170943
8501,25,coherent_ambiguous,-1,false,false,false,0.3872983018827756,0.6799940387689034,0.6936491509413878
8501,26,coherent_ambiguous,1,true,true,true,0.7189790047252878,0.36387099100255477,0.8594895023626439
8501,27,coherent_ambiguous,1,true,true,true,0.6081466036580321,0.7651995983526517,0.804073301829016
8501,28,coherent_ambiguous,1,true,true,true,0.9380976395831462,0.6431361842630261,0.9690488197915731
8501,29,coherent_ambiguous,1,true,true,true,0.9850451111195473,0.8167411150932112,0.9925225555597736
8501,30,coherent_ambiguous,-1,true,true,true,0.9659486381892183,0.7147949145294298,0.017025680905390854
