cell,seed_start,seed_end,cause_amplitude,samples_per_action,relation_noise,full_accuracy,independent_accuracy,overall_gain,coherent_gain,seed_win_rate,signature_retained
baseline,10011,10015,1.05,4,0.05,0.715,0.54,0.17499999999999993,0.18847643481473053,1.0,true
low_signal,10021,10025,0.85,4,0.05,0.6900000000000001,0.47333333333333333,0.21666666666666673,0.23010138287034543,1.0,true
high_signal,10031,10035,1.25,4,0.05,0.7899999999999999,0.4716666666666667,0.31833333333333325,0.3484956627918495,1.0,true
fewer_samples,10041,10045,1.05,3,0.05,0.695,0.5016666666666667,0.19333333333333325,0.2170870852017578,1.0,true
more_samples,10051,10055,1.05,5,0.05,0.7383333333333334,0.5166666666666666,0.2216666666666668,0.25450687846131725,1.0,true
exact_relation,10061,10065,1.05,4,0.0,0.7433333333333332,0.4883333333333333,0.2549999999999999,0.2549999999999999,1.0,true
noisy_relation,10071,10075,1.05,4,0.1,0.6749999999999999,0.49833333333333324,0.1766666666666667,0.2315961206855489,1.0,true
